	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
HILOS E HILAZAS	27231.5	4929.6	2583.5	47.9	2841.7	2795.5	1264.9	1709.2	2213.2	106	2876.2	102.2	3018.7	9.6	3535.2	1.9	2322.2	0	1292.8	0	2060.8	0.4	2286.5	73.3	935.9	83.7
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	42.8	0	0	0	0	0	0	0	0	0	42.6	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
INSTRUMENTAL MEDICO Y OTROS	2236.7	1.4	160.1	0.1	63.1	0	114.1	0	100.1	0.1	230.8	0.1	65.2	0.3	430.2	0	134	0.1	294	0.6	269.1	0.1	154	0	222	0.1
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	126.6	26.4	0	0.1	0.8	3.1	3.9	1.4	0	0.1	0.5	2.8	1.1	0.1	72.6	0.3	1.3	1.7	24.6	4.4	4.6	6	4.3	0	13	6.2
LAMINA Y ALAMBRE	4356.7	0	388.3	0	5.3	0	817.8	0	125.3	0	0.2	0	607.7	0	36.2	0	857.4	0	66.7	0	1178.2	0	0.6	0	273	0
LECHE Y OTROS PRODUCTOS LACTEOS	3.3	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0.1	0	1.6	0	0.2	0	0	0	0	0
MADERA EN TROZA	0	3.9	0	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	903.3	7.6	53.7	0.2	11.8	0	159.4	0	106.2	0	36.5	0	84.6	0	174.8	0	43.5	0	150.3	7.5	5.2	0	13.2	0	64	0
MANUFACTURAS DE CERAMICA	67.4	1.3	0	0	10.7	0	8	0	11.2	0.1	4.3	0.2	0.9	0.6	1.3	0.1	2.1	0.1	17.9	0.2	3.7	0	5.3	0	2.1	0.1
MANUFACTURAS DE CUERO	60.9	12.1	0	0	11.3	0	0	1.3	0	0	2.7	0	0	0.4	0	4.5	18.8	0	19.7	0	0.3	0	7.1	0	1	5.9
