	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
CLAVOS Y TORNILLOS	1.9	160	0	13.6	1.9	3.3	0	11.6	0	14.2	0	3	0	25.6	0	2.3	0	30.6	0	6.4	0	10.4	0	11.9	0	27.2
DETERGENTES Y JABONES	0	617.5	0	49.8	0	38.1	0	13.6	0	116.6	0	80.3	0	64.2	0	28.8	0	21.7	0	26.8	0	58.5	0	13.4	0	105.7
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	0	46.1	0	5.3	0	1.7	0	1.3	0	2.6	0	5.8	0	12.9	0	2.2	0	0.6	0	2.4	0	6.8	0	3.9	0	0.6
GRASAS Y ACEITES COMESTIBLES	0	30.4	0	0.6	0	0.6	0	0.7	0	0.4	0	0.7	0	8.5	0	0	0	13.7	0	2.8	0	0.3	0	2.1	0	0
HARINAS DE CEREALES	0	1.7	0	0.8	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	0.1	349.5	0	36.3	0	45.7	0	29.5	0	12	0	22	0	8	0	23.8	0	22.1	0	89.1	0	19.1	0	25.6	0	16.1
HILOS E HILAZAS	0.3	15400.2	0	701.8	0	981.4	0	1233.2	0	1470.3	0	1582.3	0	795.2	0	2555.3	0	1553.9	0	1129.5	0.2	1181.2	0	1264.1	0	952.1
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	0	735.3	0	0	0	0	0	183.6	0	0.9	0	0	0	183.6	0	0	0	0	0	183.6	0	0	0	183.6	0	0
INSTRUMENTAL MEDICO Y OTROS	4.7	2806.3	0.1	171.9	0	359.4	0.2	127.3	0	355.9	0	157.2	0	174.3	0	231.8	4.4	261.4	0	145.1	0	275	0	271.3	0	275.5
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	8.9	154.4	4.3	0.7	0	2.3	2.5	15.6	0	10.3	0	0.2	0.1	39.7	0.3	7.9	0	46.7	0	0.3	1.6	2.4	0.1	25.5	0	2.7
LAMINA Y ALAMBRE	0	1870.7	0	132.5	0	63.9	0	158.2	0	44.6	0	124	0	22.5	0	195.2	0	469.5	0	287.8	0	9.9	0	83.1	0	279.4
LECHE Y OTROS PRODUCTOS LACTEOS	0	34.4	0	1.5	0	0.1	0	0	0	22.7	0	0	0	0	0	0	0	0	0	0	0	0.3	0	9.7	0	0
MANUFACTURAS DE CAUCHO	17.8	893.1	0	6.4	17.8	76.3	0	198	0	137	0	71	0	146.7	0	22.4	0	34	0	50.3	0	11.2	0	95.5	0	44.4
MANUFACTURAS DE CERAMICA	0.7	94.8	0.1	1.5	0	0.3	0.1	6.4	0	10.1	0	4.7	0	0	0	9	0	37.3	0.1	1.4	0.2	10.7	0.2	12.4	0	1
MANUFACTURAS DE CUERO	0	16.4	0	0	0	0	0	0	0	10.2	0	0	0	0	0	0.2	0	3.7	0	0.6	0	0.9	0	0.2	0	0.6
MANUFACTURAS DE MADERA	0.4	26.4	0	3.3	0	0.3	0.1	0.6	0	0.9	0	0.2	0	1.6	0	0.2	0	3.1	0	0	0.1	0.1	0.2	10.9	0	5.3
MANUFACTURAS DE PAPEL Y CARTON	941.4	7682.8	71.6	611.5	80.1	499.5	91.3	724.3	82.8	697.8	68.6	607.9	74.6	555.3	86.7	389.5	75.3	433.4	94.6	720.2	65.9	577.3	53.8	964.7	96.1	901.7
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	0	89.4	0	6	0	6.8	0	12	0	11.2	0	0	0	0.5	0	0	0	19.1	0	0	0	0	0	33.6	0	0.3
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	29	199.1	0	14.9	4.5	20.8	0	14.9	0	32	10.6	9.6	6.9	45.9	0	19.7	7.1	11.4	0	2.7	0	10.1	0	10.9	0	6
MANUFACTURAS DE PIELES	0	25.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1	0	0	0	0	0	0
MANUFACTURAS DIVERSAS	6.4	3953	0	664.2	0	452.8	0.1	134.1	0	327.9	0	248.9	0	311.2	0.5	762.3	0	237.2	5.4	103.1	0.1	205.1	0.2	286.8	0	219.4
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	70.2	17732	0	2377.4	36.4	1158.7	29.2	1908	0	1521.2	0	2258.7	0.2	1526.8	0.6	999.7	2	1257.5	0	1350.3	0.2	667.1	0.1	909.6	1.7	1797
MATERIALES PLASTICOS Y SUS MANUFACTURAS	26.5	14749.5	0.1	1723.6	0	1368.8	0.3	1076.2	0	2051.8	0	1289.5	24.4	997.2	0.1	950.8	0	1186.1	1	1121	0.5	1298.9	0.1	893.9	0	791.7
MATERIALES TEXTILES (TEJIDOS O TELAS)	3.6	57862.8	0	8559.3	0	5269.6	0.1	6040.8	0	6511.5	0	5493.4	0.4	4339.6	0.3	4031.7	2.5	2946.2	0	2816.8	0	2878	0.3	4411.3	0	4564.6
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	4	402	0	55.3	0	2.9	1.2	42.1	0	17.1	0	12.4	0.3	31.1	1.4	21	0	99	0	6.3	0.2	7.9	1	54.9	0	52.1
NEUMATICOS Y TUBOS	0	7240.4	0	598	0	505.3	0	438	0	735.7	0	747.3	0	604.5	0	631.4	0	601.5	0	542.7	0	610.1	0	501.1	0	724.9
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	118.5	2231.4	1.3	119.6	116.8	246.9	0.1	256.5	0	146.6	0	196.3	0.1	117.4	0	50.2	0	387	0	168	0.1	167.3	0	234.1	0	141.6
OTROS ACEITES ESENCIALES	0	55.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6	0	47.9
PAPEL Y CARTON	191.9	1137.5	0	112.2	0	85.1	0	79.8	33.9	14.5	0	63.2	0	75.4	0	99.3	0	67.2	0	149.8	0	40	0	157.6	158	193.4
PESCADO Y MOLUSCOS	0	4.4	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
PINTURAS Y BARNICES	10.6	14051.4	0	764.5	0	835.3	0	1452.5	0	1297.7	0	1666.8	0	1345.9	10.6	790.3	0	1921.3	0	552.8	0	1582.6	0	981.8	0	859.9
PREPARADOS A BASE DE CEREALES	0	303	0	68	0	12.7	0	10.2	0	17	0	7	0	26.7	0	6.6	0	12.8	0	23.4	0	14.1	0	96.8	0	7.7
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	0	439.6	0	34.1	0	55.9	0	6.6	0	37.9	0	6.1	0	49.5	0	2.4	0	71.5	0	25.8	0	30.5	0	104.5	0	14.8
PREPARADOS DE LEGUMBRES Y HORTALIZAS	0	197.3	0	0	0	0.1	0	0	0	0.2	0	71.5	0	0.4	0	0	0	122.5	0	0.8	0	0.2	0	1.7	0	0
PREPARADOS DE FRUTAS	0	117.7	0	12.3	0	4.4	0	17.6	0	8.1	0	16.5	0	4.5	0	32.1	0	3.2	0	7.9	0	5.1	0	3.7	0	2.3
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	0	139	0	0	0	0.1	0	12	0	22.1	0	8.7	0	33.2	0	1.3	0	2.9	0	14.1	0	9.4	0	30.3	0	4.9
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	0.4	7604.9	0	1001.1	0	586.6	0	576.5	0	485.8	0	473.2	0	510.7	0	442.9	0	719.6	0	903.9	0.4	671.7	0	714.3	0	518.5
