	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	570655.1	39504.1	57725	4596.9	37469	5447	49941.6	9625.7	52017.4	4561.7	49640.6	721.1	47963.5	1916.6	43769.5	10416.3	54998	1268.5	47190.6	160.1	47919.3	0.9	44447.6	88.4	37573.1	700.9
INDUSTRIAS AGROPECUARIAS	5.7	0.2	0	0	0.1	0	0.7	0	0	0	0	0	0.2	0	0.6	0.2	0	0	0.5	0	0.4	0	0.8	0	2.3	0
CAFE	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0
ESPECIAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	1.4	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.6	0	0	0	0.2	0	0	0	0.4	0	0.2	0
MIEL DE ABEJAS	0.7	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	3.1	0	0	0	0.1	0	0.3	0	0	0	0	0	0.1	0	0	0	0	0	0.3	0	0	0	0.4	0	1.8	0
SEMILLA DE AJONJOLI	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	568344.6	39275.6	57610.5	4560.9	37308	5447	49922.1	9601.4	52008.8	4561.7	49583.9	690.4	47331.3	1916.6	43690.8	10390.7	54810.2	1208.6	47044	142.5	47871.9	0.9	43766.1	71.1	37396.8	683.6
ABONOS Y FERTILIZANTES	0.4	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	6670.1	48.7	538.3	0.3	1131.5	0.1	606.9	0	579	0	637.4	24.2	531.2	0	478.4	0.5	431.2	0	471.2	0	470	0	218.7	0	576.3	23.6
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	15.6	0.2	0.3	0	0.2	0	1.9	0	0.1	0	1.8	0	4.9	0	0.5	0.2	0.8	0	0.3	0	1.9	0	2.6	0	0.3	0
APARATOS TRANSMISORES Y RECEPTORES	3326.7	0	288.8	0	267.4	0	8.7	0	863.1	0	2.1	0	36.6	0	1040.8	0	580.5	0	122.2	0	1.2	0	19.8	0	95.6	0
ARMAS Y MUNICIONES	155.5	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	78.6	0
ARTICULOS DE VESTUARIO	5688.5	5203.6	795.1	0.3	377.9	261.9	503.7	52.8	566.6	293.5	386	632.9	201.2	1914	190.6	430.4	291.9	1136.5	515.2	134.8	767.7	0.9	802.9	68.9	289.6	276.7
AZUCAR	0.3	33397.7	0	4551.9	0	5184.4	0	9548.6	0	4268.1	0	0	0	0	0.1	9844.6	0	0	0	0	0	0	0	0	0.2	0
AZUCARES Y ARTICULOS DE CONFITERIA	13.1	0	1.6	0	0.1	0	0.9	0	0	0	0.1	0	0.1	0	6.9	0	0.2	0	2	0	0	0	0.1	0	1.2	0
BATERIAS ELECTRICAS	2164.4	0	115.1	0	376.5	0	230.6	0	27.6	0	254.5	0	321.7	0	87.4	0	357.3	0	59.9	0	63	0	212.3	0	58.7	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	118.7	0	21	0	1.7	0	8.9	0	0.8	0	6	0	9.2	0	5.5	0	10.3	0	18.7	0	7.5	0	18.9	0	10.3	0
CAFE SOLUBLE Y MOLIDO	0.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALZADO	330.8	0.2	21.9	0.1	0.3	0	20.9	0	28	0	0.5	0	1.3	0	21.9	0.2	0.6	0	0.3	0	2.1	0	36.8	0	196.1	0
CERAS	44.5	0	13.6	0	0.1	0	0	0	0	0	0.1	0	22.1	0	0	0	8.6	0	0	0	0	0	0	0	0	0
CLAVOS Y TORNILLOS	43	0	1.1	0	0.5	0	1.6	0	1.1	0	1.6	0	0.3	0	17.1	0	0.1	0	1	0	9.1	0	2.5	0	7.2	0
DETERGENTES Y JABONES	467.5	0	48.6	0	81	0	90.3	0	2.3	0	0.8	0	25.1	0	47.6	0	0.4	0	160.2	0	7.6	0	2.5	0	1.2	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	6.2	0	0.8	0	0.2	0	0.3	0	0.4	0	0.5	0	2.1	0	0.2	0	0.3	0	0.1	0	0.7	0	0	0	0.3	0
GRASAS Y ACEITES COMESTIBLES	1.4	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0.3	0	0	0	0.1	0	0	0	0.1	0	0	0
HARINAS DE CEREALES	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	249.7	0	15.7	0	6.3	0	18.5	0	14.5	0	16.1	0	66.2	0	20.4	0	18.5	0	13.1	0	44.3	0	2.7	0	13.4	0
HILOS E HILAZAS	25804.5	4.1	2150.8	0	1128.8	0	1909.8	0	2022	0	2909.1	4.1	2566.6	0	1733	0	2665.4	0	2108	0	2445.1	0	2370.8	0	1795.2	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	75.7	0	20.1	0	0	0	0	0	0	0	0	0	0	0	34.8	0	0	0	0	0	20.8	0	0	0	0.1	0
INSTRUMENTAL MEDICO Y OTROS	1035.1	2.4	47.4	0	40.4	0	92	0	80	0	140.5	0	110.5	0	62.3	2	119.3	0.4	98.2	0	94.4	0	73.8	0	76.3	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	31.6	0.3	0.5	0.1	0.5	0	2.2	0	0.1	0	3.1	0	8.9	0	3.4	0.2	3.7	0	0.5	0	3.7	0	4.1	0	0.9	0
LAMINA Y ALAMBRE	2609	0	8.3	0	68	0	33.8	0	5.9	0	5	0	277.5	0	20.5	0	1585.5	0	0.6	0	4.4	0	387.5	0	212.2	0
LECHE Y OTROS PRODUCTOS LACTEOS	0.8	0	0	0	0	0	0.2	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.5	0
