	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	449.3	0	0	0	43.7	0	1.3	0	135.6	0	0	0	58.6	0	0	0	62.6	0	0	0	92.5	0	55	0	0	0
HARINAS DE CEREALES	14.6	0	0.3	0	0	0	2.7	0	0.3	0	0.3	0	1.7	0	1.3	0	0	0	1.9	0	0	0	3.4	0	2.7	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	797.9	0.1	57.8	0	25.3	0	40.6	0.1	23.2	0	82.1	0	57.2	0	43	0	104.9	0	49.6	0	164.1	0	100.2	0	49.9	0
HILOS E HILAZAS	206.8	0	34.3	0	0	0	12.7	0	21.8	0	0	0	39.9	0	8.7	0	57.2	0	4	0	0.4	0	8.9	0	19	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	59.8	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	59	0	0	0	0	0	0	0
INSTRUMENTAL MEDICO Y OTROS	3170.5	7.1	218.3	0	118.6	0	202.6	0.2	179.8	0	220.8	0	215.7	0	486.9	0	891.5	0	97.6	6.9	173.9	0	153.7	0	210.9	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	431.1	1.1	34.4	0	0	0.1	1.9	0	35.2	0	3.5	0	5.4	0	12.3	0	215.7	0	31	0.9	18.2	0	70.1	0	3.3	0.1
LAMINA Y ALAMBRE	938.1	12.5	228.5	0	5	0	97.5	0	21.4	0	7.8	0	56.6	0	187.8	0	145.8	0	54.4	12.5	103.5	0	28.2	0	1.6	0
LECHE Y OTROS PRODUCTOS LACTEOS	213	0	0.1	0	0	0	2	0	4.3	0	13.2	0	1.6	0	32.2	0	0	0	9.7	0	30	0	3.4	0	116.5	0
MANUFACTURAS DE CAUCHO	588.3	0	111	0	50.4	0	17.9	0	38	0	62	0	32.5	0	103.4	0	47.1	0	57.3	0	14.4	0	35.9	0	18.4	0
MANUFACTURAS DE CERAMICA	1716.8	2.3	308.9	0	114.9	0.9	70.6	0.1	42.6	0	190.8	0	101.7	0	152.5	0	350.4	0	107.7	0	135.5	1.3	98.6	0	42.5	0
MANUFACTURAS DE CUERO	74.8	0	18.5	0	0	0	1.8	0	2	0	15.7	0	12.3	0	9.4	0	1.4	0	0.1	0	3.2	0	3.8	0	6.8	0
MANUFACTURAS DE MADERA	152.1	1952.9	9.4	113.2	20.3	180.5	0.4	272.2	11.3	143.2	2.5	218.7	6.6	170.3	18.1	102.7	10.7	227	38.1	174.4	5.2	99.7	26.4	154.6	3.2	96.3
MANUFACTURAS DE PAPEL Y CARTON	3964	138.6	263	0	174.5	0	396.8	0.2	495.7	0	255.4	1.8	463.9	0.3	308.4	0.2	518.8	0	292.2	136.1	158.6	0	375.9	0	260.9	0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	83.9	0	2.4	0	7.9	0	21.1	0	4.2	0	1.3	0	29.4	0	0	0	12.8	0	1.1	0	3.5	0	0	0	0.2	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	170.7	7.8	38.3	0	8.5	0.3	6.1	0	0.6	0	6.5	0	9.9	0	4.1	0	45.6	0	2.7	0	2.3	7.4	33.8	0	12.3	0.2
