	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	124683.2	59807.6	12376.7	3750.3	13733.1	8829.6	8406.4	6398.1	11762.6	5824.3	16652.1	4674.8	7917.1	3392.4	11263	2746.1	10879.7	2430.9	9104.5	9447.9	7794.3	5081.6	7565.5	4966.6	7228.3	2264.9
INDUSTRIAS AGROPECUARIAS	567.4	44923	48	2835.3	96.3	4617.6	71.5	5217.5	116.1	4801.1	29.9	4178.2	1.8	2269.9	0.2	1984.4	63.4	1642.4	14.5	8381.4	50.2	4052.8	22.9	3846.8	52.8	1095.5
BANANO	0	14066	0	0	0	96.4	0	411.2	0	446.7	0	111.7	0	0	0	0	0	0	0	7043.5	0	2974.8	0	2981.8	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	38.5	284.1	0	28.6	13.1	16.6	10.7	15.1	3.7	34.6	0	30.2	0	16.9	0	14.1	9.6	26.1	0	25.5	0	36	1.1	6.7	0.2	33.6
CAFE	0	29945.6	0	2730	0	4504.6	0	4784.2	0	4319.9	0	3978.3	0	2211.8	0	1851.8	0	1612.1	0	1240.8	0	978.6	0	685.9	0	1047.4
CARDAMOMO	0	48.3	0	38.8	0	0	0	7	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	312.2	197.4	29.4	0	0	0	60.8	0	88.7	0	29.8	0	0	36.8	0.2	0	53.8	0	0	0	49.4	0	0	160.6	0	0
FLORES Y FOLLAJES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	75.3	138	0	0	37.2	0	0	0	0	0	0	0	0	4.4	0	108.9	0	4.2	0	4.2	0	0	0	1.9	38.1	14.4
MIEL DE ABEJAS	0	67.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.3	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	40.1	1.2	0	0	31.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	8.6	1	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	101.4	75.8	18.5	37.9	14.5	0	0	0	23.6	0	0	37.9	1.8	0	0	0	0	0	14.5	0	0.7	0	13.2	0	14.5	0
SEMILLA DE AJONJOLI	0	99.2	0	0	0	0	0	0	0	0	0	17.6	0	0	0	9.6	0	0	0	0	0	63.3	0	8.8	0	0
INDUSTRIAS MANUFACTURERAS	122499.2	14646.9	12239.4	915.1	13547.3	4212	8215.6	1105.7	11580.8	1022.7	16437.6	496.5	7789.1	1122.5	11247.3	741.9	10695.4	764.6	9038.3	1045	7631.5	1008.9	7505	1119.8	6571.9	1092.2
ABONOS Y FERTILIZANTES	594.2	0	37.5	0	0	0	70.6	0	0	0	129	0	35.2	0	79.5	0	25.2	0	70.9	0	37.2	0	109.1	0	0	0
ALIMENTOS PREPARADOS PARA ANIMALES	22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.1	0	0	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	1986.8	0.4	666.5	0.1	44	0	45.3	0.2	309	0	113.5	0	171	0	79.2	0	227.6	0	69.2	0	102.3	0.1	40.5	0	118.6	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	76.9	0.3	1.5	0.2	7.6	0	8.8	0.1	3.1	0	2.1	0	0.1	0	2.5	0	1.6	0	4.3	0	16.9	0	18.8	0	9.6	0
APARATOS TRANSMISORES Y RECEPTORES	629.4	13.3	3.5	0	51.6	0	103	0	9.6	0	5.4	0	33	0	131.5	0	17.9	0	87.2	13.3	25.2	0	15.3	0	146.3	0
ARMAS Y MUNICIONES	719	0	87	0	18.2	0	15.2	0	0	0	16.8	0	0	0	0	0	0	0	24.4	0	518	0	39.5	0	0	0
ARTICULOS DE VESTUARIO	688.1	2116.4	29.6	38.7	7.5	24.7	10.8	221.8	99.9	267.9	77.1	144.2	4.9	190.6	238.7	91.8	33.8	40.2	88.3	535.5	50.6	2.4	25.4	351.8	21.4	206.8
AZUCAR	0	1452.5	0	0	0	180.1	0	153.1	0	78.1	0	116.1	0	488.7	0	0	0	0	0	0	0	0	0	0	0	436.4
AZUCARES Y ARTICULOS DE CONFITERIA	313.8	0	45.3	0	35.5	0	32.1	0	0	0	0	0	35.7	0	0.1	0	0	0	0.8	0	125	0	39.3	0	0	0
BATERIAS ELECTRICAS	42.3	0	24.5	0	0.1	0	0.7	0	0	0	0	0	0	0	1.6	0	1.6	0	0	0	4.4	0	0.3	0	9.2	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	1180	5669.4	107.1	602.1	58	3609.1	74.8	271.2	101.2	140.4	185.4	0	78.3	24.2	126.4	86.4	64	170.8	175.2	81.4	140.1	278.6	37.5	405.2	32.1	0
CAFE SOLUBLE Y MOLIDO	33.5	0	0	0	0.5	0	0	0	24.5	0	0	0	0	0	0	0	4.1	0	0	0	0	0	0	0	4.3	0
CALZADO	338.4	0.1	5.5	0	11.2	0	0	0	81.1	0	62.2	0	73.7	0	18.4	0	7.1	0.1	3.4	0	5.2	0	52.9	0	17.8	0
CAMARON Y LANGOSTA	0	499.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228.2	0	0	0	271.5	0	0	0	0
CARNE	10.1	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0	0
CERAS	196.4	0	10.7	0	30.3	0	4.5	0	0.1	0	0.9	0	75.9	0	0.1	0	2.3	0	4.4	0	0.6	0	35.1	0	31.7	0
CLAVOS Y TORNILLOS	201.5	0	22.8	0	17.9	0	3.8	0	35.9	0	22.7	0	5.7	0	19.1	0	10.7	0	25.2	0	20.6	0	9.5	0	7.5	0
DETERGENTES Y JABONES	784.1	0	95.9	0	23.4	0	49.1	0	132.4	0	170	0	2.2	0	52.4	0	113.4	0	8	0	73.4	0	35.2	0	28.7	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	7.4	0	1.2	0	0	0	0	0	4	0	0.4	0	0.5	0	0	0	0	0	1.1	0	0.2	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	657.3	0	46.4	0	75.2	0	0	0	88.3	0	150.9	0	49.6	0	55.7	0	50.9	0	0.5	0	65.4	0	50.9	0	23.4	0
HARINAS DE CEREALES	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	506	0.3	59	0.1	14	0	11	0.2	96	0	43.3	0	39.8	0.1	92.7	0	47.9	0	20.5	0	9.6	0	37.6	0	34.6	0
HILOS E HILAZAS	329.4	0	44	0	0.8	0	1.4	0	59.4	0	6.7	0	27.3	0	0	0	62.9	0	0.6	0	32.9	0	84.4	0	9	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	20	0	0	0	0	0	17.9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
