	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	107957.6	106169.7	6012.4	10157.7	6609.5	13560.2	7865.4	16949	6549.4	10469.6	8330.9	12413	6873.5	10658.1	8784	4582.2	7724.4	6140.1	32285.9	8870.8	3685.3	6268.7	6792.6	1757.7	6444.2	4342.6
INDUSTRIAS AGROPECUARIAS	1049.5	76152	350	6258.4	80.7	10069.2	106.1	10153.4	29	7644.5	1.9	7400.4	7.7	9129.8	137	3813.5	9.8	5428.2	8	7882.7	87.3	4903.9	194.2	897.6	37.9	2570.5
BANANO	0	10361.1	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	581.9	0	5937.8	0	3838	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	419.7	358.8	271.2	29.7	0	17.7	3.2	47.9	0	13.1	1.9	56.4	0	43.6	136.8	17.2	0	54.4	6.5	24	0	32.6	0	9.8	0	12.4
CAFE	0	62158.2	0	6061.7	0	9608.1	0	9519.6	0	7612.2	0	6597.4	0	8809.5	0	3602.9	0	4698.1	0	1604.5	0	832.9	0	867.7	0	2343.5
CARDAMOMO	0	136.7	0	113.2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5
CAUCHO NATURAL (HULE)	299.1	1801.3	0	0	0	379.9	66.4	460.6	0	0	0	0	5.2	243.6	0.2	114.3	9.8	0	0	232.2	87.3	188.1	130.1	0	0	182.7
FLORES Y FOLLAJES	0	306.5	0	9.2	0	18.6	0	38.7	0	19.2	0	56.2	0	27.7	0	37	0	19.6	0	30.4	0	9.6	0	20.1	0	20.4
"FRUTAS FRESCAS, SECAS O CONGELADAS"	36.4	29	0	0	0	0	36.4	0	0	0	0	2.9	0	5.4	0	3.6	0	10.9	0	3.3	0	2.9	0	0	0	0
LEGUMBRES Y HORTALIZAS	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIEL DE ABEJAS	0	130.5	0	0	0	0	0	0	0	0	0	67.3	0	0	0	0	0	63.2	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	4.1	0	0	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	290.3	183.3	78.7	0	76.6	0	0	29.9	29	0	0	77	2.5	0	0	38.5	0	0	1.5	37.9	0	0	64.1	0	37.9	0
PLATANO	0	528.6	0	0	0	0	0	0	0	0	0	528.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMILLA DE AJONJOLI	0	157.9	0	44.6	0	44.6	0	44.6	0	0	0	11.4	0	0	0	0	0	0	0	12.7	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	81920.7	30017.5	5649.3	3899.3	6513.7	3491	7679.5	6795.6	6469.9	2825.1	8154.7	5012.6	6790.6	1528.3	7769	768.7	7670	712	8822.2	988	3499.5	1364.8	6584.4	860.1	6318	1772.1
ABONOS Y FERTILIZANTES	463.1	0	74.2	0	0	0	0	0	117.8	0	35.7	0	0	0	26.7	0	106.3	0	0	0	0	0	60.3	0	42.1	0
ALIMENTOS PREPARADOS PARA ANIMALES	21.4	0	0	0	21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	2075.3	0.3	211.5	0	112.9	0	124	0	287.7	0	94.6	0	164.7	0	609.3	0	74.7	0.3	123.8	0	75.8	0	63.9	0	132.3	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	83.8	0.2	3.1	0	2.8	0	6.3	0	4.3	0	1.3	0	2.3	0	6	0	20	0.2	2.1	0	5.4	0	23.1	0	7.1	0
APARATOS TRANSMISORES Y RECEPTORES	1627.8	42.2	145.4	0	248.4	0	153.4	0	0	41	253.5	0	56.2	0	183.9	0	146.1	1	224.9	0	10.9	0	10.4	0	194.7	0.2
ARMAS Y MUNICIONES	89.1	0	0	0	0	0	0	0	0	0	0	0	45.3	0	0	0	0	0	1.2	0	0	0	9.9	0	32.7	0
ARTICULOS DE VESTUARIO	653.8	4169.9	37.2	74.6	2.8	312.4	6.5	132.2	24.3	314.1	1.3	170.3	19.5	279	241.6	91.3	55.1	73.8	92.3	205.3	79.5	711.3	82.5	327.8	11.2	1477.7
AZUCAR	0	110.7	0	110.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	11	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0	0	0	0	0	0	0	0	1	0	0	0
BATERIAS ELECTRICAS	11.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0.2	0	6.5	0	2.3	0	0.5	0	0.3	0	1.2	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	976.5	16233.2	12.3	3456.6	112.6	3003	52.8	5870.9	23.5	0	181	2479	88.5	0	33.3	129.4	51.5	208.2	126.5	490.3	81.4	352.3	105.4	243.1	107.6	0.3
CAFE SOLUBLE Y MOLIDO	6.9	0	0	0	0	0	0	0	0	0	3.9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
CALZADO	211.2	0	0	0	0	0	0.2	0	0	0	13.5	0	36.9	0	10.9	0	86.9	0	8	0	1.3	0	45	0	8.5	0
CARNE	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
CERAS	13.3	0	0.3	0	2	0	0.5	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0.6	0	1.7	0	6.9	0
CLAVOS Y TORNILLOS	115.1	0	4.2	0	8.8	0	9.4	0	2.1	0	13.9	0	9.5	0	13.4	0	11.2	0	17.5	0	4.2	0	10.3	0	10.7	0
DETERGENTES Y JABONES	849.3	0	31.9	0	34.5	0	143.9	0	1.3	0	173.8	0	106.2	0	21.9	0	120.6	0	34.2	0	37.1	0	143.8	0	0	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	15.4	0	0	0	0	0	7	0	0	0	1.3	0	0	0	1.3	0	4.4	0	0	0	0	0	0	0	1.3	0
GRASAS Y ACEITES COMESTIBLES	432.8	1.7	0	1.7	0	0	97.5	0	73.2	0	48.6	0	5.6	0	19.2	0	50.3	0	0	0	0	0	74.3	0	64.1	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	413.4	0.5	34	0	13.1	0	30.5	0	52.6	0	31.4	0	17.1	0	79.6	0	22.5	0.5	36.4	0	14.6	0	67.3	0	14.4	0
HILOS E HILAZAS	446.4	0	74.5	0	38.9	0	24.9	0	36.8	0	68.5	0	102.4	0	0	0	7.6	0	9.7	0	3.5	0	51.7	0	28	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	36	0	0	0	7.4	0	14.5	0	0	0	0	0	0	0	0	0	14.1	0	0	0	0	0	0	0	0	0
INSTRUMENTAL MEDICO Y OTROS	1958	0	93.2	0	132.7	0	71.1	0	95.5	0	163.9	0	84.4	0	523	0	77.4	0	111.7	0	210.7	0	206.1	0	188.4	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	450.9	22.8	0.8	0.2	0.5	1	0.3	1	16.5	1.2	2.3	3.1	8.4	1	5.4	1	25.2	0.8	301.4	1	49.6	2.1	34.6	0.4	6	10
LAMINA Y ALAMBRE	110.1	0	1.9	0	6	0	51.1	0	0.5	0	0.5	0	36.4	0	2.9	0	6	0	0.1	0	1.4	0	0.4	0	2.9	0
LECHE Y OTROS PRODUCTOS LACTEOS	115.5	0	5.6	0	0	0	19.8	0	3	0	0	0	33.1	0	12.1	0	0.2	0	20.3	0	0	0	21.3	0	0	0
MANUFACTURAS DE CAUCHO	238.6	0	10.9	0	122.8	0	3.1	0	9.4	0	9.7	0	11.7	0	2.2	0	24.1	0	10.1	0	7.3	0	6.8	0	20.4	0
MANUFACTURAS DE CERAMICA	754.7	5.5	39.2	1	2.1	0	53.8	0.3	23.3	0.4	117.6	0	69.5	0.5	1.3	0.6	108.8	0.5	68.1	0.2	67.9	0.5	32.5	0.2	170.7	1.2
MANUFACTURAS DE CUERO	96.9	8.5	8.9	0	0	0.5	29.5	0	0	0	13.4	0	1.5	0	4.7	2.6	3	5.3	4.2	0	10.1	0	18.9	0	2.7	0
MANUFACTURAS DE MADERA	163.2	3245.6	0	242.5	1.1	161.2	17.4	242.6	0	210.9	48.1	399.3	5	371.9	2.9	351.5	33.2	384.6	2.9	246.8	0	269.1	51.8	188.5	0.8	176.7
MANUFACTURAS DE PAPEL Y CARTON	3390.9	227.7	100.5	0	302.6	0	132	0	333	0	336.2	227.7	453.7	0	337.8	0	309.1	0	287.9	0	228.6	0	294.9	0	274.5	0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	470.7	0	0.9	0	104	0	0	0	0	0	0	0	249.4	0	0	0	0	0	0	0	19.4	0	96.9	0	0	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	303	1.8	49.3	0.1	1.5	0.5	10	0.2	19.9	0.5	7.2	0	8.8	0.2	37.1	0	12.9	0	1.1	0.1	0.9	0.1	151.7	0	2.6	0
MANUFACTURAS DE PIELES	1361.5	29.7	69.2	0	111.1	0	78.5	0	90.3	0	240.9	0	119.1	0	125.5	0	101.7	0	19.9	17.7	21.3	0	184.3	0	199.6	12.1
MANUFACTURAS DIVERSAS	2085.9	16.1	168.9	0.1	26.6	3.3	248.4	0.9	110.2	0.3	158.1	3.4	260	1	176.3	1.1	309.7	1.2	116.1	1.4	48.5	1.5	236.7	1.2	226.3	0.7
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	29238.3	41.2	1512.7	0	1966.4	0	3235.6	13	2084.6	0.2	3083.7	1.5	1264.3	0	2695.3	0	2920.8	10	4787.3	0.2	1102.4	1	2257	7.9	2328	7.4
MATERIALES PLASTICOS Y SUS MANUFACTURAS	6520.6	82.8	276.2	2.7	1089.3	0.1	356.3	0	595.3	24.1	349.3	3.6	729.1	0	359.5	0	761.9	0	493.9	24.2	238.9	0	691.4	2.9	579.3	25.2
MATERIALES TEXTILES (TEJIDOS O TELAS)	3566.7	441.5	594.7	0	176.2	0.6	357.1	440.3	629.9	0	376.5	0	608.2	0	276.5	0	352.1	0	68.8	0	11.9	0	20.7	0.5	94.1	0
MOTA DE ALGODON	0	8.4	0	0	0	0	0	0	0	0	0	8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	1639.8	9.2	411.5	0	215.8	0	35.8	0	118.1	0	73.4	0	90.8	0	234	0	86.3	8.6	74	0	117.6	0	126.6	0.6	56	0
NEUMATICOS Y TUBOS	66.3	0	11.2	0	0	0	17.8	0	0	0	0	0	21.1	0	6.5	0	0	0	0	0	0	0	6.5	0	3.4	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	6.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	6.4	0	0	0	0	0	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	4776.3	0.1	485.6	0	426.2	0	545.1	0	195.4	0	892.5	0	308	0	401.6	0	320	0.1	452.9	0	243	0	250.4	0	255.8	0
PAPEL Y CARTON	207.9	72	0	0	0	0	57.7	45.1	71.5	0.6	62.7	23.4	0	0	0	0.6	7	0.6	0	0.6	0	0	0	0.6	9.1	0.6
PINTURAS Y BARNICES	2222	40	97.6	0	128.2	0	349.3	40	283.4	0	90.6	0	275.3	0	80.6	0	261.2	0	200.1	0	73	0	286.3	0	96.4	0
PREPARADOS A BASE DE CEREALES	649.6	4.6	0	0	82.1	4.6	31	0	91.2	0	66.4	0	20	0	47	0	18.3	0	52.4	0	40.4	0	154.3	0	46.5	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	74.1	4979.9	5.2	0	0	0	0.2	0	1.9	2231.9	0.3	1682.8	58.5	874.7	0	190.5	0	0	0	0	0	0	7.9	0	0.1	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	202.7	0	0	0	20.5	0	45.6	0	13.2	0	0	0	22.5	0	1.9	0	0	0	40.3	0	0	0	19.6	0	39.1	0
PREPARADOS DE FRUTAS	326.5	54	24.1	9	22.2	0	46.8	0	23.5	0	0	0	49.1	0	0	0	22.7	9	24.1	0	44.8	18	49	18	20.3	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	653.5	0	27.1	0	3.2	0	98.3	0	103.2	0	134.8	0	62.4	0	0	0	48.8	0	0.8	0	73.1	0	50.1	0	51.7	0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	2846.3	120.2	440.7	0	168.8	0	266.7	0	268.9	0	225.5	0	212.9	0	153.5	0	309.7	0	271.6	0.2	100.4	0	274	60	153.6	60
PRODUCTOS FARMACEUTICOS	5291.8	0	240.9	0	525.5	0	575.4	0	447.1	0	484.4	0	288.8	0	842.4	0	551.4	0	321.2	0	393.7	0	125.8	0	495.2	0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	0.1	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	34.6	11	0.2	0	10.5	0.6	0.3	0	0	0	0	3.5	11.3	0	0.4	0	0.8	6.8	0.1	0	3.7	0	0.4	0	6.9	0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	39.3	2.9	0	0	8	2.9	0	0	7	0	3	0	0.5	0	4.4	0	0.3	0	4.5	0	3.3	0	5.2	0	3	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	27.5	1	2	0	0.3	0.1	3.9	0	0	0	4	0.7	1	0.1	5	0	0.8	0	7.2	0	0.9	0	0.5	0	1.9	0
TUBERIA Y SUS ACCESORIOS	848.2	9	168.5	0	51.6	0	50.8	9	88.3	0	159.4	0	75.2	0	24.6	0	61.3	0	31.4	0	19.5	0	27.7	0	89.9	0
VEHICULOS Y MATERIAL DE TRANSPORTE	2077.1	8.8	170.5	0	179.6	0	114.9	0	76.3	0	46.1	0	684.5	0	127.9	0	155.8	0	245.2	0	26.5	8.8	92.7	0	157.1	0
VIDRIO Y SUS MANUFACTURAS	540.6	14.4	2.3	0	22.6	0	104.6	0	45.8	0	82	5.8	0.9	0	29.3	0	1.8	0.3	102.4	0	26.1	0	50.5	8.3	72.4	0
INDUSTRIAS EXTRACTIVAS	24987.4	0.2	13.2	0	15.1	0	79.8	0	50.5	0	174.4	0	75.2	0	878	0	44.7	0	23455.6	0.2	98.5	0	14.1	0	88.3	0
ALUMINIO	542.2	0	3.8	0	3.8	0	79	0	1	0	61.2	0	31	0	86.5	0	4.3	0	109.3	0	73.1	0	3	0	86.3	0
CEMENTO	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0	0
COBRE Y SUS MANUFACTURAS	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0
ESTA&O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GASES INDUSTRIALES	113.3	0	0	0	0	0	0	0	0	0	80.4	0	0	0	0	0	0	0	32.9	0	0	0	0	0	0	0
GASOLINA	23226.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23226.3	0	0	0	0	0	0	0
HIERRO Y ACERO	819.2	0	0	0	1.5	0	0.6	0	0	0	0	0	0	0	791.5	0	0.1	0	0	0	25.4	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	158.5	0	0	0	0	0	0	0	43.5	0	32.6	0	1	0	0	0	18.9	0	62.5	0	0	0	0	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	6.1	0	2.4	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0.1	0	0	0	0	0	0	0	2.1	0
PRODUCTOS MINERALES DIVERSOS	112.5	0.2	7.1	0	9.8	0	0	0	6	0	0	0	41.7	0	0	0	14.7	0	24.7	0.2	0	0	8.6	0	0	0
ZINC	3.1	0	0	0	0	0	0.2	0	0	0	0.2	0	0	0	0	0	0.2	0	0	0	0	0	2.6	0	0	0
