,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
ALUMINIO,4628.4,344.2,468.5,98.9,460.6,0.3,657.9,1.5,341.8,0.2,299.1,14.9,463.3,0.1,292,66.6,407,0,347,12.4,332.9,3.5,288.4,65.3,269.8,80.4
ANTIMONIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASFALTO,0,50.7,0,0,0,0,0,0,0,26.1,0,0,0,0,0,0,0,0,0,24.7,0,0,0,0,0,0
CEMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBRE Y SUS MANUFACTURAS,159.5,136.7,0,0,0,0,0,96.2,39.7,0.1,25,0,0,26.2,0,0,0,0,0,0,94.8,0,0,14.2,0,0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),95.3,7.1,29.7,0,30.4,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,28.6,0,0,0,0,7.1
DIESEL,0,145.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.3,0,0,0,0,0,0
ESTA&O,0,2.7,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.6
GASES INDUSTRIALES,0,264.9,0,32.1,0,19.8,0,20.7,0,20.9,0,22.6,0,21,0,0.9,0,42.7,0,21.1,0,20.5,0,21.2,0,21.4
GASOLINA,0,18950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18950,0,0,0,0,0,0,0,0
GAS PROPANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,0,4908.2,0,29.1,0,46.6,0,8.3,0,912,0,13.9,0,24.4,0,66.3,0,28.9,0,0,0,3314.6,0,25,0,439.1
KEROSENE,0,7545.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7545.2,0,0,0,0,0,0
MAGNESIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARMOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIQUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
