	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
PIMIENTA	619.5	215.2	12.1	20.9	0	27.9	11.1	9.6	74.1	14.3	21.7	16.7	67.5	16.7	0	29.2	29.8	15.4	98.9	16.3	21.4	22.8	202	13.9	81	11.6
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	1310.1	1485.3	210.5	87.2	90.2	26.9	2	26.8	0.3	252.4	0.5	58.6	0.1	302.4	327.8	276.1	255.1	76.4	0.5	293.9	172.5	32.5	79.3	43.6	171.1	8.4
PLATANO	79765.9	49.4	5599.1	1.4	4751.6	0	6118.5	2.1	6340.9	0	6714.1	0	6756.7	0	7701.3	0	7568.7	41.7	7038.1	0	7185.8	0	7373.9	4.2	6617.2	0
SEMILLA DE AJONJOLI	11541.6	22.6	1043.8	0	1310.2	0.4	811.7	0.4	667.5	0.2	593.1	11.2	1121.5	0	1026.3	0.7	1153.8	0	667.3	0.2	956.8	1.5	968.5	5.4	1221.2	2.7
TABACO EN RAMA O SIN ELABORAR	26279.7	0.3	0	0	2090.4	0	0	0	0	0.1	2154.2	0	5275.7	0	5872	0	1455.2	0.1	4419.3	0	2154.5	0	2858.4	0.1	0	0.1
TOMATE	11648.2	0	1470.5	0	1436.3	0	1258.5	0	716.2	0	300	0	310.1	0	464.1	0	779.5	0	919.5	0	1021.2	0	1086.3	0	1885.9	0
TRIGO	0	138905	0	8212	0	8033.6	0	14022.9	0	3932.5	0	23647.6	0	10946.2	0	9954.5	0	16219.3	0	8135.9	0	8279.6	0	9126	0	18394.9
YUCA	3.3	4.2	0.1	0	0	0	0	0	0	0.2	1.3	0	0	0	0	0	1.9	0	0	0	0	4	0	0	0	0
INDUSTRIAS EXTRACTIVAS	285044.4	2381617.6	24835.2	197793.7	41914.3	177183.7	29461.4	246179.1	17801.9	220097.5	41621	159486.7	10869.5	183243.2	16903	178184.6	14317.5	156548.5	32240.8	158512.7	18478.8	216475.6	20788.4	195542.9	15812.8	292369.4
ALUMINIO	15492.7	40984.1	886.3	4085	1312.9	4076	1352.2	4274	1072.8	1972.6	1149.2	1928.7	982.4	3358.2	1048.3	3521.2	1392.8	2954.6	1237.6	3007.3	2045.9	5250	1705.9	4265.7	1306.3	2290.8
ANTIMONIO	0	28.3	0	0	0	0	0	0	0	0	0	0	0	28.3	0	0	0	0	0	0	0	0	0	0	0	0
ASFALTO	0	470.3	0	17.4	0	51.2	0	43.7	0	43.6	0	46.1	0	34.6	0	34.6	0	51.8	0	17.3	0	66.8	0	19.2	0	44.1
CEMENTO	0	311.5	0	0.7	0	21.9	0	22.4	0	13.7	0	21.7	0	37.8	0	69.9	0	11.7	0	15.4	0	21.4	0	3.9	0	71
COBRE Y SUS MANUFACTURAS	1051	970.2	1.5	160.5	17.7	148.4	35.3	66.4	75	40.9	3	52	212.8	96.9	25.7	73.9	36.6	55.8	77.6	59.2	139.3	53.9	339	115.7	87.5	46.7
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	67.9	9705.2	0	0.2	0	0	23.6	0.1	0	0.8	0	0.9	21.9	4.5	0	1	0	0.1	22.5	3.1	0	1.1	0	3.2	0	9690.5
