	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	3465287.1	6519796.1	267966	464325.9	274557.2	499011.4	320520.2	558271.8	316291.7	570159.2	293982.9	546417.3	295109.5	594319.6	278183.6	458946.9	305588.9	532656.6	289741.1	574726.5	232722.9	532584.6	290809.1	567257.5	299814	621118.8
INDUSTRIAS AGROPECUARIAS	1451652.7	475754.9	113150.2	23021.6	121665.9	46599.8	159458.1	37760.9	147149	47694.9	108006.5	40709.8	105333.2	42125.9	109686.6	33600.3	126158.6	38814	116570.1	49119.8	88322.7	37973.8	120904.3	41505.8	135247.6	36828.1
ALGODON	0	39283.2	0	2377	0	4087.8	0	2311.3	0	3155.9	0	4197.3	0	3016.4	0	4088.8	0	2890.5	0	4049.3	0	2439.3	0	4851.1	0	1818.5
ANIMALES VIVOS DE GANADERIA	17.8	223.3	10.8	0	2	26	0	0	0	37.7	0	78.7	0	0	0	51.7	0	13.9	0	0	0	11.2	0	0	5	4.1
ANIMALES VIVOS DIVERSOS	6.3	347.6	0.7	28.5	0	26.8	0	15.8	0.8	22.5	0	30.3	0.8	33	0	20.4	0.8	24.4	0	58.6	1.1	24.1	1.1	25.6	1	37.6
ARROZ	100.3	33006.5	5.1	862.7	9.2	2739	8.2	2260	7.3	3697.6	13.1	3315.3	6.4	3818.9	4.5	2696.5	5	2677.1	12.3	785.6	4.6	3379.6	16.7	2891	7.9	3883.2
AVES DE CORRAL VIVAS	0	8984.1	0	643.7	0	443.7	0	861.6	0	670.4	0	967.9	0	722.5	0	571.5	0	394.6	0	1023.8	0	925.6	0	1055.4	0	703.3
BANANO	617158.5	110.9	44342.4	25.3	47292.9	0	56130.2	19.9	53538.1	1.5	52796.8	6.1	48895.3	9.6	47563.3	0	64780.6	12.6	59036.5	16.6	47601.7	4.4	50193.2	11.8	44987.7	3.1
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	28950.4	20394	3923.2	665.3	3485.9	2233.1	2477.4	1864.7	1822.4	1598.1	1020.5	1745	1704.8	1664	1335.9	1277.1	2469	2894.4	3115.5	2118.9	2290.6	1022.7	2656.7	1308.6	2648.6	2002.2
CACAO	202.4	0	0	0	0	0	0	0	0	0	0	0	68.1	0	0	0	55.8	0	28.2	0	0	0	0	0	50.3	0
