	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	2036.1	78.9	847.9	19.3	46.6	0.2	140.5	0.1	22.2	0	80.3	19.3	36.7	0	82.4	20	21.2	2	140	14.3	79.3	0	62.3	1	476.6	2.7
PLATANO	31.2	19361.4	0	2061.2	0	1030.2	0	1220.9	0.2	1408.9	9.7	1576	18.5	1695.8	0.6	1915	1.7	1734.2	0	1817.9	0.3	1677.2	0	1334.5	0	1889.5
SEMILLA DE ALGODON	57.6	1.2	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	57.6	0	0	0	0.1	0	0	0	0	0
SEMILLA DE AJONJOLI	358.6	6669.7	257.8	566.7	18.5	841.3	9.8	1101.3	0	292.5	0	763.9	0	1078.3	1.4	386.2	2.5	381.7	0.2	398.6	56.3	400.1	0.2	236.5	12	222.5
TABACO EN RAMA O SIN ELABORAR	0.2	19355.4	0	0	0	0	0	0	0.2	0	0	712.7	0	5123.8	0	10376.3	0	2152.7	0	784.3	0	66	0	97.4	0	42.2
TOMATE	0	4126.7	0	325.6	0	464.7	0	533.3	0	610	0	322	0	126	0	181.3	0	80.6	0	190.2	0	249.3	0	407.9	0	635.8
TRIGO	121092.4	0.3	9094.3	0	1581.9	0	21979.5	0.1	10479.3	0	6768.7	0	13542.4	0	17457.8	0	0	0	17271.5	0	7981.3	0.2	7292.2	0	7643.4	0
YUCA	4.9	39.4	0.2	7.1	0.3	3.1	0.2	4	0.4	2.6	0	2.3	0.2	3.9	1.3	2.5	0	1.3	0.5	3.8	0.5	5.2	0.7	1.8	0.8	1.7
INDUSTRIAS MANUFACTURERAS	2743978.7	1363418.9	204594.4	113256.2	233326.4	106447.5	244942.4	105972.8	220921.4	98803.1	215322	121321.8	219321.2	104823.4	251947.7	103366	227421.9	124487.1	223137.4	117687.2	240777.3	124902.2	222971.7	103126.3	239295.1	139225.2
ABONOS Y FERTILIZANTES	19375	3.3	184.4	0	132.3	0	3162.5	0	3135	0	1645.5	0	6202	0	2320.5	0	2150.7	0	159.8	0	127.3	0	62.9	0	92.2	3.3
ACEITE DE SEMILLA DE ALGODON	5.4	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
ALIMENTOS PREPARADOS PARA ANIMALES	122475.2	1.5	12352.6	0.1	9695.9	0.1	9033.3	0	10896.4	0.1	11244.7	0	6379.1	0	18335.9	0	8933.7	0	5240.5	0.5	6640.1	0	13307.4	0.8	10415.6	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	37122	2082	2147.3	1061	2958.2	123.1	3387.8	52	2969.3	289.2	2345	207.9	2597.3	56.3	2715	167.6	3202.2	66.3	3776.1	46.6	4174	9.2	3242.7	2	3607.1	0.9
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	39401.6	1330.3	3102.4	1.8	5517	181.9	2339.9	327.1	1581.5	153.2	1895.1	122.2	4051.8	177	3743.8	6.7	2750.2	60.5	2781.9	154.7	2730.8	15.2	4612.7	51.1	4294.5	79
APARATOS TRANSMISORES Y RECEPTORES	145413.5	8529.5	4811.4	168.6	7793.9	358.7	7630.6	366.1	9791.2	68.4	10201.3	90.1	21800.8	185.6	20261.8	45.6	14742.9	595.2	12831.1	136.5	12061.6	71.6	10862.2	195.8	12624.7	6247.4
ARMAS Y MUNICIONES	2070.1	0	146.1	0	209.1	0	144	0	192.2	0	193.7	0	154.2	0	176.1	0	123.3	0	241.1	0	290.2	0	119.7	0	80.3	0
ARTICULOS DE VESTUARIO	39302.2	963574.4	3759.8	74536.3	4057.6	70742.6	3476.9	78233.8	2671.9	71048.1	2692.4	89875.2	2518.7	79935	3811.2	70621.6	3105.1	87183.1	3375	80278.6	2789.3	93105.1	3848.4	75984.1	3195.9	92030.8
AVES DE CORRAL BENEFICIADAS	37859.3	15.2	1963.3	0	3237.2	0	3351.3	0	2433	0	3121.1	0	2828	0	3912.1	0	3596.2	0	3438.4	0	2595.5	0	3607.1	15.2	3776.1	0
AZUCAR	147.7	61209.7	0.3	5848.3	11.8	9744.9	1.5	2243.1	5.4	1474.5	0.9	7637.2	14.2	559.7	57.2	306.2	13.9	8325.8	14.5	11344.1	15	1053.1	10.3	0	2.8	12672.7
AZUCARES Y ARTICULOS DE CONFITERIA	10827.2	1878.9	946.3	152	594.1	127.5	1098.9	264.3	712.6	111.9	596.7	255.6	549	251.6	723.4	138.5	920.6	65.4	1128.1	142	1312.4	84.4	1285.4	172.2	959.8	113.6
BATERIAS ELECTRICAS	7429.6	2618.4	743.9	265	705	136.7	715.3	234.3	511.4	489	375.8	162.2	465.6	249	784.1	390.5	507.9	471.7	477.6	43.6	826.4	43.3	629.9	85.7	686.6	47.6
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	11437.3	7441.5	1909	451.5	1238	236.2	2275.6	399.9	2174.4	261	895.3	442.9	240	398.6	246.1	434.6	432.5	535.9	455	910.8	848.6	1428.6	379.2	807.2	343.6	1134.4
CAFE SOLUBLE Y MOLIDO	876.9	48.7	15.4	0.6	8.9	2.6	36.2	5.7	302.9	0	19.7	1.1	7.5	1	80.1	1.8	7.9	1.3	311.5	4.5	9.4	1	15.5	28.4	61.8	0.7
CALZADO	12913.1	3132.6	688.1	259.5	1054.4	216.2	1217.6	404.5	914.4	69.8	1136.2	493.3	882	304.3	1130	219.5	885.6	304.5	1149.6	171.5	1141	177	1401	204.7	1313.4	307.9
CAMARON Y LANGOSTA	1172.8	13384.3	154.3	817.3	5.7	708.5	4.3	872.5	21.7	901.8	373.8	1619.9	10.4	871.3	21.6	938.6	11.7	1460.6	7.3	1550.9	407.1	1069.5	123.8	1565.4	31.2	1008
CARNE	14451.7	12.5	956.9	0	1739.8	5.9	1445.8	0	837	0	924.3	0	691.8	0	994.7	0	836.9	6.6	777.8	0	1454.5	0	1881.7	0	1910.5	0
CERAS	1895.1	193.9	115.4	26.3	170.6	9.3	183.6	2.4	154	0	139.7	0.6	204.7	0.1	165.6	5.1	105.4	112.4	134.9	13.8	215.1	1.7	150.7	0.5	155.4	21.7
CLAVOS Y TORNILLOS	5028.5	26.6	439.4	0.2	309.1	6	532.7	0	453.8	0	372.4	0	437.2	0	501.5	0.3	456.2	16.3	440	0	326.7	0.1	388.6	0	371	3.8
DETERGENTES Y JABONES	7776	1818.6	564	78.9	629.5	4.2	662	105.8	483.9	77.2	594.3	298.3	679.3	154.6	785	109.8	800.9	307.8	738.8	136.7	627.4	250.4	585.3	195.6	625.7	99.4
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	1411.5	3.7	100.6	0	111.1	0.6	215.2	0	64.1	2.6	99.2	0.6	168.8	0	106.8	0	101.6	0	124.2	0	98.2	0	112.8	0	109.1	0
GRASAS Y ACEITES COMESTIBLES	48739.8	2271	4526.7	170.3	2516.8	182	4902.8	343.8	3592.2	95	1899.8	216.2	5787	184.3	5032.3	206.9	4256.1	211.4	4269.2	378.5	5434.4	5.7	1621.7	230	4900.8	47.1
