	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
ARTICULOS DE VESTUARIO	41.9	497.3	0.8	0	3.1	311.1	0.8	1.5	3.9	0	0	0	0.7	0	0.9	1.1	2.3	0.3	4.7	2.5	20.3	180.7	2.4	0	1.9	0
AZUCAR	0	2439.9	0	0	0	0	0	0	0	0	0	0	0	277.5	0	283.1	0	189.8	0	286.3	0	532.9	0	680.5	0	189.8
AZUCARES Y ARTICULOS DE CONFITERIA	101.9	0	0	0	11.6	0	2.5	0	9	0	17.7	0	15.9	0	27	0	0	0	0	0	9.7	0	0	0	8.5	0
BATERIAS ELECTRICAS	13.4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	3.4	0	1.6	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	686.8	9.8	116.8	0	0	0	106.8	0	84.2	0	79.7	0	30.6	0	89.1	9.8	36	0	0	0	43	0	9.3	0	91.2	0
CAFE SOLUBLE Y MOLIDO	333.8	0	0	0	0	0	0	0	0	0	0	0	333.8	0	0	0	0	0	0	0	0	0	0	0	0	0
CALZADO	8.8	27.4	0	21.1	0	0	0	0	1.8	0	0	0	4.2	0	1.5	0	0.2	0.3	0	6	0.1	0	0.7	0	0.3	0
CERAS	117.4	0	21	0	0	0	21	0	0	0	21	0	27.3	0	3	0	2.2	0	0	0	0.6	0	21	0	0.3	0
CLAVOS Y TORNILLOS	138	0.3	14.9	0	3.1	0.3	26.2	0	0.2	0	7.5	0	1	0	27.3	0	24.7	0	8	0	8.1	0	0.3	0	16.8	0
DETERGENTES Y JABONES	1061.7	7.8	39.5	0	96.1	0	97.4	0	131.5	0	209.3	0	64	0	43.9	7.8	70.2	0	76.2	0	166.4	0	59.3	0	7.9	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	23.3	0	0	0	0	0	9.5	0	1.2	0	0	0	0	0	0	0	2.6	0	0	0	10	0	0	0	0	0
HARINAS DE CEREALES	4966.3	0	10.5	0	0	0	0	0	2318.8	0	0	0	12.1	0	0	0	12.1	0	2596.7	0	0	0	16.2	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	581.8	0.2	127.7	0	0.6	0	74.5	0.2	93.9	0	22	0	21.3	0	9.5	0	28.9	0	100.8	0	28.7	0	46.9	0	27	0
HILOS E HILAZAS	311.5	0	0	0	0	0	110	0	0	0	17.2	0	72.2	0	0.2	0	99.5	0	0	0	0	0	12.4	0	0	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	7176.9	0	555.7	0	735.7	0	590.3	0	337.8	0	655	0	408.7	0	1220.2	0	764.8	0	394.6	0	926.6	0	139.6	0	447.8	0
INSTRUMENTAL MEDICO Y OTROS	701	17.9	147.4	0	33.2	0	21.3	17.9	90.2	0	12.4	0	49.5	0	14.6	0	24.2	0	132	0	42.5	0	83.3	0	50.4	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	100.3	6.4	0.5	0	1	0.1	0	0.1	0	0	0	0	22.7	4	24.9	0	1.1	0.1	4.3	2.1	29.5	0	5	0	11.2	0
LAMINA Y ALAMBRE	615.9	0	0.5	0	0.4	0	0.4	0	38.6	0	86	0	70.9	0	0	0	7.6	0	3.2	0	203.1	0	3.2	0	202	0
LECHE Y OTROS PRODUCTOS LACTEOS	1069.3	21	0	0	14.3	21	381.7	0	136	0	186.7	0	109	0	126.5	0	115.1	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	585.2	568.9	76.3	52.1	15.3	28.1	164.8	75.9	41.1	124.2	32.7	0	12.9	60.7	11.7	0	41.9	73.4	56	0	58.6	81.3	29.7	0	44.1	73.1
MANUFACTURAS DE CERAMICA	285.7	1	0	0	0.5	0.1	0	0.2	68.3	0	64.3	0	0.4	0.1	0.2	0	0.2	0.3	42.2	0	107.2	0.2	0	0.1	2.3	0
MANUFACTURAS DE CUERO	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE MADERA	230.7	0.8	20.2	0	31.4	0	29.9	0	0	0	0	0	0.8	0	25.4	0	67.4	0.2	31.5	0.4	1	0	19.8	0.2	3.3	0
MANUFACTURAS DE PAPEL Y CARTON	848.3	21.8	71.2	0	11.1	0.5	31.7	6.3	46.5	0	30.6	0	130.7	0	215.7	0	90.8	14.8	125.7	0.1	28	0	52.5	0	13.7	0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	261.6	0	0.8	0	80.3	0	0	0	0	0	5.4	0	85.4	0	86.4	0	0	0	3.2	0	0	0	0	0	0.1	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	2.2	0
MANUFACTURAS DIVERSAS	2027.6	4.4	75.3	0	38.2	0	68.3	0	928.5	0	105	0	243.2	4.3	140.2	0	97.9	0	33.1	0	50.9	0	165.8	0	81.1	0
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	12387.9	16.2	2431.9	0	270.9	1.1	664.3	0.1	371.6	0	948.6	0	683.9	1	2358.5	0	1325.3	0.2	1207.4	0.2	841.6	0.1	608.4	10.5	675.6	3
MATERIALES PLASTICOS Y SUS MANUFACTURAS	5668	44.6	444.5	0	315.8	34.7	360.9	0	231	0	706.5	0	564.3	0	711.9	3.4	632.4	0.1	491.4	6.4	533.8	0	295.3	0.1	380.2	0
MATERIALES TEXTILES (TEJIDOS O TELAS)	548.9	0.9	50.8	0	87.1	0	42.4	0	0	0	0	0	23.5	0.1	105.3	0	131.6	0.6	3.5	0.2	33	0	0.8	0	70.9	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	101	5.7	1.4	0	5.9	0.1	12.4	2.3	6.9	0	5.1	0	6.7	0	2	0	7.7	1	5.7	1	21.3	0.4	12.6	1	13.4	0
NEUMATICOS Y TUBOS	230.6	0	0	0	0	0	16.7	0	15.7	0	7.9	0	12.6	0	14.4	0	21.8	0	13.8	0	99.4	0	13.6	0	14.8	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	53.5	0.5	0	0	0.5	0	0	0.2	0	0	0	0	31.8	0	1.9	0	0.1	0.1	0	0.1	2.1	0	16.8	0.1	0.4	0
OTRAS MANUFACTURAS DE METALES COMUNES	354.4	5.4	15.4	0	12.6	0.1	33.6	0.4	12.7	0	24.7	0	62.3	0	11.1	0	33.2	0.1	68.7	0.1	26.3	0	15.6	4.7	38.1	0
OTROS ACEITES ESENCIALES	70.7	0	1.1	0	14.9	0	3.2	0	0	0	0	0	20.5	0	2.9	0	2	0	0	0	26.1	0	0	0	0	0
PAPEL Y CARTON	1379.2	0	117.1	0	62.9	0	109.5	0	303.4	0	78.3	0	110.4	0	85.7	0	109.7	0	231.7	0	27.2	0	61.6	0	81.9	0
PESCADO Y MOLUSCOS	36.5	0	0	0	0	0	0	0	0	0	0	0	0	0	36.5	0	0	0	0	0	0	0	0	0	0	0
PINTURAS Y BARNICES	2629.4	0.3	124.6	0	185.6	0	169.8	0	434.5	0	161.7	0	258.1	0	276	0	293	0	64	0	365.4	0	198	0.3	98.7	0
PREPARADOS A BASE DE CEREALES	527.9	15.1	0	0	9.2	11.7	6.3	3.2	0.2	0	0	0	0.4	0	5.3	0.2	19.4	0	19	0	151.8	0	316	0	0.3	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	627.6	3.6	60.3	0	0	0	55.9	0	67.7	0	91.6	0	0	0	236.6	3.6	0	0	54.9	0	54.5	0	0	0	6.1	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	326.2	0	33.7	0	0	0	20.6	0	18.1	0	19.9	0	19	0	63.4	0	66.3	0	42.8	0	42.4	0	0	0	0	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	1287.2	12.6	13.6	0	64.8	0	99.3	0	103.7	10.5	207.3	0	109.4	0	67.9	2.1	125.3	0.1	208.8	0	106.9	0	22.8	0	157.5	0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	18176.8	0.2	1470.6	0	1340.6	0	1680.4	0	1819.9	0	1027.3	0	1540.1	0	3224.5	0	1621.3	0	1097.3	0	1248.8	0	955.4	0.2	1150.6	0
PRODUCTOS FARMACEUTICOS	1967.3	0	18.1	0	383.9	0	428	0	30.9	0	323.5	0	180.3	0	157.6	0	24.3	0	59.1	0	100.1	0	11.8	0	249.7	0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	1531.1	0	218.6	0	204.3	0	120.4	0	98	0	227.7	0	16	0	190.1	0	18.9	0	139.1	0	57.6	0	185.5	0	54.9	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	49.9	0.4	0.4	0	0.1	0	0	0.1	19.8	0	0.2	0	0.1	0	0.8	0	0.4	0.1	27.2	0.1	0.6	0	0.1	0	0.4	0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	178.1	5.5	0	0	0	0	0	0	44.7	0	0	0	0	0	0	5.5	52.3	0	0	0	81.1	0	0	0	0	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	1.1	0	0	0	0	0	0	0	0.3	0	0	0	0.1	0	0	0	0.3	0	0	0	0	0	0	0	0.4	0
TUBERIA Y SUS ACCESORIOS	321.7	0	6.9	0	73.9	0	6.6	0	26	0	124.4	0	0	0	4.7	0	15.7	0	22.9	0	2.4	0	3.6	0	34.6	0
VEHICULOS Y MATERIAL DE TRANSPORTE	24282.4	20.3	1464	0	2752.7	10.1	1338.6	0	1427.5	0	3039.9	0	1105.4	0	4224.1	0	1873.7	0.1	1952.5	0.1	1956.5	10	1597.5	0	1549.9	0
VIDRIO Y SUS MANUFACTURAS	281.7	1	0.7	0	2.1	0	1.4	0.3	4.9	0	0	0	28.3	0.1	12.9	0	1.7	0.2	67.8	0.1	17	0.3	54.8	0	90.2	0
