	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	107603.3	39066.4	8451	1715.5	5095.3	2315.4	10516.3	3154.6	10365.1	3332.6	15210.5	3696.9	7352.2	4773.8	9764.1	4184	6910.7	2793.2	8393.7	3980.6	9204.4	4514.6	9725.6	2712	6614.2	1893.2
INDUSTRIAS AGROPECUARIAS	264.3	31625	0	1125.8	10.7	1564.1	10.7	2822.3	76.7	2626.9	0	2781.2	18	4057.1	6	3459.6	50.3	2473.5	12	3338.2	36.9	3658.4	35.4	2337.9	7.6	1379.9
ANIMALES VIVOS DIVERSOS	0.7	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANANO	0	3728.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284.5	0	2443.9	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	144.9	5.3	0	0	4.9	0	0	0	76.7	0	0	0	18	1.8	0	0	8.5	0	0	0	36.8	0	0	2.1	0	1.4
CAFE	0	25357.6	0	1108.3	0	1544.6	0	2776.2	0	2605	0	2655	0	3980.8	0	2377.5	0	2285.4	0	1840.8	0	983.1	0	2070	0	1130.9
CAUCHO NATURAL (HULE)	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0.2	0	0	0	7.6	0
FLORES Y FOLLAJES	0	1036.2	0	0	0	0	0	0	0	0	0	0	0	0	0	90.8	0	187.8	0	193.1	0	205.5	0	212.5	0	146.4
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	299	0	0	0	0	0	46.2	0	0	0	48.8	0	0	0	52.5	0	0	0	0	0	0	0	53.3	0	98.3
LEGUMBRES Y HORTALIZAS	5.6	123	0	17.6	0	19.4	0	0	0	21.9	0	40.7	0	0.4	5.6	0	0	0.4	0	19.8	0	0	0	0	0	2.9
MIEL DE ABEJAS	0	180.5	0	0	0	0	0	0	0	0	0	36.7	0	73.4	0	44.4	0	0	0	0	0	25.9	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	19.6	0	0	0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	85.5	0	0	0	5.9	0	2.5	0	0	0	0	0	0	0	0	0	41.8	0	0	0	0	0	35.4	0	0	0
TABACO EN RAMA O SIN ELABORAR	0	895	0	0	0	0	0	0	0	0	0	0	0	0.6	0	894.3	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	97552.4	7427.3	7956.6	589.7	4989.5	751.3	9489.8	332.3	10039.8	705.6	15053.5	915.8	7243.3	716.6	7904.2	724.4	6004.8	306.4	6234.4	641.7	8105.2	856.2	8232.6	374.1	6298.7	513.3
ABONOS Y FERTILIZANTES	5085.4	7.8	56.3	0	79.2	0	333.7	0	2484.6	0	340.5	0	59	0	223	7.8	71.3	0	178.7	0	1127.8	0	106.8	0	24.6	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	107.2	5.5	0	0	0	0	0.1	0	0.2	0.1	1.4	0.4	0.4	0.9	66.3	2.3	11.7	1.8	7	0	19.4	0	0.2	0	0.4	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	270.2	3	0.1	0	0	0	5.4	0	107.7	0.3	0.1	0.2	6	1.4	0	0.6	89.1	0.5	1.5	0	60.3	0	0	0	0	0
APARATOS TRANSMISORES Y RECEPTORES	1510.5	1.4	0.9	0	0	0	0	0	0	0	1489.5	0.1	18.1	0.1	0	0.6	0	0.5	0.1	0	0.6	0	0	0	1.4	0
ARMAS Y MUNICIONES	27.8	0	0	0	0	0	0	0	0	0	0	0	0	0	27.8	0	0	0	0	0	0	0	0	0	0	0
ARTICULOS DE VESTUARIO	39.7	1200.9	0.3	462.2	0	619.3	0	0	0.1	0	6.3	0.2	1.2	3.5	0	5.4	17.5	7.6	0.1	1.6	10.6	101	1.8	0	1.8	0
AZUCAR	0	3719.5	0	0	0	0	0	294.7	0	636.1	0	643.1	0	690.3	0	508.8	0	188.6	0	180.4	0	165.1	0	223.1	0	189.3
AZUCARES Y ARTICULOS DE CONFITERIA	261.1	0	20.4	0	29.3	0	37.7	0	8.2	0	63.3	0	7.3	0	25.2	0	30.4	0	0	0	39.3	0	0	0	0	0
BATERIAS ELECTRICAS	3.4	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	528.1	0.1	0	0	0	0	90.3	0	53.9	0	11	0	0	0.1	36.9	0	0	0	0	0	217.3	0	57.5	0	61.3	0
CALZADO	3.3	86.4	0	0	0	86	0	0	0	0	0	0.1	0.1	0.1	0	0	0	0.2	0	0	2.1	0	0	0	1.1	0
CERAS	131.4	8.5	0	1	19.8	6.7	0.3	0	21	0.9	19.5	0	0	0	3.1	0	2.1	0	21	0	21	0	23.4	0	0.1	0
CLAVOS Y TORNILLOS	85.6	0.1	0.3	0	19.4	0	0	0	2.8	0	0.2	0	0.9	0	17.6	0.1	16.5	0	0.7	0	0.7	0	0.4	0	26.1	0
