,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"519,755.80","396,467.20","40,415.20","27,291.30","43,803.10","34,253.30","42,824.00","35,328.90","43,227.80","27,414.80","45,839.90","36,395.60","41,114.00","33,833.40","44,310.50","33,511.50","43,139.40","32,891.60","43,742.90","31,995.50","48,874.70","32,936.90","42,673.40","36,915.10","39,790.80","33,699.30"
INDUSTRIAS AGROPECUARIAS,"8,080.30","29,519.30",361.8,"1,836.00",466.2,"2,619.40",470.4,"2,910.10",867.1,"1,080.00",722,"2,212.80",855.2,"2,673.10",829.2,"3,439.60",930.4,"2,425.10",749.4,"3,684.50",780.8,"2,288.20",587.3,"2,539.90",460.3,"1,810.60"
ANIMALES VIVOS DE GANADERIA,234.1,12.5,0,0,44.1,0,0,0,38.6,0,20.4,4,0,6,0,0,1.3,0,112.1,2.5,5.7,0,12,0,0,0
ANIMALES VIVOS DIVERSOS,13.40,0,0,0,0.2,0,0,0,2.9,0,2.7,0,1.4,0,0.5,0,3,0,1.2,0,0,0,0.4,0,1.2,0
ARROZ,137.70,135,0,0,0,0,0,0,92.9,0,0,0,7.2,0,0,0,0,135,0,0,6,0,0,0,31.6,0
BANANO,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,26.6,0,1.3,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES","1,416.50",123.50,25,1.9,1.3,1.9,12.1,0,103.9,18.5,114.8,2.7,129.5,1.4,285.3,95.2,290.6,1.2,188.9,0,257.5,0,7.7,0.5,0,0.2
CACAO,11.50,0.00,0,0.00,0,0,0,0,0,0,11.5,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0
CAFE,3.1,"1,987.20",0,0,0,0,0,0,0,0.00,0,0,0,0.00,3.1,0.00,0,0,0,"1,987.20",0,0,0,0,0,0
CARDAMOMO,0,7.80,0,0,0,0.00,0,1.4,0,0,0,0,0,0.9,0,3.2,0,0.00,0,2.40,0,0.00,0,0.00,0,0.00
CAUCHO NATURAL (HULE),199.5,"16,666.70",0,"1,221.20",24.5,"1,417.90",29.2,"2,022.80",14.5,347.30,15.3,"1,008.10",29.2,"1,718.30",25.9,"1,592.50",0,"1,361.60",28.5,"1,245.30",0,"1,539.90",3.4,"2,051.40",29.2,"1,140.30"
CEBOLLA,11.7,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,7.9,0.00,3.8,0.00,0,0.00
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,7,0,0.8,0,0.8,0,0.8,0,0.4,0,0,0,0,0,2,0,0.6,0,0.8,0,0,0,0.4,0,0.3
ESPECIAS,47.4,359.3,10.9,6.9,4.5,38.7,0.7,39.6,6.3,23,2.8,72.4,0.4,42.9,5.1,15.2,4.5,9.6,1.3,22.8,4.5,33.6,5.5,31.7,0.8,22.9
FLORES Y FOLLAJES,12.3,204.4,0,7.8,0,15.1,0,38.1,0,1.7,0,4,0,5.6,0,7,0,9.2,12.3,83.3,0,8.8,0,12.8,0,11.2
FRIJOL,0.00,218,0,1.3,0,0.4,0,0,0,2,0,0.6,0,32.9,0,71.4,0,0,0,0,0,0,0,0,0,109.4
"FRUTAS FRESCAS, SECAS O CONGELADAS","4,706.20","1,840.60",298,191.2,191.2,45,198.2,52.1,457.3,7.5,467,237.1,524.4,238.2,379.6,332.1,539,193.6,380.3,154.6,445.9,237.5,470.4,115.1,354.7,36.50
LEGUMBRES Y HORTALIZAS,6.30,"1,453.20",0,2.6,0,0.7,0.4,0.5,0,42.7,0,2.7,0,82.5,0,357.4,5.9,220,0,49.9,0,126.3,0,160.9,0,407
MAIZ,41.2,195.6,0,0,0,0,0,9.8,41.2,7.4,0,55.5,0,24.8,0,49.5,0,48.6,0,0,0,0,0,0,0,0
MATERIAS VEGETALES,9,0.80,0,0,0,0,0,0,1.3,0.8,2.6,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0
MIEL DE ABEJAS,0,120.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3,0,0,0,64.3,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,783.4,457.1,7.1,21.1,158.1,57.2,147.2,37.8,96,0.7,73.7,41.3,78,42.6,85.7,81.8,57.5,0,6,48.2,21.1,29,42.4,79.2,10.5,18.2
PIMIENTA,118.3,60.6,15,4.1,10.3,1.6,1.4,8.4,3.1,2.1,7.8,0,13.3,17.1,9.9,11.6,16.3,4.6,8.3,1.7,8.6,2.7,9.2,3.2,15,3.3
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",292.80,661.4,5.7,21.1,32,51.9,81.1,18.2,9.2,34.5,3.5,60.3,71.8,16,34.2,128.5,12.3,37.1,10.4,37.8,15.7,198,0.8,12.6,16,45.5
PLATANO,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
