,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
APARATOS ELECTROMECANICOS DE USO DOMESTICO,"17,122.30","1,323.90","1,976.30",156.5,803.8,25.4,"1,513.70",47.2,"1,255.60",71.6,"2,269.40",188.9,"1,035.70",195.5,969.6,99.5,"1,518.30",79.6,"1,754.70",120.3,"1,622.10",101.6,"1,299.80",127.5,"1,103.20",110.4
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,"1,259.00",204.90,22.90,15.20,82.00,5.80,67.40,46.90,357.10,23.90,60.80,17.00,45.70,13.50,8.90,16.40,153.90,3.10,65.70,32.90,77.50,14.40,124.50,12.30,192.60,3.60
APARATOS TRANSMISORES Y RECEPTORES,"1,616.90",91.60,79.6,3.9,164.9,1.9,0.2,25.9,8.5,0.5,916.60,10.10,86.4,30.9,56.10,3.2,56.5,0.3,28.3,9.40,24.5,2.1,37.50,2.9,157.90,0.6
ARMAS Y MUNICIONES,66.20,0.00,0,0,0,0,0,0,0,0,61.3,0.00,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0
ARTICULOS DE VESTUARIO,"2,264.10","2,150.50",87.20,139.7,123.60,127.2,157.90,106.9,83.20,92.7,189.40,323.1,95.10,180,146.9,153.10,262.50,79.6,256.20,110.60,473.90,210.6,278.80,453.7,109.50,173.3
AZUCARES Y ARTICULOS DE CONFITERIA,"2,067.20","4,498.10",148.00,366.8,276.40,278,257.50,441.8,216.60,308.7,155.00,414.3,174.7,206.9,166.1,418.1,118.6,403.5,184.8,397.1,175.5,464.6,126.1,379.3,67.8,419
BATERIAS ELECTRICAS,"1,281.40","1,332.60",92.70,51.3,281.70,36.7,89.20,60.7,15.30,109.1,157.00,205.1,153.50,54,86.70,83.6,102.10,79.3,6.10,147.1,156.80,113.8,0.10,154.7,140.30,237.2
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,"37,503.00","1,655.50","2,626.40",52.8,"2,829.40",92.5,"3,279.10",67.6,"2,894.40",93.3,"3,544.20",94.7,"2,713.80",82.4,"2,896.10",121.3,"3,380.30",147.5,"3,629.60",170.4,"4,058.40",223.4,"2,447.70",209.2,"3,203.50",300.4
CAFE SOLUBLE Y MOLIDO,262.40,7.00,0.00,0,47.20,0.9,0.00,0,40.50,0,44.80,3.4,0,0,0,0,0.1,0,0,0,0,0,129.8,2.5,0,0.2
CALZADO,122.30,"4,556.90",3.00,221,3.90,276.1,13.10,364.5,0.00,248.5,12.80,254.6,0.00,286.9,18.90,315.6,11.10,269.7,40.10,481.8,2.40,614.9,14.90,701.8,2.10,521.6
