,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"423,248.20","610,284.00","30,572.20","47,983.30","34,399.40","45,285.40","37,522.40","49,904.30","35,783.00","41,290.50","32,411.30","54,594.00","37,713.40","50,818.50","35,038.70","46,890.70","36,910.00","53,762.10","34,138.00","53,664.50","33,208.00","58,677.00","35,584.10","46,841.60","39,967.60","60,571.90"
INDUSTRIAS AGROPECUARIAS,"21,476.60","7,863.70","1,689.00",629.30,"1,556.10",647.10,"1,350.20",894.10,"1,878.80",651.00,"1,738.20","1,172.20","2,239.90",598.50,"2,016.50",783.00,"2,063.00",810.00,"1,973.80",365.90,"1,649.50",541.60,"1,738.00",395.10,"1,583.70",376.00
AJO,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGODON,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DE GANADERIA,0.00,175.2,0,6.1,0,16.1,0,0,0,0,0,6.6,0,5.6,0,0,0,15.7,0,17.4,0,97.8,0,9.9,0,0
ANIMALES VIVOS DIVERSOS,0,11.30,0,0.4,0,0,0,0.9,0,0,0,9.3,0,0.4,0,0,0,0,0,0.3,0,0,0,0,0,0
ARROZ,52.20,"1,575.30",0,107.9,0,56.5,0,91.7,0,122.1,0,139.3,0,117.5,0,125.6,0,107.3,0,157.6,0,127,26.1,219.2,26.1,203.7
AVES DE CORRAL VIVAS,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0
BANANO,0.00,0.80,0,0.8,0,0,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",345.6,512.50,18.4,71.7,62.2,51.50,0.4,44.6,16.7,0,12.3,163.1,100.3,7.4,18.1,56.8,52.1,86.60,17.1,18.00,28.5,11.10,14,0.70,5.5,1.20
CACAO,0.00,13.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,13.10,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00
CAFE,804.9,0.00,0,0.00,152.6,0.00,151.2,0.00,282.2,0,188.1,0.00,11.3,0.00,0,0.00,11,0.00,0,0.00,1.9,0.00,0,0.00,6.7,0.00
CARDAMOMO,11.6,0.00,0,0.00,0,0,0,0,0,0.00,0,0,0,0,0,0,9.5,0,2.1,0,0,0.00,0,0,0,0
CAUCHO NATURAL (HULE),"16,573.40",217.9,"1,514.20",16.1,"1,157.50",17.6,744.3,29.5,"1,345.70",2.9,"1,329.00",14.8,"1,716.40",20.4,"1,596.00",0.7,"1,666.30",26.7,"1,620.20",48.6,"1,315.20",0,"1,249.70",27.9,"1,318.80",12.7
CEBOLLA,27.3,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",5.70,0.00,1.7,0,0.9,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0
ESPECIAS,717.80,85.00,32.4,6,16.8,14.1,60.4,2.5,61.8,2.3,12.2,8,16.1,12.8,154.3,3.9,68.6,3,57,9.2,76,5.4,89.5,4.1,72.7,13.80
FLORES Y FOLLAJES,421.60,0.00,34.8,0,17,0,151.8,0,14.8,0,15.8,0,18,0,16.5,0,15.6,0,96.6,0,8,0,9.7,0,23.1,0
FRIJOL,11.3,108.70,1,108.7,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS","1,114.10","3,467.90",4.5,238.8,41.3,336.4,46.2,529.5,48.9,477.1,55.8,527.1,107.4,249.9,153.3,368.9,146.7,367.1,102,60.1,175.9,167.5,172.6,92.8,59.4,52.6
HUEVOS DE AVES,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,160.1,644.2,5.6,5.8,2.5,20.7,9.9,118.4,33.4,0.5,56.9,191.9,7,74.7,12.3,43.7,15.8,136.1,1.7,3.3,0.6,9.2,0,0,14.3,39.7
MAIZ,97.9,0,0,0,0,0,14.6,0,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0
MANZANA,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATERIAS VEGETALES,0.00,4.90,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,2,0,0,0,0,0,1
MIEL DE ABEJAS,460.50,0.00,58.30,0.00,0.00,0.00,58.30,0.00,57.80,0.00,0.00,0.00,57.80,0.00,57.80,0.00,0.00,0.00,56.30,0.00,0.00,0.00,114.40,0.00,0.00,0.00
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,142.60,433.70,0.10,39.00,40.20,60.90,1.20,24.10,10.40,8.90,22.70,56.50,21.60,48.00,0.00,74.70,19.80,38.50,0.00,6.80,16.30,54.90,2.40,21.30,8.00,0.30
PAPA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PIMIENTA,44.10,321.70,0.00,4.40,5.60,41.20,8.50,40.50,1.10,23.40,5.30,19.30,2.30,35.30,6.30,69.20,1.90,7.40,7.10,26.50,1.50,18.60,3.30,16.40,1.20,19.40
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",121.70,254.30,8.60,23.60,12.30,31.20,17.10,12.60,6.20,8.40,5.70,23.60,30.30,20.90,2.00,22.60,2.30,21.70,13.70,12.20,8.40,43.30,5.60,2.70,9.40,31.40
PLATANO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEMILLA DE ALGODON,0.00,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0.00,0
