,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,"320,978.50","182,052.30","24,389.90","10,752.10","27,954.00","13,719.50","29,203.50","17,098.60","23,318.30","13,377.60","27,010.50","15,063.00","24,699.80","15,171.90","28,714.40","16,883.60","25,095.80","14,455.60","27,781.30","15,179.20","27,924.00","16,659.30","28,701.30","16,433.10","26,185.80","17,258.90"
INDUSTRIAS AGROPECUARIAS,"1,738.00","12,241.70",120.1,583.5,134.1,266.1,97.2,795.9,76.8,"1,111.00",95.8,"1,242.10",124.1,727.5,251.1,980.8,342.1,"1,139.70",240,"1,477.50",79.2,"1,126.40",114.8,729,62.6,"2,062.20"
AJO,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2.5,0,0,0,1.5,0,0,0,0,0,0
ANIMALES VIVOS DE GANADERIA,138.60,5.4,0,0,13.2,0,0,0,15.3,0,3.5,0,21.3,1.1,25.3,0,11.4,2,9.6,0,0,0,26,0.5,13.2,1.8
ANIMALES VIVOS DIVERSOS,8.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0
ARROZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",582.8,33.50,15.1,0,53.7,0,47.6,0,13.5,1.3,34.9,5.3,54.9,0.7,36.8,7.3,133.2,4.4,113.8,0,6.8,5.1,58.2,8.8,14.2,0.5
CAFE,0.1,0.00,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
CARDAMOMO,0,2.1,0,0,0,0,0,0.8,0,0,0,0.1,0,0,0,0.5,0,0.5,0,0,0,0,0,0.2,0,0
CAUCHO NATURAL (HULE),9.1,"7,223.90",0,512.4,1.4,256.3,1.4,659,0,963.8,0.1,590.6,1.5,509.9,0,710.8,0,807.4,3.3,610.8,1.5,476.6,0,462.2,0,664.3
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0.4,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,10.1,0,0,0,0,0,0
ESPECIAS,147.6,112.5,10.7,1.9,1.3,4.2,0,22.2,8,10.7,23.6,19.5,7.6,4.8,45.5,14,3.4,2.1,6.9,0.2,14.9,19.6,14.3,8.4,11.5,4.7
FLORES Y FOLLAJES,36.2,38.9,2.3,0.3,2.2,1.9,3.1,3.1,2.4,6,10.9,18,0,4.8,3.8,0,0,3.2,4.2,0,7.5,0,0,0,0,1.7
FRIJOL,0,312.9,0,0,0,0,0,0,0,0,0,0,0,20.3,0,60.6,0,60.6,0,33.8,0,68.6,0,12.5,0,56.5
"FRUTAS FRESCAS, SECAS O CONGELADAS",111.6,394,2,41.7,0,0.9,3.2,47.4,4.3,10.7,0,8.5,0,15.2,6.2,53.9,36.5,49.9,49.3,48.8,7.4,48.6,0.3,1.7,2.4,66.6
HUEVOS DE AVES,122.4,0,44.3,0,32.5,0,28.3,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,2.4,"3,591.70",2.4,18.6,0,2.3,0,22.2,0,49.1,0,545.5,0,121.8,0,128.8,0,149.8,0,638.5,0,473.5,0,178.8,0,"1,262.80"
MAIZ,0,194.2,0,6,0,0.4,0,37.8,0,24.2,0,38.7,0,0,0,0,0,16,0,41.9,0,29.3,0,0,0,0
MIEL DE ABEJAS,3.2,96.1,0,0,0,0,0,1.2,0,16.2,0,1.2,3.2,32.4,0,0,0,0,0,43.7,0,0,0,1.4,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,426.7,29.60,5.1,2.6,0,0,6.5,0,9.5,0,13,0,34.9,0,128.3,0,157.3,5.2,37.9,7.5,18.1,5.2,11.6,6.5,4.5,2.6
PIMIENTA,102.1,1.80,36.2,0,29.8,0,0,0,6.5,0,9.5,1.4,0.3,0,4.5,0,0,0.1,2,0.1,2.8,0,3.9,0.2,6.6,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",30.9,21.2,2,0,0,0,4.8,0,0,0.2,0.3,0,0.3,0,0.6,0,0.3,6.7,0.3,0,11.7,0,0.4,14.4,10.2,0
PLATANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMILLA DE AJONJOLI,0,151.6,0,0,0,0,0,0,0,26.8,0,0,0,16.5,0,2.3,0,31.8,0,40.6,0,0,0,33.5,0,0
TABACO EN RAMA O SIN ELABORAR,12.80,12.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.10,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0
TOMATE,0.00,4.10,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70
YUCA,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INDUSTRIAS MANUFACTURERAS,"303,829.60","167,396.70","22,881.10","10,029.70","26,396.90","13,296.00","27,453.40","16,043.10","22,511.40","11,964.20","26,108.60","13,538.20","23,637.50","14,237.30","27,484.90","15,625.10","23,838.90","13,139.00","26,088.70","13,509.70","26,282.30","15,358.00","26,850.90","15,573.50","24,294.90","15,082.80"
ABONOS Y FERTILIZANTES,445.20,845.40,32.3,46.7,32.5,74,34.5,192.9,45.30,96.5,31.60,21,27.3,241.9,30.4,12.7,31.4,43.1,43.9,48.4,41.3,24.3,35.5,26.3,59.20,17.7
ACEITE DE SEMILLA DE ALGODON,2.20,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALIMENTOS PREPARADOS PARA ANIMALES,817.80,742.40,72.9,40.5,147.4,36.5,54.9,68.1,32.7,81.6,50.4,46.00,84.3,113.2,26.3,122.4,76.5,95.1,119.2,68.2,32.7,24.7,39,22.7,81.3,23.3
APARATOS ELECTROMECANICOS DE USO DOMESTICO,"8,381.90",377.30,626.1,38,463.7,35.1,560.3,37.8,616.2,11.2,"1,026.80",23.90,370,10.9,"1,008.80",82.5,429,11.4,404.4,9.00,695,48.2,"1,150.40",38.1,"1,031.20",31.2
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,13.40,1.80,0,0.2,0.1,0,3.6,0.1,3.1,0,1.4,0.00,0,0,0.2,0.1,2.9,1.1,1.5,0,0.4,0.3,0.1,0,0,0
APARATOS TRANSMISORES Y RECEPTORES,557.40,383.6,106.3,33.3,292.7,44.1,19.1,13,18.9,29.1,14.1,13.2,28.7,21.2,8.1,54.00,8.4,56.1,6.2,17.70,38.3,31.8,9,63.6,7.6,6.5
ARMAS Y MUNICIONES,0.10,0,0.00,0,0.00,0,0.10,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTICULOS DE VESTUARIO,"1,754.60","1,805.10",20.90,54.6,116.10,101,137.40,158.1,72.10,119,86.20,245.8,97.70,129,103.70,180.7,174.90,160.3,204.90,107.1,326.70,141.1,290.50,304.6,123.60,103.8
AZUCARES Y ARTICULOS DE CONFITERIA,"1,350.80","3,279.10",110.20,78.7,237.9,121,160,252.9,166.5,304.1,208.9,254.4,162.4,347.3,63.9,296.8,24.6,473.7,78.9,222.6,28,300,88.1,316.8,21.3,310.8
BATERIAS ELECTRICAS,"1,472.00",992.20,152.70,98.8,114.00,100.9,86.40,67.2,102.00,99.8,116.40,88.7,96.2,39.1,97.3,67.3,179.9,22.7,112.1,60.5,68.3,95.2,140,103.4,206.7,148.5
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,"26,309.00",660,"1,577.00",31.9,"2,029.40",65.7,"2,160.80",120.8,"1,951.30",39.9,"1,982.40",42.1,"1,845.50",26.9,"1,891.10",55.5,"2,715.40",21.9,"2,480.50",43.9,"2,829.40",60.6,"1,992.80",67,"2,853.40",83.8
CAFE SOLUBLE Y MOLIDO,4.10,2.40,0,1,0,0,0,0,0.00,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0
CALZADO,156.6,"2,563.90",3.3,137,0.2,184.9,3.9,227.8,18.1,147.4,8.1,233.5,3.7,181.5,1.5,191.2,17.7,167.8,13.7,182.3,28.50,187,29.10,411.6,29,312.1
CAMARON Y LANGOSTA,532.30,78.80,0,0.00,0,6.00,0,34.6,0,0.00,105.8,9.00,87.6,0,0,2.8,70.7,11,0,3.2,70.9,6.5,62.3,5.7,135,0
CARNE,"5,176.50",61.10,530.8,0.00,443.5,0.00,428.5,0,346.1,61.10,601.5,0.00,201.5,0,435.8,0.00,349,0.00,596.9,0.00,443.3,0,482.7,0.00,317,0.00
CERAS,852.9,"2,256.10",35.4,9.7,97,24.5,117.8,13.9,39.8,20.1,63.9,113,118.5,229.3,50.2,337.6,67.4,286.2,141.3,280.8,35.7,311.1,24.6,334,61.3,296
CLAVOS Y TORNILLOS,169.00,67.80,7.6,12.20,16.9,3.20,8.4,20.7,28.7,0,5.5,2.80,18.5,0,6.5,23.6,21.7,1.4,13.5,1.5,0.5,0.1,34.9,1.1,6.4,1.2
DETERGENTES Y JABONES,"2,948.80","12,864.00",194.3,993,237.9,"1,223.40",267,"1,079.40",210.6,985.7,271.6,"1,307.40",247.2,"1,062.20",248.4,908,256.1,"1,110.00",326.7,"1,053.40",271.2,971.30,227.5,"1,082.80",190.3,"1,087.30"
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",44.5,158.5,0.4,8,3.4,12.1,1.6,15.2,0.9,14.6,3.8,17.8,1.6,10,1.9,19.3,17.5,5,0.3,19.6,0.1,7.1,0.2,16,12.7,13.7
GLICERINA CRUDA,9.90,9.10,0,0,9.9,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,814.00,"1,407.70",39.8,131.9,31.5,26.5,181.9,215.5,113.7,118.80,35.2,86.40,32.7,105.9,10.4,111.3,87.2,66.9,14.9,152.7,177.1,112.4,42.6,164.1,46.9,115.4
HARINAS DE CEREALES,271.90,298.70,23.4,40.8,17.4,22.1,15.1,40.8,24.4,12.50,17.4,19.80,37.7,25.3,17.20,21.8,0,35.00,16.50,2.30,23,38.8,42.2,8.7,37.50,30.7
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,69.30,35.9,6.7,0.8,3.1,0.1,11.7,0.5,8.4,0,4.5,2.6,7.2,3.1,3.9,0,6,15.4,8.6,6.2,4,6.2,3.2,0.9,2,0.1
HILOS E HILAZAS,"6,054.50",706.30,390.1,25.30,560.5,28.5,712.5,127.9,554.6,49.3,470.6,112.40,320.5,74.1,675.2,54,752.5,29.7,452.5,41.2,410.9,58.3,480.7,72.8,273.8,32.8
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","10,143.70","11,399.50",468.2,504.5,708.6,711.1,654.20,659.2,757.5,686.8,912.70,"1,168.70",897.6,777.40,840.1,"1,520.20",881.5,"1,663.80","1,154.30","1,452.60",628.5,"1,067.90","1,019.80",402.3,"1,220.80",785.00
INSTRUMENTAL MEDICO Y OTROS,641.70,532.30,21.7,3.2,63.1,13,44.20,14,85,15.3,30.80,34.3,81.50,24.5,49.80,16.7,35.90,37.4,56.6,328.5,67.5,14,80.30,3.5,25.30,27.9
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",63.60,182.30,1.50,4.6,12.20,18.8,1,0.9,1.1,13.2,1.2,9.8,6,6.2,1.4,1.6,10.7,13.8,0,18.9,20.4,10.6,1.1,67.3,7,16.5
LAMINA Y ALAMBRE,"12,106.80","6,853.50",928.60,290,949,609.2,"1,019.70",991.9,993.8,422.2,917.3,247.3,"1,025.90",705.9,"1,347.50","1,146.10","1,163.00",172.5,"1,016.50",285,938.9,914.5,"1,053.30",536.9,753.3,532
