,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
AZUCARES Y ARTICULOS DE CONFITERIA,3448.1,434.3,220.9,22.4,203,8.6,251,65.5,276.9,34.6,199,14.5,287.8,10.1,317.4,18.4,161.9,42.4,461.4,46.4,265.4,39,372.6,110.8,430.7,21.5
BATERIAS ELECTRICAS,2845.8,2002.2,201.2,231.7,652.1,259.3,53.9,243.3,116.9,43.7,271.6,53.2,209.1,178.4,286.6,28.7,194.1,353.4,226.9,45,268.1,504.4,34.9,22,330.4,39.2
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,12266,6190.3,1072.3,253.5,1042.8,218.4,742.3,536.4,917,418.2,1200.3,235.8,837.9,619.1,1090.7,598.9,1384.4,379.3,689.2,899.8,931.6,652.3,1296.1,1134,1061.6,244.5
CAFE SOLUBLE Y MOLIDO,0,310.6,0,0,0,0,0,162.7,0,4.4,0,43.3,0,42,0,43.6,0,0.1,0,14.5,0,0,0,0,0,0
CALZADO,1298.5,31834.6,113.4,2389.3,30,2380.3,97.8,3601.4,173.9,2051.3,133.6,1860.6,120,1963.1,163.2,2037.9,103.4,3042.9,104.7,2173.5,36.4,3544.1,148.7,3859,73.4,2931.1
CAMARON Y LANGOSTA,0,681.6,0,0,0,0,0,0,0,156.9,0,0,0,167.7,0,0,0,160.2,0,0,0,0,0,196.8,0,0
CARNE,7.2,222.2,0,0,0,0,0,0,7.2,114.9,0,0,0,0,0,0,0,107.3,0,0,0,0,0,0,0,0
CERAS,3391.2,208.9,246.3,19.7,222.5,8.8,342.7,25.7,288.5,7.6,304.1,31.3,285.5,23.7,286.6,12.3,224.8,10.9,286.7,12.3,260,18.6,285.8,16.2,357.8,21.8
CLAVOS Y TORNILLOS,6.1,827.7,0.3,33.8,0.2,75.4,2.7,47.9,1.3,72.8,0.1,131.7,0,61.9,1,122.9,0,90,0.1,39.8,0.2,46.4,0.1,80.1,0.3,25
DETERGENTES Y JABONES,11980.1,667.5,1090.6,13.5,954.3,37.9,1127.1,37.7,1236.4,12.5,1054.1,83.4,1030.8,31.8,943.8,22.5,1132.1,17.7,836.8,20.5,798,68.4,1152.7,153.1,623.6,168.4
