,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),288751,556905.2,17089.2,32591.4,15208.5,46184.2,19172,53982,18239.2,45343.5,18931.3,51598,20723.9,42217.3,21043.4,41560.3,21857.5,48857.6,20389.8,42200,77354.7,54484.6,20048.8,47598.3,18692.7,50288.2
INDUSTRIAS AGROPECUARIAS,1192.4,608.4,71.2,252.1,124.7,36,102.8,2.1,121.5,10.2,112.2,0.8,111.2,2.7,156.3,45.2,53.1,31.5,62.8,1.8,142.6,84,62.1,138,71.9,4
ANIMALES VIVOS DE GANADERIA,11.5,0.2,0,0,0,0,9.5,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DIVERSOS,0,5.8,0,1.8,0,0.8,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.5,0,0.5
BANANO,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",147.6,143.4,22.8,0,0.6,0,1.2,0,10.7,2.4,0.7,0.7,2.1,1.2,75.4,0,15.1,0,2.9,0.9,0,0.8,1.4,137.4,14.8,0
CACAO,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0
CAFE,100.4,4.5,0,0,0,0,0,0,0,4.3,0,0,0,0.1,0,0.1,0,0,0,0,100.4,0,0,0,0,0
CAUCHO NATURAL (HULE),5,1.1,0,0,0,0.2,0,0,0,0.1,0,0.1,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0.1,5,0.1
CEBOLLA,44.2,0,6.6,0,35.3,0,0.4,0,0.2,0,0.3,0,0.4,0,0.3,0,0.3,0,0.2,0,0,0,0.1,0,0.1,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",24.4,9.5,0,0,1.4,6.1,6.8,0,2.5,0,1.1,0,3.5,0,3.5,0,3.2,0,0.7,0,0,0,0.7,0,0.9,3.4
ESPECIAS,7.6,0,0.6,0,0.3,0,1,0,0.6,0,1.5,0,2.5,0,0.1,0,0.4,0,0,0,0,0,0.6,0,0,0
FLORES Y FOLLAJES,4.6,0,0,0,2.9,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0
FRIJOL,116.3,0,10.3,0,9.8,0,11.4,0,12.5,0,6.1,0,9.1,0,8.7,0,11.4,0,10.2,0,8.4,0,11.1,0,7.3,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",296.2,34.4,0,34.4,51.5,0,9,0,64.4,0,76.6,0,44.5,0,24.6,0,0,0,5.7,0,10.8,0,4.9,0,4.1,0
LEGUMBRES Y HORTALIZAS,268.5,0.1,18,0,21.6,0,19.4,0,29.4,0,15.9,0.1,25.9,0,23.7,0,21.9,0,25.8,0,22.1,0,25.4,0,19.2,0
MAIZ,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,14,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,10.1,385.1,0,215.9,0,28.9,0,0.6,0,3.4,9.3,0,0,0.6,0,45.1,0,21.6,0,0,0.8,69.1,0,0,0,0
PIMIENTA,3.9,0,0.4,0,0.6,0,0.2,0,1.1,0,0.9,0,0,0,0.2,0,0.5,0,0,0,0,0,0,0,0,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",24.2,0,12.5,0,0,0,6.5,0,0,0,0,0,4,0,0.2,0,0.4,0,0,0,0,0,0.5,0,0,0
SEMILLA DE AJONJOLI,123.7,0,0,0,0,0,37.4,0,0,0,0,0,17.2,0,17.2,0,0,0,17.2,0,0,0,17.2,0,17.4,0
TOMATE,1.4,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS EXTRACTIVAS,12383.4,25812.7,1407.8,28.3,1045.5,64.7,1422.3,8100.1,1290.7,5404.6,1227.9,4057.2,500.1,1099.9,1721.1,1735.1,1311.8,5.2,887.3,1870.2,675.7,368.4,389.7,2694.4,503.6,384.7
ALUMINIO,6162.6,233.7,953.9,7.4,591.7,2.1,1130.8,13.8,536.4,6.3,343.5,13.9,421.3,18.6,478.5,10.9,253,3.4,342.9,53.2,288.1,75.4,340.3,14.4,482.3,14.2
ASFALTO,0,5,0,0,0,2.5,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEMENTO,5,1.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0,0.8,5,0
COBRE Y SUS MANUFACTURAS,0.8,65.6,0,0.3,0,5.7,0,3,0,2.4,0,0.6,0,4.5,0,0.5,0.8,0.6,0,10.6,0,32.4,0,0.4,0,4.6
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),113.1,1158.9,63.8,0,49.3,14,0,0,0,0,0,0,0,90.7,0,238.8,0,0,0,38.6,0,252.1,0,170.9,0,353.9
DIESEL,1845.7,0,210.3,0,126.4,0,244.1,0,75.1,0,220.8,0,0,0,78.3,0,510.8,0,379.9,0,0,0,0,0,0,0
