,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,373988.2,104101.5,24550.9,7634.2,27136.5,8136.6,27227.9,6301.2,29196.9,8120.6,28420.8,9590.7,27080.5,9620.6,34782.8,9567.9,26976.3,6100.8,34984.3,9077.6,36836.2,8133.1,42649,8911.7,34146,12906.4
INDUSTRIAS AGROPECUARIAS,1271.8,4742,62.2,219.1,80.4,387.4,91.2,211.3,148.3,1323.8,79.6,459.8,65.9,1187,78,610.2,56.9,157.3,144.6,27.5,99.4,30.5,94.7,21.3,270.7,107
ANIMALES VIVOS DE GANADERIA,132.1,7.4,0,0,0,7.4,2.8,0,0,0,0,0,0,0,0,0,4.7,0,66.4,0,0,0,0,0,58.1,0
ANIMALES VIVOS DIVERSOS,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",1.1,81.2,0,0,0,0,0,0,0,0,0,0,0,72.7,0,6.1,0,2.4,0,0,0,0,0,0,1.1,0
CAFE,0,4305.7,0,206.9,0,347.6,0,156,0,1286.7,0,380.3,0,1112.1,0,535.4,0,153.1,0,24.8,0,0,0,0,0,102.8
CAUCHO NATURAL (HULE),98.3,114,0,0,0,23,0,46,60.2,25,0,0,0,0,0,0,0,0,0,0,38.1,0,0,19.9,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0
ESPECIAS,31.2,3.5,0,0,0,0,0,0,0,1.9,0,0,0,0.9,0,0,8.5,0.8,12.6,0,4.1,0,0,0,6,0
FLORES Y FOLLAJES,2,0,0.3,0,0.2,0,0.2,0,0,0,0.3,0,0.2,0,0.5,0,0,0,0,0,0,0,0.2,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",138.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,9.2,0,20.6,0,107.9,0
HUEVOS DE AVES,438.6,0,28.4,0,37.1,0,47.8,0,54.4,0,46,0,47.5,0,36.8,0,22.6,0,26.5,0,19.8,0,23.3,0,48.5,0
LEGUMBRES Y HORTALIZAS,1.2,14.2,0,2.2,0,1.2,0,1.4,0,1,0,0.9,0,1.4,0,1,0,1,0,0.5,1.2,0.8,0,1.4,0,1.5
MAIZ,0,55.2,0,0,0,0,0,0,0,0,0,30,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0
MANZANA,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0
MATERIAS VEGETALES,18.6,0,0,0,2,0,0,0,0,0,0,0,0.1,0,16.5,0,0,0,0,0,0,0,0,0,0,0
MIEL DE ABEJAS,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,76.2,0,0,0,21.2,0,15.2,0,1.5,0,2,0,4.9,0,5.2,0,0,0,20.5,0,1.2,0,4.2,0,0.4,0
PAPA,302.1,0,33.6,0,19.9,0,25.2,0,31.7,0,31.3,0,12.6,0,18.8,0,21,0,18.6,0,24.9,0,31.2,0,33.3,0
