,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
AZUCARES Y ARTICULOS DE CONFITERIA,408.1,126.6,43.7,0,43,0,0,20.9,40.7,16.7,0.3,16.7,57.3,16.7,43.4,0,90.9,0,42.3,0,0.1,33.4,0.6,22.1,45.9,0
BATERIAS ELECTRICAS,70,0,0,0,0,0,38.7,0,19,0,10.1,0,0,0,0.7,0,1.2,0,0,0,0,0,0,0,0.3,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,29.1,1165.4,0,96.5,0,96.5,0,160.8,0,152.7,0,160.8,0,128.6,28.9,176.8,0.1,0,0,64.3,0.1,0,0,0,0,128.6
CALZADO,76.5,2.3,1.2,0,1,0,4.1,0,10.1,0,4.9,2.2,0.8,0,9.7,0,10.2,0,8.3,0,12.5,0,10.7,0,2.9,0
CARNE,129.1,0,0,0,21.4,0,46.1,0,0,0,0,0,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0
CERAS,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0
CLAVOS Y TORNILLOS,132.8,0,33.2,0,1.8,0,0.5,0,0.4,0,16.2,0,0.1,0,17.8,0,0.3,0,5.3,0,2.5,0,46.2,0,8.7,0
DETERGENTES Y JABONES,4.8,57.5,2.6,0,0.8,0,0,8.4,0.4,0,0.1,0,0.1,0,0,0,0.1,0,0.2,42.4,0.3,0,0.2,0,0,6.8
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,9407.3,0,0,0,2002,0,0,0,0.1,0,0.8,0,1246.8,0,1279.6,0,0.2,0,2298.7,0,38.4,0,2540.4,0,0.3,0
HARINAS DE CEREALES,2145.6,0.2,138.2,0,0,0,0,0,0,0.2,0,0,2007.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,1121.5,0.3,124.1,0,8.8,0,325.7,0,63.1,0,176.3,0,14.3,0,129.4,0,29.4,0.2,25.8,0,107.4,0,72.7,0,44.4,0
HILOS E HILAZAS,5.6,71.4,0,23.5,0.1,0,0,0,0.4,10,3.7,0,0.9,1.1,0,4.5,0,32.2,0,0,0.5,0,0,0,0,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,0,0,0,0,0,0.1,0
INSTRUMENTAL MEDICO Y OTROS,1923.9,1,124,0,292.9,0,35.6,0,16.6,0,32.1,0,44,0.7,172.4,0,66.2,0.2,44.6,0,34.8,0,72.8,0,988.1,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",127.7,33.4,5.3,1.7,14.1,1.1,8.5,8.7,7.2,1.2,26.4,6.4,8.9,4.5,0.3,1.3,3.3,0.3,3.4,1.7,13.8,1.7,33.7,5,2.8,0
LAMINA Y ALAMBRE,42.2,0,0.8,0,0.7,0,0.3,0,0.2,0,2.6,0,0.5,0,26.1,0,1.4,0,0,0,3,0,6.7,0,0,0
LECHE Y OTROS PRODUCTOS LACTEOS,298.7,0,56.1,0,0.2,0,16.4,0,22.4,0,49.4,0,34,0,10.7,0,49.7,0,1.4,0,4.7,0,53.6,0,0,0
MANUFACTURAS DE CAUCHO,92.6,0,0.7,0,0,0,6.8,0,4.6,0,44.2,0,4.2,0,9.7,0,5.4,0,4,0,2.5,0,5.7,0,4.8,0
MANUFACTURAS DE CERAMICA,14,4.1,0.3,0.2,0,0.2,0,0,0,0.3,0.9,2,0,0.1,0,0,1.1,0.3,0.8,0,2.7,0.9,2.1,0.1,6,0
MANUFACTURAS DE CUERO,117.4,142.1,16.8,0,11,0,17.8,5.1,8.3,1,7.3,0.5,10.4,3.4,7.8,13.5,11.7,5.7,0.1,45,8.8,59,14.9,3.4,2.7,5.5
MANUFACTURAS DE MADERA,78.6,393.7,0,0,5.8,55.6,70.4,0,0.2,81.4,0.1,0,0,106.2,0,0,1.8,0,0,94,0,0,0.1,56.5,0.2,0
MANUFACTURAS DE PAPEL Y CARTON,8732.8,5.4,6.5,0,14.2,0,102.4,0.3,6.3,0,11.1,0.2,2806.2,4.5,2529.4,0,29.4,0.1,1307.3,0,11.2,0.1,874.7,0.1,1034.1,0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",230.1,0,26.4,0,0,0,35.5,0,11.9,0,14.6,0,45.8,0,25.6,0,0,0,42.6,0,0,0,27.7,0,0,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,27.2,9.3,3.1,0.2,0.6,1.8,5.3,0.3,0.5,2.9,3.8,0.2,0,0.3,0,0.2,3.4,0,2.7,1.9,0.7,0,3.9,1.5,3.1,0
