,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,59455.6,43613.2,5159,1757.8,7743.8,2560.5,4300.1,5118.8,6007.6,2592.5,3670.1,3710.3,2201.4,6287.4,9966.4,6946.3,4355.2,5978.7,3125.1,2299.1,5511.2,3257.8,4700.8,1507.8,2715,1596.1
INDUSTRIAS AGROPECUARIAS,8643.6,21690.5,644.7,1006.5,422.9,1679.1,631.7,863.1,1619.2,2224,645.8,3094.1,587.7,2602,494,1975.7,598.7,2080.4,494.8,1793.9,1066.3,2328.9,451.1,1157.6,986.5,885.2
ANIMALES VIVOS DE GANADERIA,48.9,0,0,0,0,0,0,0,0,0,48.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVES DE CORRAL VIVAS,84.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,0,0,0,0,0,0,57.6,0
BANANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",543.3,623.1,10.4,70.4,44.9,147.5,87.3,68.4,14.3,50.9,78.6,137.7,62.2,15.5,27.7,25.1,53.1,31.3,39.7,12.9,74.2,18.3,0,13.7,50.9,31.4
CAFE,0,17428.7,0,695.2,0,1249,0,532.6,0,1854.1,0,2472.4,0,2186.6,0,1527.6,0,1817.1,0,1520.4,0,2046.8,0,869,0,657.9
CARDAMOMO,0,238.4,0,23.5,0,4.5,0,2,0,0,0,95.4,0,9.6,0,50.9,0,22.6,0,0,0,0,0,12.5,0,17.5
CAUCHO NATURAL (HULE),24.1,0,0,0,0,0,0,0,12.4,0,0,0,0,0,3.4,0,0,0,0,0,8.4,0,0,0,0,0
