,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),228568.8,86545.5,19596.1,5639.6,18331.4,4690.8,37892,8535.6,23548.5,6647.8,35394.4,6557.9,13009.2,6809.8,20241.4,7575.4,14530.1,10615.5,9548,3875.7,12083.5,9047.5,5093.3,7494.1,19301,9055.8
INDUSTRIAS AGROPECUARIAS,97673.3,4068.3,9667.5,741.3,9049.9,533,12789.7,508.7,8020.9,667.7,9825.5,388.2,7868.2,44.8,8572.4,512.1,12670.7,148.1,7923.5,96.8,2902.2,130.9,2765.8,238.9,5617.1,57.8
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",1546.5,480,552.3,67.1,475.5,46.6,182.9,66.5,29.3,41.4,17.9,74.9,28.2,0,30.6,0,26.8,7.9,32.8,67.1,27.3,66.2,53.4,14,89.6,28.2
CACAO,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE,85064.5,0,8038,0,8022.8,0,11287.9,0,7411.2,0,8930.3,0,6443.9,0,7866.6,0,11419.7,0,6934.8,0,2249.6,0,1876.4,0,4583.3,0
CARDAMOMO,1612.8,0,490.5,0,8.1,0,242,0,0,0,0,0,132.1,0,0,0,73.6,0,9.7,0,85.8,0,304,0,267.1,0
CAUCHO NATURAL (HULE),2432.3,0,249.3,0,130.7,0,361,0,16.1,0,144.7,0,225.2,0,73.8,0,446.7,0,263.4,0,65.8,0,279,0,176.7,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,396.7,0,29.7,0,0,0,134.7,0,28.6,0,0,0,44.8,0,0,0,52.8,0,0,0,24,0,53.4,0,28.7
ESPECIAS,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
FLORES Y FOLLAJES,29.1,0,2.6,0,1.6,0,2.4,0,4.1,0,2.3,0,2.2,0,2.5,0,2.1,0,2.7,0,2.7,0,2.2,0,1.8,0
