,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
CALZADO,4.1,274.4,0,10.1,0,43.8,0,15.9,0,6.8,4.1,52.5,0,20,0,20.7,0.1,42.3,0,20.6,0,3.1,0,4.6,0,34
CERAS,9.9,182.5,0,23,0,8.1,0,1.1,0,2.5,0,10.9,9.9,14.5,0,16.9,0,27.9,0,8.2,0,11.6,0,15.8,0,42
CLAVOS Y TORNILLOS,33.2,131,0,11.9,0,32.4,0,3.9,0,6.5,33.1,2.3,0,22.7,0,12.1,0,5.7,0,1.6,0,5.8,0,25.6,0,0.6
DETERGENTES Y JABONES,177.6,221.8,0,0,61.5,2.3,0,0,30.3,0.7,2.5,0,25.2,0,25.5,0,32.7,45.2,0,85.2,0,0,0,88.3,0,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,1.4,13136.6,0,1.6,0,911.3,0,1.3,0,2033.1,1.4,1984.8,0,1224.1,0,1.9,0,1804.7,0,1688.4,0,3.3,0,1673,0,1809.1
HARINAS DE CEREALES,0,4808.4,0,0,0,0,0,1840.3,0,0,0,0,0,0,0,2968,0,0,0,0,0,0,0,0,0,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,0,336.8,0,50.1,0,42.7,0,8.9,0,14.4,0,26.4,0,22.7,0,22.4,0,31.2,0,2.8,0,14.5,0,41.1,0,59.8
HILOS E HILAZAS,56.6,127.9,0,6.7,0,4.4,0,1,34.2,1,0,69.1,0,3.8,0,3.2,0,6.9,0,5,22.5,3.3,0,7.1,0,16.3
INSTRUMENTAL MEDICO Y OTROS,1585.7,1805.6,0,126.3,0.2,61.3,0,485,21.2,123.4,0,35.8,0,111.7,0,134.5,0,111.1,0,52.8,20,121.9,0,412.4,1544.4,29.2
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",12.1,964.4,0,155,1,65.4,0.1,8.6,0.9,8.7,1.5,29.3,0.9,96.3,0.7,45.5,0.1,161.3,0,102.5,0.1,59.5,6.8,87.6,0,144.6
LAMINA Y ALAMBRE,0,98,0,6.8,0,6.9,0,1.1,0,1.9,0,0.8,0,4.8,0,7.8,0,9.2,0,6.7,0,7.5,0,24.4,0,20.1
LECHE Y OTROS PRODUCTOS LACTEOS,0,1894.3,0,161.3,0,218.7,0,50.9,0,315,0,227.2,0,270.8,0,328.6,0,65.7,0,69.4,0,55,0,19,0,112.8
MANUFACTURAS DE CAUCHO,0,168,0,18.2,0,8.4,0,6.1,0,2.4,0,20.6,0,8.2,0,7.1,0,13.1,0,18.3,0,15.2,0,33.6,0,16.7
MANUFACTURAS DE CERAMICA,1.7,175.2,0.1,36.1,0,6.3,0.3,1.2,0.2,9.3,0,7.6,1,13.3,0,2.4,0.2,23.8,0,16.6,0,20.2,0,21.4,0,16.9
MANUFACTURAS DE CUERO,480.1,78.8,2.7,3.3,8.3,20,25.6,3.4,238,3.2,0,9.5,47.3,14.4,81.6,2.9,9.6,5,29.4,2,15.9,1.7,8.3,11,13.5,2.3
MANUFACTURAS DE MADERA,279.5,660.5,0,70.1,9.5,41.2,100.3,4.1,3.8,21.1,4.4,6.4,55.1,201,0,212.2,60.1,8.3,0,0.1,1.9,53.6,41.7,9.9,2.8,32.4
MANUFACTURAS DE PAPEL Y CARTON,1.3,3006.7,0,163.3,0.3,130.7,0,201.6,0,139.1,0,192.9,0,566.2,0.9,225.9,0.1,290.1,0.1,53.5,0,213.6,0,392.8,0,437
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",0,622.8,0,50.1,0,0,0,38.8,0,43.4,0,91,0,51.8,0,21,0,53.5,0,58.3,0,63.9,0,76.9,0,74.3
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,18.9,19.4,0,5.3,0,0,0.9,0,4.1,0.2,0.9,1.8,0.7,1.4,0,0,1.7,0,0,1.3,6.2,2.3,4.4,2.8,0,4.4
MANUFACTURAS DIVERSAS,1956.5,2003,79.7,200.4,299.7,131.9,208.5,40.1,472,681,338.8,89.6,334,66.7,111.9,84.2,0,146.8,47.5,49.8,64.4,115.2,0,196.2,0,200.9
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,321.6,3259.2,7.3,215.5,6.8,426.8,0,131.5,4.7,137.8,23.3,332,11.1,156.5,10.1,213,0.3,287.9,0,178.4,0,264.2,0,727.5,258,188.1
MATERIALES PLASTICOS Y SUS MANUFACTURAS,405.8,4530.9,47.1,721.8,58.8,258.4,90.5,293.9,15.5,675.6,26.9,374.7,28.9,175.3,27.5,252.6,16.1,474.8,19.5,140.5,25.9,114.6,5.3,410.5,43.8,638.2
MATERIALES TEXTILES (TEJIDOS O TELAS),5.3,831,0,172.7,0,67.1,4.5,36.8,0.5,41.6,0,44,0,76.7,0.4,65.7,0,62.5,0,66.1,0,50.3,0,91.8,0,55.9
MELAZAS DE AZUCAR,1748.6,0,0,0,0,0,0,0,0,0,985.3,0,0,0,0,0,0,0,0,0,0,0,0,0,763.3,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",4.4,1724,0,112.5,1.4,11,0,10.9,0,6.8,0,88.7,0,476.4,2.8,495,0.2,18.7,0.1,34.7,0,28.6,0,250.1,0,190.6
NEUMATICOS Y TUBOS,0,160,0,36,0,16.3,0,12.9,0,17.9,0,0.8,0,3.4,0,22.8,0,2.2,0,1.4,0,45.4,0,0.8,0,0.1
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",1,1,0,0,0.3,0,0,0.1,0,0.4,0,0,0,0,0.7,0,0,0,0,0,0,0.5,0,0,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,7893.7,831.8,0,104.8,7386.6,81.8,504.5,34,0,19.2,0,32.1,0,33.6,2.2,40.4,0.4,52.2,0,46.7,0,31.2,0,166.2,0,189.7
PAPEL Y CARTON,0,17270,0,2288.6,0,2295.1,0,1038,0,1452.4,0,2366.2,0,1556,0,1095,0,1318.2,0,924,0,727.9,0,1209.2,0,999.4
PINTURAS Y BARNICES,0.1,596.4,0,13.2,0,49.7,0,41.7,0,39.7,0,2.4,0,75.1,0,73.1,0,19.4,0,33.9,0,55,0,101.3,0,91.9
PREPARADOS A BASE DE CEREALES,0,217.2,0,0,0,0.4,0,3.5,0,1.2,0,23.1,0,9.8,0,0,0,56.3,0,0,0,86.2,0,36.1,0,0.6
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",0,18.5,0,0,0,0,0,0,0,4,0,0,0,14.5,0,0,0,0.1,0,0,0,0,0,0,0,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,1.9,395.9,0.1,31.1,0,24,0,87.6,0,0,0,58.1,0,0,0,31.9,0,33.1,0,31.2,1.8,22.2,0,54.4,0,22.2
PREPARADOS DE FRUTAS,986.9,0.1,40,0,180.8,0,67.2,0,100.8,0.1,187,0,15.6,0,58.8,0,75.6,0,58.4,0,42,0,93.5,0,67.2,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",11.6,431.7,0,31.8,0,46.4,0,32.4,5.8,44.2,0.1,122.4,5.6,3.2,0,3.4,0,29.5,0,47.6,0,0.1,0,28.3,0,42.5
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,6.3,1503.9,0,56.2,0,93.7,0,29.4,0,165.7,0,111.6,3.2,67.8,0,89.9,0,299.5,0,102.1,0,114.9,3.1,227.7,0,145.5
PRODUCTOS FARMACEUTICOS,280.4,330,90,67.4,0,19.9,0,6.7,0,0,0,0.6,37.9,39.1,0,20.8,68.3,0.1,47.7,73.2,0,1.9,36.5,97.2,0,3.1
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",3.5,314.4,0,34.1,0,28.5,0.8,2.3,0.1,6.3,0,18.8,0.2,10.9,0.7,14.7,1,39.9,0,31.4,0.3,19.8,0.4,47.9,0,59.8
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0,140.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,58.4,0,0,0,54,0,0,0,25.7
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0.1,4.2,0,0.3,0,0.5,0,0,0,0,0,0.2,0,0.1,0,0.6,0,0.2,0,0,0,0.6,0,1.2,0,0.7
TABACO ELABORADO,0,45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1,0,0,0,0
TUBERIA Y SUS ACCESORIOS,1.7,505,0,33.3,0,56.1,0,17.4,0,31.1,0,113.2,0,1.5,1.7,114.1,0,74.8,0,22.7,0,14.6,0,9.1,0,17.1
VEHICULOS Y MATERIAL DE TRANSPORTE,633.3,6219.8,1.1,426.1,5,375,0,502.6,23,495.5,580,465.3,0.2,776.7,7.6,628.4,16.2,593,0,466.1,0.2,338.8,0,478.9,0,673.5
VIDRIO Y SUS MANUFACTURAS,1538,627.9,109.1,78.7,185.5,55.1,45.4,11.2,461.5,37.4,324.6,39.6,54,41,61.7,40.5,108.7,69,96,50.6,47.4,38.9,0,81.7,44,84.2
INDUSTRIAS EXTRACTIVAS,125329.8,2733.9,8148.2,158.1,4673.7,181.8,22468.6,135.5,13264.2,127.9,10449.8,91.3,17073.3,122.8,9431.8,1257.9,7312.1,312.5,11004.6,135.1,2579.5,50.1,7779.1,122,11144.9,39
ALUMINIO,0,80.6,0,19.4,0,1.6,0,33.9,0,0.9,0,1.4,0,3.1,0,5.3,0,1.7,0,1.4,0,0.3,0,1.7,0,9.9
COBRE Y SUS MANUFACTURAS,0,0.8,0,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,0,14.5,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0
MAGNESIO,0,32,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9
OTROS DERIVADOS DE PETROLEO,0,495.9,0,78.9,0,40.8,0,0.3,0,110.6,0,88.5,0,35.9,0,0,0,62.1,0,0,0,36.5,0,42.4,0,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,6.4,28.7,5.4,0,0,0,0,15.6,1,0,0,0,0,2.1,0,0,0,10.9,0,0,0,0,0,0,0,0
PLOMO,118539.7,0,7807.3,0,4269.6,0,22023.6,0,12189.6,0,9928.4,0,16639.1,0,8828.6,0,6599.3,0,10765.1,0,1886.7,0,7352.5,0,10249.9,0
PRODUCTOS MINERALES DIVERSOS,0,2081.5,0,45.1,0,139.4,0,85.5,0,0.3,0,1.5,0,81.6,0,1252.3,0,237.8,0,133.7,0,13.2,0,78,0,13.2
ZINC,6783.7,0,335.6,0,404.2,0,445,0,1073.7,0,521.4,0,434.2,0,603.2,0,712.9,0,239.5,0,692.7,0,426.5,0,895,0
