	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	0.3	1197.3	0	0	0.1	132.1	0	113.2	0	232.9	0	226.4	0.1	113.2	0	2.3	0	0	0	0	0	283	0	94.3	0.1	0
CALZADO	251.7	1.2	15.8	0	29.2	0	7.7	0	34.5	0	17.1	0	7.8	0	7.6	0	43.5	0	14.1	0.9	9	0	60.1	0	5.1	0.2
CERAS	89.4	0	7.5	0	0	0	0	0	0	0	6.4	0	3.7	0	7.9	0	10.6	0	17.1	0	7	0	22.3	0	7	0
CLAVOS Y TORNILLOS	128.3	0	3	0	1.5	0	25.4	0	12.8	0	0.4	0	2.5	0	45.5	0	4.7	0	4.6	0	2.4	0	4.1	0	21.5	0
DETERGENTES Y JABONES	142.5	193.2	0	25.5	0	0	0	27.2	0	0	50.4	35.8	0	0	0	32.5	0	35.8	0	0	92.1	35.9	0	0	0	0.7
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	1.1	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	9699.5	0.5	1.7	0	2.9	0	1076.4	0	1370.8	0	1314	0	1.7	0	1407.5	0	1547.4	0	0	0	1576.5	0.5	2.4	0	1398.2	0
HARINAS DE CEREALES	5476.6	0	0	0	1830.5	0	0	0	0	0	0	0	0	0	0	0	1791.6	0	0	0	0	0	0	0	1854.5	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	354.6	0.3	33.5	0	5.5	0	11.6	0	21.4	0	17.3	0	24.9	0	20.6	0	31.7	0	35	0.1	36.3	0	58.2	0	58.6	0.1
HILOS E HILAZAS	22.5	50.4	1	0	0	0	0	0	0	0	1.3	0.3	1	20.1	2.3	3.2	2.7	26.5	5.8	0	3.1	0.3	3.3	0	1.9	0
INSTRUMENTAL MEDICO Y OTROS	1074.8	176.9	64.8	0	90.8	0	50.6	0	119	0	76.8	0	69.8	1.5	90	0	146.1	0	66.8	3.6	102.6	0	73.8	171.2	123.6	0.6
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	1013.4	4.6	22.2	0	30.5	0	1.7	0.3	40.7	0.2	87.6	0.3	12.1	1.5	125.5	0.9	138	0.3	243.6	0	114.6	0.2	127.8	0.1	69.1	0.7
LAMINA Y ALAMBRE	60.3	0	6.2	0	2.7	0	7.3	0	6.8	0	0.2	0	2.3	0	3.6	0	2.4	0	7.9	0	4.4	0	6.2	0	10.3	0
LECHE Y OTROS PRODUCTOS LACTEOS	2178.7	0	126.4	0	348.1	0	197	0	238.1	0	146.6	0	113.6	0	151.9	0	74.9	0	97.8	0	218.6	0	397.1	0	68.5	0
MANUFACTURAS DE CAUCHO	153.6	1.1	13	0	2.1	0	36.6	0	13.7	0	4.1	1.1	6.6	0	27.3	0	6.3	0	7.5	0	9.3	0	13.4	0	13.6	0
MANUFACTURAS DE CERAMICA	195.4	4	2.7	0	0	0	0.9	0.3	4.8	1.8	7	0	5.3	0	28.8	1	9	0	35.1	0.5	12.4	0	33.4	0	56.1	0.3
MANUFACTURAS DE CUERO	26.6	706.2	0	28.3	0	24.1	0.6	32.6	0	21.6	2.2	11.4	5.4	48.5	0.2	23.9	6.6	6.3	5.1	331.6	3.3	172.5	1.6	1.5	1.7	3.8
MANUFACTURAS DE MADERA	1489.3	274.6	32	21.6	24	95.8	13.2	0	2.5	0	16.9	59.5	560.2	0	393	0.7	40.8	48.2	67.9	0	102.9	0	209	48.4	27	0.3
MANUFACTURAS DE PAPEL Y CARTON	2263.1	10	52.7	0	5.2	0	450.6	0	198.3	0	89.9	0	139.9	0	189.7	5	241.9	0	112.3	4.6	409.3	0	228.8	0	144.6	0.4
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	175.6	0	11	0	0	0	0.1	0	39.1	0	38	0	0	0	10.3	0	0	0	12.9	0	29.2	0	25.4	0	9.4	0
