	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	103881.9	135973	16733.6	16037.8	8217.3	5608.3	15628.7	5219.1	6084.9	13630.5	8681.6	14416.4	5474.3	16991	8470.7	7557.8	4137.4	17437.4	8637.5	7877.2	6638.8	5586.5	6962.8	6457.2	8214.2	19153.8
INDUSTRIAS AGROPECUARIAS	3779.9	70359.6	528.8	6958.7	263.9	5081.5	848.6	3766.8	497.5	4268.4	278.2	4863.8	253.2	7056.2	205	6232.3	176.3	8622.9	182.1	5528.5	211.5	4088.9	118.5	5340.5	216.5	8551.1
AVES DE CORRAL VIVAS	40.5	0	0	0	25.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	799.3	569.7	78.8	218.8	77.3	166.2	96.2	66.2	40.1	20.2	76.4	10.6	132.1	10.9	55.5	13.8	52.7	11.1	122.6	11.1	40.2	10.8	7.6	14.1	20	15.8
CAFE	0	65742.7	0	6494.1	0	4834.8	0	3510.9	0	4060.8	0	4609.6	0	6744.5	0	5996.7	0	7992.5	0	5328.9	0	3516.3	0	5020.6	0	7633
CARDAMOMO	0	965.8	0	193.6	0	0	0	0	0	0	0	0	0	110.4	0	5.4	0	56.7	0	0	0	278.3	0	41.1	0	280.3
CAUCHO NATURAL (HULE)	2.2	1135.3	0	0	0	0	0	44.2	0	63.9	2.2	0	0	48.2	0	0	0	384.6	0	0	0	93.7	0	0	0	500.7
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	984.1	0	39.3	0	22.2	0	27.2	0	171.6	0	113.1	0	121.1	0	110.1	0	80.2	0	32.8	0	35.1	0	61.5	0	170	0
ESPECIAS	28.7	2.8	0	0	0	0	28.7	1.8	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0
FLORES Y FOLLAJES	18.4	51.6	0	2.9	0	13.4	0	3.2	0	4.7	0	3.2	0	3.5	0	3.1	0	4	0	3.5	0	3.6	18.4	3.7	0	2.8
FRIJOL	0	231.7	0	12.7	0	16.2	0	20.8	0	15.6	0	15.8	0	17.1	0	12.9	0	15.3	0	19.4	0	26.6	0	26.7	0	32.5
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	460.9	0	5.4	0	8.1	0	89.2	0	34.2	0	49.7	0	44.2	0	38.6	0	64.8	0	71.8	0	37.8	0	7.6	0	9.5
LEGUMBRES Y HORTALIZAS	610.8	470	48.5	31.3	138.7	42.8	117.9	30.4	45.4	17.8	0	18.8	0	26.2	23	20.5	43.5	21.4	26.7	21.7	121.5	44	30.9	118.6	14.7	76.5
MAIZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	92.2	1.3	0	0	0	0	40.6	0	23.4	1.3	0	0	0	0	16.4	0	0	0	0	0	0	0	0	0	11.8	0
PAPA	1203.7	0	362.2	0	0	0	538.1	0	217	0	86.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIMIENTA	0	31.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.1	0	0	0	0	0	0	0	0
SEMILLA DE AJONJOLI	0	691.3	0	0	0	0	0	0	0	50	0	156	0	50	0	141.3	0	36	0	72	0	78	0	108	0	0
TABACO EN RAMA O SIN ELABORAR	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	88037.6	65611.8	7130.5	9079.1	7919.8	526.8	14649	1452.3	5444.2	9362.1	7896	9552.6	5097.4	9934.8	7877	1325.4	3741.7	8814.5	7468.5	2348.7	6281.5	1496.1	6626.5	1116.7	7905.6	10602.7
ABONOS Y FERTILIZANTES	22861.9	0	2244.5	0	54.7	0	3143.1	0	23.1	0	3840.2	0	0	0	2286	0	67.9	0	66.8	0	1761	0	3244.4	0	6130.1	0
ALIMENTOS PREPARADOS PARA ANIMALES	53.7	0	0	0	0	0	0	0	27.1	0	0.2	0	0	0	0	0	21.1	0	5.3	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	502.6	2	20.7	0	331.8	0	28.1	0	1.6	0	0.9	0	26.7	0.2	74.1	1.3	7	0.1	0.9	0	5.6	0	4.9	0.1	0.3	0.3
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	142.4	5.8	22.6	5	34.1	0	34.3	0	0	0	0.2	0	0.1	0	5	0	10.1	0.4	1.5	0	12.4	0	17.8	0	4.3	0.3
APARATOS TRANSMISORES Y RECEPTORES	214.9	5.7	26.6	0	20.6	0	70.4	0	29.1	0	4.7	5.1	0.2	0	17.7	0.4	0.2	0.1	8.4	0	3.1	0	16.6	0	17.2	0
ARTICULOS DE VESTUARIO	119.8	7603.5	0.1	492.3	6.1	307.6	14.2	835.9	2	573.7	9.5	411.2	2	765.2	1.4	678.1	0.9	607.5	0.5	871.2	71.2	694.5	3.2	637.4	8.6	728.9
AVES DE CORRAL BENEFICIADAS	241.4	0	4	0	47.1	0	129.3	0	10.9	0	0	0	0	0	0	0	4.1	0	4.1	0	19	0	19	0	4	0
AZUCAR	0	52826.4	0	8208.6	0	0	0	0	0	8521.1	0	8589.4	0	8802.5	0	0	0	7712.8	0	1165.8	0	0	0	0	0	9826.3
AZUCARES Y ARTICULOS DE CONFITERIA	483	26.4	29.8	0	59	0	47.6	0	55.3	0	0	0	55.6	0.4	48.4	25.9	0	0	56.7	0	47.7	0	21	0	62.1	0.1
