,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
DETERGENTES Y JABONES,1.3,745.5,0,66.9,0,29.3,0,45.6,0,19.7,0,60.9,0,137.7,0,92.3,0,77.2,0,68.9,0,67.3,0,6.3,1.3,73.3
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0,2.4,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.3,0,0,0,0.2,0,0
GRASAS Y ACEITES COMESTIBLES,0,1829.3,0,159.1,0,95.5,0,144.8,0,195.1,0,0,0,328.2,0,91.3,0,256.9,0,157.3,0,165.3,0,181.6,0,54.2
HARINAS DE CEREALES,0,10.6,0,0,0,0,0,2.2,0,0.2,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,5.6
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,0.5,787.6,0,70,0,37.2,0,40.3,0,48.8,0,139.9,0,49.1,0,54.5,0,90.4,0,34,0,54.8,0,97,0.5,71.7
HILOS E HILAZAS,0,300,0,65.8,0,0,0,100.6,0,3.2,0,2.3,0,54.7,0,36.7,0,6.8,0,7.8,0,0,0,0.7,0,21.5
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",0,76.7,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,75.9,0,0,0,0.1,0,0,0,0
INSTRUMENTAL MEDICO Y OTROS,10.8,3635.4,0,352.4,0,297.1,0.2,194.3,0,347.8,0,122.6,0,214.4,0,188.7,10,612.8,0,542.1,0,176.9,0,286.3,0.5,300.1
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",3.4,2991.5,2.2,4.6,0.1,92.8,0,6,0.9,108.6,0,5.1,0,0,0,108.7,0,1366.9,0,1131.4,0.1,29,0,55,0.1,83.3
LAMINA Y ALAMBRE,0.8,1054.4,0.8,159.8,0,89.1,0,113.8,0,179.9,0,39,0,96.2,0,78.4,0,167.1,0,103.2,0,4.9,0,15.5,0,7.4
LECHE Y OTROS PRODUCTOS LACTEOS,0,97.4,0,0,0,0,0,0,0,9.5,0,0.3,0,6.7,0,29.3,0,15,0,0,0,1.7,0,22.2,0,12.8
MANUFACTURAS DE CAUCHO,0,396.8,0,40.6,0,42.2,0,21.8,0,17.6,0,67.9,0,18.4,0,38.3,0,31.6,0,31.1,0,31.3,0,30.7,0,25.3
MANUFACTURAS DE CERAMICA,4.5,1165.2,0.5,133.4,0,55,1,172,0.8,74.8,0,21.7,0,81.7,0,66.7,0,87.9,0,80.5,0.3,141.3,0,123.7,1.8,126.6
MANUFACTURAS DE CUERO,0,36.1,0,0.8,0,10.7,0,5.1,0,0,0,0.2,0,1.6,0,0,0,15.3,0,1,0,1,0,0.4,0,0
MANUFACTURAS DE MADERA,1762.8,462.6,131.3,37.8,227.9,7.6,147.9,2.4,220.1,20.3,229.1,43.5,155.1,119.2,164.1,15.4,127.9,65.5,81.7,109.2,130.9,5.6,72.8,15.3,74,20.9
