,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
CALZADO,56.9,0.3,0.5,0,1.3,0.1,2.1,0.1,0.6,0,3,0.1,31.5,0,12.1,0,1.2,0,4.2,0,0,0,0.2,0,0.3,0
CARNE,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERAS,75.8,0,0,0,35.5,0,1.5,0,32.7,0,0,0,2,0,2.7,0,0.2,0,0,0,1.3,0,0,0,0,0
CLAVOS Y TORNILLOS,72.8,0,1.1,0,8.6,0,1.1,0,2.7,0,14.9,0,5.6,0,7.6,0,8,0,4,0,5.7,0,1.3,0,12.4,0
DETERGENTES Y JABONES,596.9,0,174.6,0,0,0,14.2,0,124.1,0,28.8,0,31.3,0,18.5,0,33,0,110,0,28.9,0,3.2,0,30.3,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,342,11.4,76.3,0,16.1,0,55.4,0,0,0,3.1,11.4,48.9,0,13.9,0,0,0,58.1,0,3.3,0,59.9,0,7,0
HARINAS DE CEREALES,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,419.8,0.1,60,0,35.2,0,42.4,0,3.6,0,63.2,0,39,0,41.2,0,12.5,0,19.1,0.1,51.4,0,34.5,0,17.6,0
HILOS E HILAZAS,342,0,19.5,0,0,0,0,0,14.3,0,31.3,0,3.3,0,28.6,0,21,0,47.3,0,72.1,0,40.9,0,63.8,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
INSTRUMENTAL MEDICO Y OTROS,655.8,11.6,68.4,0,72.8,0,26.5,0,20.6,0,54.6,0,61.4,1.4,64.3,0.1,25.8,0,62.1,0.1,89.8,10,67.9,0,41.4,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",1158.1,7,849,0,0.1,0.1,5.8,0.1,3.4,0.3,0.1,5.6,172.6,0,0,0,0,0,6.1,0.1,13,0.8,1.2,0.1,106.7,0.1
LAMINA Y ALAMBRE,785.9,7.2,0,0,36,0,2.2,0,0.6,7.2,0,0,4.9,0,1.4,0,1.3,0,0,0,683.5,0,14.3,0,41.7,0
LECHE Y OTROS PRODUCTOS LACTEOS,84.3,0,0,0,14,0,0.4,0,3.8,0,7.9,0,4,0,0,0,4.9,0,5.7,0,19.7,0,12.4,0,11.5,0
MANUFACTURAS DE CAUCHO,278,0,79.9,0,13.3,0,1.8,0,14.8,0,16.5,0,36.8,0,6.4,0,35.9,0,10.2,0,18.5,0,23.7,0,20.1,0
MANUFACTURAS DE CERAMICA,558.7,10.3,111.6,0,14.5,0.2,35.5,0.6,38.2,1.9,30.5,5.1,85.9,0,46.3,0,12.9,0.6,32.2,0.4,7.1,0.8,58.8,0.6,85.3,0.1
MANUFACTURAS DE CUERO,26.5,2.9,0.5,0,2.5,1.1,5.9,0.3,0,0.4,0,0.4,4.9,0,0.5,0,0.4,0,1.5,0.5,8.2,0,1.9,0.2,0.1,0
MANUFACTURAS DE MADERA,201.1,4101.9,9.1,148.2,39.8,339.3,12.2,351.8,1.8,300.5,8.9,430.5,35.7,517.1,1.2,209.1,2.6,441.3,49.1,217.6,0.5,402.1,13.3,293,26.9,451.5
MANUFACTURAS DE PAPEL Y CARTON,1741.1,12.9,8.8,0,54,0,205.7,2.1,238.8,0,86.6,3.1,88.8,4.4,54.8,1.5,266.2,0,66.8,1.6,147.8,0,212.5,0,310.2,0.1
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",553,0,15.9,0,2.3,0,1.4,0,16,0,6.7,0,15.2,0,6,0,0,0,129.9,0,0,0,106.1,0,253.5,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,56,2.6,0,0,8,0.3,0.1,0.5,6.9,0.8,0,0.3,3.3,0,2.3,0,8,0,0.2,0.2,1.4,0,7.9,0.2,18.1,0.3
MANUFACTURAS DE PIELES,1442.6,0,127.1,0,132.3,0,212.5,0,97.1,0,183.2,0,40.5,0,307.5,0,9,0,117,0,133,0,0,0,83.3,0
MANUFACTURAS DIVERSAS,2871.1,29.7,104.5,0,58.8,4,40,1.6,36.9,1.3,103,1.2,60.1,2,361.1,0.6,189.4,0.2,128.5,1.6,1661.1,1.3,63,15.7,64.8,0.2
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,19898.3,302.4,1842.7,0,4483.9,0,1070.5,0.5,1410.5,19.5,1157.3,0.6,1792.1,124.2,1360.4,141.9,863.6,0.1,1840.3,0.5,1297.7,0.4,1010.9,2,1768.5,12.8
MATERIALES PLASTICOS Y SUS MANUFACTURAS,3110.4,85.3,146.3,0,28.3,0,327.9,0.1,255.3,1.1,244.8,0.5,21.8,0,389.4,23,159.3,0,544.7,21.8,441.5,18.4,284.2,1.7,266.8,18.7
MATERIALES TEXTILES (TEJIDOS O TELAS),3145.9,0.5,21.9,0,791.1,0.3,77.2,0,138.6,0,583.1,0.1,496.7,0,595.5,0,307.9,0,88.6,0.1,27.2,0,9.4,0,8.7,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",1275.7,12.3,153.1,0,160.1,4.6,43.3,0,48.6,0,97.7,0.4,119.5,0,292.8,0,9.6,0,186.7,1.6,14.8,0,42.7,0.1,106.8,5.5
NEUMATICOS Y TUBOS,74.9,0.1,0.4,0,0.5,0.1,4.5,0,20.3,0,4.4,0,4.2,0,1.4,0,5.4,0,19.3,0,2.8,0,2.8,0,9.1,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",5.6,0.3,1.4,0,1.3,0.1,0,0,0,0,0,0,0,0,1.1,0,0.1,0,0,0,1.5,0,0.1,0,0,0.1
OTRAS MANUFACTURAS DE METALES COMUNES,3076.4,3.6,141.1,0,161.4,0.1,224.9,0,585.4,2.1,447.7,0,133.1,0,107.4,0,175.5,0,87.9,0.3,321.9,0,284.3,0,405.7,1.2
OTROS ACEITES ESENCIALES,4.3,64.1,0,25.8,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,38.3,0,0,0,0,0,0
PAPEL Y CARTON,177.7,28.5,88.6,0,0,0.5,0,0,1.2,0.5,0,0.6,0.2,0,26.6,0.6,2.3,0.5,0,0.6,20.6,0,0,0,38.4,25.2
