,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,86512.1,28685.8,9025.9,2547,9227.1,4717.2,9213.5,2530.6,8661.7,2625.3,4574.5,2259.4,5673.1,3915.5,7550.2,1995.8,10255.9,1765.4,5386.8,1639.7,5417.2,2668.3,5042.7,1100.7,6483.5,921
INDUSTRIAS AGROPECUARIAS,144.2,23334.5,1.8,2060.5,31.2,4544.5,13.7,2081.9,2.8,2346.5,17.4,1855.4,0,3477.3,8.5,1546.6,0,1666.3,16.9,827.8,28.8,2272.6,18.5,380.3,4.7,274.8
AJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",26.5,183,1.7,15.6,5.2,15.3,0,10.8,0.7,4.9,4.8,8,0,2.8,3,31,0,7,0,35.6,5.2,5.7,6,26.4,0,20
CAFE,0,18933.6,0,616.7,0,4424.5,0,1954.1,0,2167.1,0,1844.3,0,3353.9,0,1438.5,0,1637.4,0,721.5,0,271,0,276.6,0,228
CARDAMOMO,0,28.9,0,0,0,6,0,0,0,1.4,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),26,327.7,0,0,26,71.7,0,71.7,0,71.7,0,0,0,39.3,0,0,0,0,0,0,0,0,0,73.4,0,0
ESPECIAS,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,40.8,0,10.9,0,17,0,3.6,0,2,0,1.8,0,0,0,0,0,0,0,4.3,0,0,0,1.3,0,0
FRIJOL,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,50.4,0,1.6,0,10.1,0,15.6,0,18.3,0,1.4,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0.7
LEGUMBRES Y HORTALIZAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIEL DE ABEJAS,0,201.5,0,0,0,0,0,0,0,55.1,0,0,0,55.1,0,51,0,0,0,40.3,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,58.4,0,0,0,0,0,12.7,0,0,0,6.2,0,0,0,5.5,0,0,0,16.9,0,1.7,0,12.5,0,2.9,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",33.2,0,0,0,0,0,1,0,2.1,0,6.4,0,0,0,0,0,0,0,0,0,21.9,0,0,0,1.8,0
SEMILLA DE AJONJOLI,0,156.6,0,0,0,0,0,26.1,0,26.1,0,0,0,26.1,0,26.1,0,0,0,26.1,0,0,0,0,0,26.1
TABACO EN RAMA O SIN ELABORAR,0,3411.6,0,1415.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.9,0,0,0,0
INDUSTRIAS MANUFACTURERAS,85529.1,5347,9020,483.3,9105.9,171.9,9149.9,448.7,8632.2,278.7,4436.7,404,5614.9,438.2,7496.3,449.2,10163.5,98.8,5355.6,811.9,5159.8,395.7,4970.8,720.4,6423.5,646.2
ABONOS Y FERTILIZANTES,194.2,0,27.3,0,0.2,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,58.5,0,67.2,0,0,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,776.7,0,67.5,0,40.5,0,151.8,0,17.1,0,44.7,0,31.7,0,73.2,0,73.9,0,115.2,0,58.5,0,38.9,0,63.8,0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
APARATOS TRANSMISORES Y RECEPTORES,198,0,68.4,0,0.1,0,7.6,0,58.6,0,1.7,0,3.2,0,4.2,0,0,0,4,0,10.5,0,5,0,34.7,0
ARMAS Y MUNICIONES,223.5,0,20.8,0,19.9,0,0,0,70.5,0,0,0,5.1,0,0,0,0,0,18.4,0,87.5,0,1.3,0,0,0
ARTICULOS DE VESTUARIO,1949.6,13.8,205.5,2.6,33.3,1.7,241.1,0.2,230.8,1.4,111.6,1.1,38,0.1,45.9,3.3,451.6,0.2,110.4,0.6,112.3,1.7,173.9,0.9,195.2,0.1
AZUCARES Y ARTICULOS DE CONFITERIA,14.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,3.3,0,0,0
BATERIAS ELECTRICAS,76.9,0,0,0,0,0,0,0,72.9,0,0,0,0,0,0.1,0,0.2,0,0,0,3.7,0,0,0,0,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,668.2,2753.5,121.1,282.2,19.8,39.8,19.9,130.5,64.6,213.6,78.9,137.2,49.7,193,44.9,195.3,56.6,0,41.5,345.8,65.8,235.2,58.6,499.2,46.8,481.6
