	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
CALZADO	71.5	1.6	29.7	0	3.8	0	1.6	0	6.9	1.1	2.7	0	0.2	0	11.8	0	0.4	0.5	0	0	1.4	0	0	0	13	0
CERAS	531.2	4.3	33.3	0	0.4	0	61.9	0	47.7	0	16.4	1.2	60.9	0	38.4	0	31.9	0	79.6	1.8	76.6	0	67.7	1.3	16.2	0
CLAVOS Y TORNILLOS	760.7	0.2	29.5	0	22.3	0	99.5	0	147.6	0	62	0	68	0	88.3	0.2	78	0	110.8	0	30.6	0	12.4	0	11.7	0
DETERGENTES Y JABONES	2018.8	0	219.2	0	202.5	0	126.6	0	285.9	0	152.3	0	202.7	0	161.6	0	137.5	0	209.8	0	142.3	0	89.9	0	88.3	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	7.7	0.1	0.1	0	0.2	0	0	0	0.1	0	0	0	5.8	0	0.7	0	0.1	0	0	0	0.2	0	0	0	0.3	0
GRASAS Y ACEITES COMESTIBLES	85.6	0	4.8	0	0	0	2.4	0	7.7	0	4.3	0	0	0	0.3	0	7.5	0	3.8	0	3.9	0	51	0	0	0
HARINAS DE CEREALES	183.2	0	0	0	27.2	0	23.1	0	0	0	30.5	0	1.9	0	34.6	0	0.6	0	1.7	0	35.8	0	28	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	2076.7	2.5	259	0	222.2	0.5	153.2	0	108.3	0	162.7	0	210.2	0.4	231.6	0.1	153.3	0.5	168.5	0.2	97.3	0	142.4	0	167.9	0.7
HILOS E HILAZAS	422	0	65	0	36.8	0	41.6	0	29.9	0	57.5	0	91.5	0	39.8	0	0.8	0	2.7	0	37.7	0	12.6	0	6	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	6770.3	145.2	384.1	15.1	585.6	45.4	775.9	0	983.2	0	951.5	0	1046.6	8.5	581.6	0	566.1	0	183.4	0	268.1	76.2	442.4	0	1.7	0
INSTRUMENTAL MEDICO Y OTROS	5809.4	5.6	637.3	0	409.4	0.5	406.5	0	356.4	0	505.1	0	460.4	1.2	526.4	2.5	372.3	0.8	462.7	0	299.3	0	977.8	0	395.8	0.7
JOYERIA DE FANTASIA	0.6	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	167.6	28.7	23.1	0.5	14.3	0.6	14.5	4.7	3.7	0	5.3	0.1	7.7	9	2.2	2.6	7.4	4.6	12.8	0.3	49.3	2.2	21.8	2.1	5.6	2
LAMINA Y ALAMBRE	1053	0	29.5	0	9.4	0	159.1	0	19	0	149.3	0	192	0	25	0	33.4	0	74	0	132.9	0	33.2	0	196.3	0
LECHE Y OTROS PRODUCTOS LACTEOS	105.4	15.8	4.3	0	0	0	0	15.8	0	0	5.8	0	0	0	9.8	0	0	0	0	0	0	0	8.3	0	77.2	0
MADERA EN TROZA	0.2	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	937.5	20.9	46.7	0	65.6	0	67.6	0	114	18.9	151	0	93.1	0.2	74.1	1.6	68	0.2	95.1	0	58.5	0	43.7	0.1	60	0
