	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
NIQUEL	0	17.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	0	9.3
OTROS DERIVADOS DE PETROLEO	0.1	1373.9	0	80.9	0	134.4	0	99.3	0	191.5	0	54.2	0	43	0	128.5	0	204.9	0	55.1	0.1	113.4	0	130.2	0	138.5
OTROS METALES COMUNES	0	6.2	0	0	0	2.6	0	0.7	0	1.5	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.4	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	0	4.3	0	0	0	0	0	0	0	0	0	0.5	0	1.6	0	0	0	0	0	0	0	0	0	2.2	0	0
PLOMO	0	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7
PRODUCTOS MINERALES DIVERSOS	0.1	167.1	0	1.8	0	1	0.1	14.3	0	18.3	0	1.8	0	13.5	0	21.5	0	26.3	0	20.7	0	15.8	0	6.6	0	25.4
ZINC	0	2.4	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.7	0	0.3	0	0	0	0.6	0	0.4	0	0.1
INDUSTRIAS MANUFACTURERAS	72560.5	291268.8	9012.8	30055.7	7814.1	21924.7	8254.4	25544.3	1371.8	20084.2	6036.2	19874.2	3787.1	16911.7	4241	29515.4	6766.9	23792.4	15706.4	23003.8	3900	22983.3	4716.8	27862.3	952.9	29716.7
ABONOS Y FERTILIZANTES	0.2	307.4	0	26.2	0	37.5	0	46.9	0	74.8	0	18	0	1.9	0	10.5	0	0	0.2	41.5	0	23.5	0	1.2	0	25.4
ALIMENTOS PREPARADOS PARA ANIMALES	0	322.5	0	26.5	0	48.7	0	0	0	0	0	3.7	0	0	0	26.5	0	0	0	0	0	26.5	0	0	0	190.5
APARATOS ELECTROMECANICOS DE USO DOMESTICO	4.1	2480.4	0	1047.1	0	111.8	0	30	0.1	39.3	0.1	329.2	0	63.1	0.5	99.4	0	108.3	0	131.6	2.1	73.3	1.3	289.5	0	158
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	0.5	857.8	0.2	25.7	0	6.5	0	8.1	0.1	7.4	0	323.5	0	15.7	0	94.1	0.2	55.8	0	54.3	0	211.5	0	25.7	0	29.4
APARATOS TRANSMISORES Y RECEPTORES	3.9	742.7	0.1	36.5	0	7.2	0	32.2	2.8	30.2	0	162.5	0	10.1	0	109.5	0.7	19.5	0	87.3	0.3	38.9	0.1	26	0.1	182.7
ARMAS Y MUNICIONES	0	830.9	0	4.2	0	0	0	0	0	30.9	0	0	0	2.2	0	0	0	270	0	89.4	0	258.2	0	0	0	175.9
ARTICULOS DE VESTUARIO	873.3	874	23.6	31.7	29.5	35.4	38.8	183.9	97.2	63.7	138.5	78.2	73.4	60	52.6	46.3	200.2	20.3	135.7	142.3	5.9	16.8	62.4	50	15.6	145.2
AZUCAR	0	2.5	0	0.1	0	0	0	0.3	0	0	0	0.3	0	0	0	0.5	0	0	0	0.4	0	0.3	0	0.5	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	0.1	838.5	0.1	42.4	0	58.8	0	168.7	0	79.2	0	0	0	3	0	123.7	0	50.9	0	30.9	0	78	0	159.4	0	43.5
BATERIAS ELECTRICAS	0	184.5	0	18.7	0	10.7	0	20.9	0	2.1	0	10.7	0	30.8	0	14.6	0	7.4	0	20.3	0	22.7	0	8.5	0	17.1
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	7011.9	1833.3	788.1	234.1	527.3	136.8	345.8	156.3	721.6	287.1	887	168.3	178.3	21.5	362.1	82.1	1080.7	135.1	506	166.5	474.7	151.2	714.7	182.2	425.6	112.1
CAFE SOLUBLE Y MOLIDO	0	495.5	0	1.9	0	0	0	207.5	0	32.9	0	245.8	0	0	0	0	0	7	0	0	0	0	0	0.4	0	0
CALZADO	5.1	101.5	0	2.9	0	0.4	0	14.6	4.8	2	0	9.1	0.2	11	0	5.3	0	11.9	0	17.8	0	1	0	3.1	0	22.3
CERAS	3.8	774.8	0	89.8	0	52.2	0	80	0	100.4	0	38.2	0	48	2.1	106.6	0	77.7	1.7	38.7	0	64.2	0	27	0	52
CLAVOS Y TORNILLOS	7.2	1017.3	6.9	59	0	505.1	0	81.6	0	33.2	0	53.3	0	37.7	0	48.1	0.2	25.3	0	32.2	0.1	43.6	0	16.5	0.1	81.8
DETERGENTES Y JABONES	0.2	1069.1	0	61.7	0	112.7	0	119.1	0	73.8	0	100.1	0	67.1	0	122.7	0	113.7	0	56.8	0	121	0	67.1	0.2	53.4
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	0	8.2	0	0	0	0.2	0	0.1	0	0.2	0	0	0	0.2	0	0.2	0	6	0	0.4	0	0	0	0.2	0	0.7
GRASAS Y ACEITES COMESTIBLES	57964.3	156.9	7857.8	8.5	6719.8	41.7	7208.9	3.4	0	8.4	4262.9	12.6	3050.2	3.4	3269.1	10.1	4868	34.1	14488.3	0	2708.6	7.9	3530.8	14.8	0	11.9
HARINAS DE CEREALES	0	323.4	0	36.6	0	8.3	0	7.9	0	25.4	0	19.7	0	42.3	0	24.7	0	18.2	0	45.4	0	51.5	0	6	0	37.4
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	20.3	2620.1	0.1	150	1	344	0	173.2	11.3	288	0	270.5	0.1	360.2	0	199.1	3.1	213.1	0	142.7	1.1	138.6	3.5	140.6	0.1	199.9
HILOS E HILAZAS	2.4	708.7	0	3	0	120.5	0	104.5	0	0	0	127.9	0	122.6	0	0.4	0	107.4	0	17.1	2.4	17.2	0	72.9	0	15.2
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	0	5833.1	0	1150.8	0	494.8	0	404.9	0	155.7	0	435.1	0	411.3	0	155.3	0	249.8	0	960.9	0	206.1	0	1171.2	0	37.2
INSTRUMENTAL MEDICO Y OTROS	343.8	13613.2	28.6	1472.4	26.7	1326.3	81.2	752.8	96.5	875.3	32	877.2	2.5	1191.3	0.1	1224	43.6	965.3	7	953.3	1.3	727.3	2.6	1532.7	21.7	1715.4
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	47	532.8	5.8	1.5	6.1	30.5	2.7	8.8	1.3	92.6	2.3	94.3	1	1.2	0.5	94.2	9.4	5.7	0	0.5	17.7	139.4	0.4	30.8	0	33.3
LAMINA Y ALAMBRE	5.9	856.6	0.2	41	0	36.7	5.7	46.6	0	88.2	0	127.9	0	51.9	0	10.7	0	44	0	41.3	0	114.3	0	173.6	0	80.3
LECHE Y OTROS PRODUCTOS LACTEOS	0	628.4	0	44.4	0	16.8	0	0	0	20.8	0	83.7	0	37.4	0	8.5	0	251.8	0	31.5	0	56.7	0	45.6	0	31.2
MANUFACTURAS DE CAUCHO	3.7	2030.3	0	140.2	0	232.7	2.7	183.8	0	179.7	0	120.3	0.8	80.7	0	67.5	0	241.5	0	197.9	0.1	154.2	0	144.8	0.1	287
MANUFACTURAS DE CERAMICA	1.9	3426.8	0	2164.8	0	7.5	0.1	21	0	35.3	0	472.6	0.1	78.3	0	56.4	0.5	51.4	0.4	435.1	0	34.2	0.8	58.8	0	11.4
MANUFACTURAS DE CUERO	0	72.5	0	1.4	0	16.7	0	12.1	0	6.9	0	3.9	0	7.4	0	5.1	0	1.1	0	3.2	0	5.5	0	1	0	8.2
MANUFACTURAS DE MADERA	93.2	571.1	30.6	74.1	0	0.3	0	33.2	0	27.3	0	10.3	0.2	81.2	0	40.2	0	18.8	36	49.3	0	65	26.4	17.8	0	153.6
MANUFACTURAS DE PAPEL Y CARTON	167.1	4295.8	18.2	386.2	26.2	366.1	34.1	684.8	1.9	361.1	0	388	0	262.7	0.6	236.2	32.1	281.4	25.2	350	24.2	433.1	3.6	337	0.9	209.1
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	0	1112.2	0	150.9	0	128.5	0	105	0	9.6	0	51.2	0	44.7	0	36.6	0	144.4	0	142.9	0	85.3	0	183.7	0	29.4
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	5.6	2610.6	0.1	350.3	0	0.3	0.5	355.5	0	436.5	1.5	322.6	1.6	0.4	0	0.1	0.9	5.5	0	568.6	0.5	284.1	0.5	276.2	0	10.4
MANUFACTURAS DE PIELES	0	11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	9.7	0	0
MANUFACTURAS DIVERSAS	19.2	15232.7	0.2	857.2	0.3	1019.2	10.8	621.7	0.1	3369.8	0.9	747.6	1.4	455.1	0.7	683.1	0.3	527.1	1.3	814.6	3	1017.4	0.1	747.5	0.1	4372.4
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	578.2	83745.3	3.2	9071.7	81.4	4843.1	102.6	8143.6	40.7	3777.7	0	4538.6	15.3	3732	196.9	10283.3	0.3	7269.9	45.7	3438.2	1.3	6496.3	72.4	12917.3	18.3	9233.6
MATERIALES PLASTICOS Y SUS MANUFACTURAS	157.3	11912.9	0.1	873.3	0.2	451.1	1.6	674.5	0.6	1081.7	1.7	1135.9	19.9	640.7	39.8	1392	0.1	1287.8	13.9	1217.6	9.8	1134.2	31.8	1028.8	38	995.2
MATERIALES TEXTILES (TEJIDOS O TELAS)	23.8	265.2	0.9	20.3	2.5	15.6	1.1	11.5	1.4	17.4	2.8	27.4	7.7	14.6	1.8	79.5	0.7	37.2	0.6	10.4	3.9	6	0.5	1	0	24.3
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	10.6	716.2	0	4.6	0	1.1	0.2	34.6	1	5.5	0.4	17.5	0	20.4	2	468	0.5	8.6	0	7.8	3.7	79.6	2.7	31.3	0	37.2
NEUMATICOS Y TUBOS	0	423.2	0	11.1	0	18.7	0	10.9	0	2.7	0	33.6	0	45.6	0	43.6	0	59.6	0	47.5	0	16.1	0	60.2	0	73.6
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	1.7	3439.3	0	0	0	0	0	0	0.7	0	0	0	0.1	0	0.5	3437.2	0	0	0	0	0	1.9	0.4	0.1	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	9.1	3048.6	0.1	253.2	0	176	0	161.6	2.1	122.4	0.1	200.4	0.1	221.1	1.6	473.7	0.1	229.5	0	290.1	2.9	270.9	2.1	259.7	0	390.1
OTROS ACEITES ESENCIALES	936.7	199.1	35.4	4.2	66	3.9	133.7	53.5	0	32.2	122.8	34.2	65.6	0	0	8.3	154.2	25.1	34.3	0	72.4	6.5	91.9	4.6	160.5	26.6
PAPEL Y CARTON	270	7573.2	17.4	660.7	91.1	1070.5	34.3	1052.2	51.9	287.2	0	396.8	0	175.4	0	549.1	31.6	326.6	35	1093.5	8.6	683.9	0	742.8	0	534.7
PESCADO Y MOLUSCOS	0	63.5	0	57.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7
PINTURAS Y BARNICES	31.8	4060	0	410.4	0	251.3	0	275.5	0	408.8	0	133.5	0.7	249.6	0	475	29.8	449.8	0	299.2	0	390.7	0	338.5	1.3	377.7
PREPARADOS A BASE DE CEREALES	0	4307.9	0	331.6	0	817.6	0	400	0	310.5	0	218.7	0	120.5	0	267.4	0	239.1	0	362.8	0	395.6	0	320.4	0	523.6
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	0	362.7	0	17.8	0	0.2	0	0	0	0.1	0	282.3	0	22.1	0	17.7	0	0	0	0	0	11.2	0	11.2	0	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	741.9	1872.3	0	86.9	0	151.1	8.7	172.8	0	148.4	136.2	169.1	125.9	161.7	85.3	136.9	149.5	164	90.8	131.2	46.6	51.4	47.1	275.5	51.8	223.3
PREPARADOS DE FRUTAS	2337.7	87.1	181.4	25.5	191.7	6.3	172.4	0	187.3	0	361.8	2.3	175.6	0	195.8	8.6	132.4	8.7	205.5	18.3	252.9	0	106.7	11.5	174.2	6
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	0.1	4436.3	0	424.8	0	183	0	505.9	0	366.2	0	526.6	0	228.9	0	199.6	0	500.3	0	424.7	0.1	499.6	0	345.5	0	231.2
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	21.7	30578.8	0	4429.1	0	1525.1	0	4402.6	0	1554.4	0	2236.9	0	1623.3	7.5	1812.5	0	2609.4	0	2570.5	0.1	3710.9	0	1889.6	14.1	2214.6
PRODUCTOS FARMACEUTICOS	268.8	18771.8	0	1398.7	0	1343.9	0	1886.6	137	1506.2	45	1660.6	51.3	1066.4	0	2132.1	0	1593.8	6.4	1514	0	1866.1	0	1024.4	29.1	1778.9
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	0	13.2	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4	0	0.1	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	3.7	44.8	0.1	0.1	0	3.2	0.9	0.4	0.3	0	0.1	2.3	1	0.2	0	2.3	0.9	31.1	0	0.1	0.5	1.4	0	0	0.1	3.7
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	0	101.9	0	11.8	0	5.1	0	22.2	0	0	0	18.4	0	0	0	15.5	0	16.1	0	5.6	0	0	0	5.4	0	1.7
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	0.5	141.6	0	4.7	0	1.7	0	25.5	0	18.7	0	17.1	0.3	5.7	0	10.3	0	3.8	0	15.9	0.2	15.7	0	6.4	0	16.1
TUBERIA Y SUS ACCESORIOS	0.6	4086.6	0	335.2	0	329.9	0.1	285.9	0	224.4	0	170.6	0	775.3	0	124.8	0	258.4	0	304.7	0.1	244.9	0.3	565.6	0	467
VEHICULOS Y MATERIAL DE TRANSPORTE	579.9	42883.6	13.6	2840.7	44.6	5373.5	67.8	2651	11.2	3329.5	40.2	2303.2	13.7	4155.4	21.4	3669.8	26.8	4556.9	72.2	5554	253.8	2338.9	13.6	2187.2	1	3923.5
VIDRIO Y SUS MANUFACTURAS	1.7	757	0.2	39.6	0	36.2	0	104	0	52.3	0	41.9	0	48.2	0.2	166	0.1	47.3	0	33.2	0.9	80.2	0.2	13	0.1	95.1
