	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	289407.3	87779.4	24077.4	5921.8	20300.6	7317.3	17021	9633.4	26963.9	8996	26935.9	7467.4	19203.7	6887.7	27064.6	4749	25698.6	6684.1	21460.9	10973	29205.2	5965.8	25541.9	9651.8	25933.8	3532.1
INDUSTRIAS AGROPECUARIAS	2462.3	69449	338.7	5742	67.1	6990.8	245	9219.7	241.4	7729.1	335.5	6809.2	25	5560.9	123.6	4093.3	225.1	6143.9	243	7052.6	367.6	4181.2	247.7	3417.5	2.6	2508.9
AVES DE CORRAL VIVAS	230	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANANO	0.9	482.5	0	0	0	0	0	0	0	0	0	0	0	26.2	0	101	0	85.1	0	105.1	0.9	77.6	0	50.2	0	37.4
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	83.1	488.5	0.1	12.9	0.1	45.2	4	25.1	9.2	18.9	19.9	24.7	2.4	92.7	9.8	7.8	11	59.3	10.1	39.4	0.2	9	16.3	23.6	0	129.9
CAFE	0	40163.3	0	4090.4	0	6437.7	0	7575.7	0	6625.8	0	4211.1	0	3701.6	0	1375.3	0	1404.3	0	1672.2	0	974.7	0	846.6	0	1247.9
CARDAMOMO	0	3476.8	0	642.5	0	322	0	669	0	34	0	536.2	0	102.1	0	0	0	118.7	0	232.1	0	25.8	0	340.4	0	453.9
CAUCHO NATURAL (HULE)	96.1	1518.9	0.2	198.1	0	0	0	0	9.1	225.3	0	1057.8	0	37.6	0	0	0	0	69.5	0	0	0	17.4	0	0	0
ESPECIAS	174.4	0	0	0	0	0	0	0	0	0	52.7	0	0	0	0	0	34.3	0	74.3	0	1.7	0	11.4	0	0	0
FLORES Y FOLLAJES	0	49.7	0	3.9	0	5	0	4.2	0	4.6	0	4.8	0	3.7	0	1.8	0	8.9	0	4.1	0	2.9	0	1.9	0	4
"FRUTAS FRESCAS, SECAS O CONGELADAS"	4.5	294.8	0	0	0	0	0	36.6	0	0	0.9	4.7	0	140.5	0	4.7	0	18.4	1.9	0	0	4.7	1.6	0	0	85.4
HUEVOS DE AVES	244.8	0	0	0	0	0	81.6	0	0	0	0	0	0	0	0	0	81.6	0	0	0	81.6	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	12.3	704.4	0	139.1	0	75.3	0	103.3	12.3	100.3	0	74	0	37	0	0	0	0	0	93.7	0	0	0	8.9	0	72.9
MIEL DE ABEJAS	0	4104.8	0	0	0	0	0	289.3	0	571	0	721	0	1233.5	0	960.9	0	201.5	0	68.3	0	0	0	59.2	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	1233.3	63.8	71.4	11.5	19.3	0	139.1	0	182.5	0	207.2	0	1.7	0	97.6	0	49.4	19	50.6	0.2	276.2	1.6	138.2	7.4	0	24.1
PIMIENTA	98.5	692.3	0	6.8	0	0	0	25.5	0	0	23.3	0	1.6	0	0	171	3.1	369.6	19.1	83.6	3.9	24.2	47.4	0	0	11.6
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	284.4	318.5	37.1	91	47.7	0	20.3	91	28.3	91	31.4	0	19.2	0	16.1	0	45.6	0	17.6	0	3.1	0	15.4	0	2.6	45.5
SEMILLA DE AJONJOLI	0	1359.6	0	440.2	0	0	0	294.6	0	58.2	0	66.2	0	76.3	0	47.3	0	8.8	0	95.3	0	88.4	0	8.8	0	175.4
TABACO EN RAMA O SIN ELABORAR	0	15731.1	0	105.5	0	105.5	0	105.5	0	0	0	108.8	0	109.7	0	1423.5	0	3850.2	0	4658.6	0	2972.3	0	2070.7	0	221
TOMATE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	280082.6	18282.8	23170.1	179.8	19894.1	323.6	16193.4	413.6	25422	1267	26016.9	655.3	18472.9	1325.3	26498.1	634.5	24896.1	537.3	20885.8	3920.4	28218.9	1781.6	24862.3	6234.3	25551.8	1010
ABONOS Y FERTILIZANTES	782	0	77.7	0	19.3	0	94.1	0	148.6	0	60.4	0	69.2	0	2.5	0	50.6	0	1.4	0	1.1	0	255.9	0	1.3	0
ALIMENTOS PREPARADOS PARA ANIMALES	270.7	0	18	0	131.1	0	0.8	0	0	0	97.1	0	0	0	0	0	23.7	0	0	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	3465.1	32	6.8	0	1089.2	0.6	20.6	0	49.6	0	44.6	0.4	281.3	0.7	71.8	0	21.5	0	5.1	0	533.1	11.8	1304.3	0.1	37.3	18.4
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	620.2	2.1	7	0	24.5	0.3	144.9	0	14.1	0.1	21.5	0.2	41.9	0.2	117.2	0	15.2	0	14	0	53.4	1.3	129.4	0.1	36.9	0
