,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,215047.8,78150.4,18939.4,5896.1,16253.7,5065.5,22227.6,7985.3,19038.4,7168.8,21697.7,11301.6,14438.2,8330.4,18365.7,13913.8,21142.8,5239.8,16424.9,3942.4,13502.9,4287.8,13623.9,1721.8,19392.8,3297.1
INDUSTRIAS AGROPECUARIAS,1475.1,71138.9,36.3,5701.2,86.2,4788.5,171.2,7798.5,173.2,6652.1,183.5,10714.8,63.4,7648.9,205.9,13361.3,122.5,4548,123.2,2640.4,16.5,3373.8,123.4,1124.8,169.8,2786.7
ANIMALES VIVOS DIVERSOS,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
AVES DE CORRAL VIVAS,321.7,0,0,0,0,0,57.2,0,0,0,145,0,0,0,0,0,0,0,60.2,0,0,0,0,0,59.4,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",96.4,263.4,18.5,14.6,5.6,22.5,18.3,15.3,24.6,29.6,10.7,10.4,1.3,12.3,4.4,63.5,1,8.3,7.6,24.9,0,29.5,4.3,23.8,0,8.7
CAFE,0,48612,0,5236.1,0,3695,0,7080,0,5791.1,0,9202.1,0,6767.4,0,5401.5,0,2408.1,0,1634.1,0,642.7,0,96.5,0,657.5
CARDAMOMO,0,2889.3,0,112,0,408.4,0,189.3,0,96.5,0,482.1,0,224.2,0,305.7,0,0,0,94.6,0,228.1,0,33.3,0,715.2
CAUCHO NATURAL (HULE),451.1,1607.8,13.3,0,53.7,157.1,0,0,85.4,0,0.9,219.7,1.9,241.4,100.2,397.8,97.6,131.1,0,412.8,0.5,0,0,0,97.7,48.1
ESPECIAS,94.2,4.1,0,0,0,0,25.8,0,0,0,0,0,1.3,0,57.3,1,0,3.1,0,0,2.5,0,0,0,7.3,0
FLORES Y FOLLAJES,0,865.7,0,56.8,0,65.9,0,138.9,0,104.4,0,87.1,0,104.7,0,48.3,0,54,0,74.3,0,77.2,0,36.7,0,17.5
FRIJOL,14.7,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",3.6,1018.8,0,77.6,0,53.9,0,107.2,0,282.4,0,386.9,1.5,88.3,2.1,12.1,0,0,0,9.4,0,1,0,0,0,0
HUEVOS DE AVES,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1.2,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,0,62.4,0,3.3,0,1.6,0,0,0,40,0,9.1,0,0,0,0,0,0,0,0,0,0,0,2.8,0,5.6
MIEL DE ABEJAS,0,804.9,0,54.3,0,81.5,0,162.7,0,138.7,0,184.6,0,128,0,55.1,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,92.6,18.5,1.4,7.6,0,0,22,0,36,10.5,9,0,8.4,0.4,8,0,2.2,0,2,0,0,0,3.5,0,0.1,0
PIMIENTA,16.4,277.7,0,0,0,37.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,13.5,240.2,2.6,0,0,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",270.9,251.4,3.1,34.3,26.9,69,48,69,27.2,40,3.3,0,49,0,33.6,0,21,0,52.2,0,0,0,1.3,0,5.3,39.1
SEMILLA DE AJONJOLI,0,1147,0,104.7,0,56,0,36,0,119,0,130.1,0,82.2,0,155.6,0,36,0,118.2,0,132.3,0,93.5,0,83.5
TABACO EN RAMA O SIN ELABORAR,111.6,13313.4,0,0,0,140.1,0,0,0,0,0,2.8,0,0,0,6920.9,0,1907.4,0,272.2,0,2020.2,111.6,838.2,0,1211.7
INDUSTRIAS EXTRACTIVAS,14801.9,47.6,439.1,0,448.9,0,9062.3,12.5,418.1,2.1,371.5,2.4,580.2,11.1,323.4,16.6,731.3,0.4,930.7,1.5,270.6,0,467.8,1,757.9,0
ALUMINIO,3051.9,4.6,62.2,0,342.2,0,354.7,0,224.9,0,272.2,0,164.7,0.1,107.1,4.1,411.5,0.4,579.5,0,13.8,0,56.3,0,462.9,0
COBRE Y SUS MANUFACTURAS,568.9,42.8,72,0,1.7,0,19.2,12.5,45.7,2.1,23.1,2.4,95,10.8,24.9,12.5,39.2,0,79.5,1.5,41.4,0,124.3,1,3,0
DIESEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTA&O,162.2,0,0,0,2.4,0,16.9,0,20.7,0,3.8,0,0,0,0,0,0,0,0,0,18,0,0,0,100.3,0
GASES INDUSTRIALES,319.2,0,92.5,0,0.7,0,8.4,0,24.6,0,45.4,0,13.1,0,29.8,0,12.8,0,45.3,0,37.1,0,6.9,0,2.6,0
GASOLINA,8447.2,0,2.1,0,0,0,8435.2,0,2.4,0,0,0,0.1,0,2.3,0,0,0,0,0,0,0,5.1,0,0,0
HIERRO Y ACERO,704.2,0,14.7,0,0,0,24.1,0,0,0,0,0,114.7,0,44.6,0,129.3,0,115.1,0,121.4,0,81.7,0,58.7,0
MAGNESIO,55.5,0,14.2,0,9.4,0,11.5,0,4.8,0,0.3,0,0.1,0,5.7,0,0.2,0,0,0,0.2,0,9.3,0,0.1,0
NIQUEL,38.7,0,6.9,0,23.5,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,1405.5,0,169.1,0,67.9,0,188.9,0,91,0,26.6,0,180.4,0,103.4,0,133.7,0,98.4,0,34.8,0,181,0,130.3,0
PLOMO,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
PRODUCTOS MINERALES DIVERSOS,47.2,0.2,5.3,0,1.1,0,3.2,0,4.1,0,0,0,3.7,0.2,5.2,0,4.5,0,12.9,0,3.8,0,3.2,0,0,0
ZINC,1.4,0,0.2,0,0,0,0.2,0,0,0,0.2,0,0.1,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,198770.8,6963.9,18464,194.8,15718.7,277,12994.1,174.3,18447.1,514.7,21142.6,584.4,13794.7,670.4,17836.3,536,20288.9,691.5,15371,1300.5,13215.7,914,13032.7,596.1,18465.1,510.4
ABONOS Y FERTILIZANTES,1075.1,0,107.7,0,11.3,0,136.9,0,38.4,0,271.4,0,9.1,0,35.9,0,46,0,38.4,0,77.4,0,186.9,0,115.7,0
ACEITE DE SEMILLA DE ALGODON,0,1.3,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,248,3.4,9.5,0.1,20.5,0,15.9,0.2,15.4,0.1,3.7,0,18.1,0.4,69.2,0.6,25.8,0.7,33.8,0.1,11.2,0.5,16.9,0.5,8.1,0.2
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,561.9,5,79.9,1.8,36.2,0,45.2,0,38.4,0.2,22.8,0,25.2,0.2,23.1,1,127.6,1.5,33,0.1,28.2,0,23.2,0,78.9,0.1
APARATOS TRANSMISORES Y RECEPTORES,694.2,3.6,1.3,0.1,31.1,0,90,0.2,20.7,0.1,22.9,0,9.4,0.5,22.9,1,432.8,0.8,20.5,0.2,30.8,0,4.9,0.6,7,0.1
ARMAS Y MUNICIONES,1153.5,0,0,0,160.5,0,130.4,0,106.9,0,0,0,219.8,0,310.8,0,0,0,0,0,223.1,0,0,0,2,0
ARTICULOS DE VESTUARIO,256.2,142.2,4.5,23.3,10.4,35.9,38.9,4,45.9,13.3,19,4.2,9.7,4.4,33.7,8.8,3.5,11.8,25.5,7.1,14.7,6,10.2,15.5,40.2,8
AZUCAR,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,798.7,0.1,0.7,0.1,74.5,0,213.3,0,1.5,0,49.2,0,10.9,0,80.1,0,63.7,0,127.2,0,135.9,0,40.4,0,1.1,0
BATERIAS ELECTRICAS,255.2,0.2,4.5,0,26.5,0,45.4,0,33.2,0,3.1,0,4.7,0,41,0,30.4,0,59.8,0,2.8,0.2,3.1,0,0.6,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,2825.7,858.8,93.8,1.8,298.2,0,324,0,380.9,69.1,282.9,0,187.7,0,302,0,39.5,1.7,138.6,527.8,375.2,258.4,184.1,0,218.9,0
CALZADO,75.1,32.1,0.8,0,0.7,0,13.5,0,4.8,0.2,0,0,5.3,31.4,23.6,0.1,0.6,0.3,4,0,4,0,10.6,0,7.3,0.1
CERAS,851.7,1.4,132,0,114.5,0,84.7,0,24.7,0,42.3,0,84.6,0,71.6,0,18.1,0.8,107.4,0.6,74.2,0,97.4,0,0.1,0
