,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,166425.1,53642.4,18581.1,2354.7,8801.9,1917.6,16543.6,3445.6,14321.1,6714.1,16578.2,10717,14942.2,10191.8,16541,6264.3,12723.4,5030.2,11324.4,1771.9,12242.3,3766,10318.9,384.7,13506.9,1084.5
INDUSTRIAS AGROPECUARIAS,976.5,51076.4,103.3,2158.3,45.7,1759.4,125.5,3363.8,103.9,6373.5,117.4,10497.4,57.8,9821.3,59.6,6007.6,63.7,4545.3,61.6,1648.6,121.2,3634.5,51.2,301.2,65.7,965.5
AVES DE CORRAL VIVAS,57.6,0,0,0,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",31.4,210.4,0,12.1,0,8,0,26.5,0,24.1,29.8,19.3,0,3.3,0.7,29.1,0,10.1,0,18,0,28.9,0.3,19.3,0.5,11.7
CAFE,0,35702.4,0,1055.8,0,1375.4,0,3029,0,5219,0,9211.1,0,5625.7,0,4221.5,0,3126.1,0,1254.4,0,823.7,0,169.3,0,591.5
CARDAMOMO,0,959.6,0,26,0,89.3,0,96.6,0,265.8,0,168.1,0,104,0,56,0,16.6,0,0,0,0,0,49.2,0,88.1
CAUCHO NATURAL (HULE),119.8,89.7,17.8,60.2,5.4,0.1,5.7,0.1,20.8,0,12.8,0,0,0,49.5,0,0,14.4,7.7,14.9,0,0,0,0,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0
ESPECIAS,19.5,69.7,2.2,39.3,0,0,1,0,0,12.1,10.5,0,2.4,0,0,0,0,0,0,18.3,3.3,0,0,0,0,0
FLORES Y FOLLAJES,0,2418.5,0,235.7,0,121.3,0,109,0,276.4,0,728.7,0,398.5,0,87.8,0,100.6,0,64.8,0,66.5,0,63.4,0,165.7
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,310.2,0,78.5,0,0,0,0,0,16.6,0,31.7,0,45.4,0,103.5,0,18.9,0,0,0,15.6,0,0,0,0
LEGUMBRES Y HORTALIZAS,0,68.5,0,21.8,0,20.8,0,3.7,0,5,0,12.3,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0
MIEL DE ABEJAS,0,732.9,0,0,0,72.1,0,78,0,223.8,0,227.9,0,65.1,0,66,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,288,0,29.4,0,9.5,0,87.7,0,0,0,17.1,0,10.2,0,0,0,9.6,0,9,0,57.4,0,0,0,58.1,0
PAPA,173.2,0,28.5,0,14.7,0,14,0,14,0,0,0,28.5,0,0,0,28.9,0,14.4,0,14.4,0,15.8,0,0,0
PIMIENTA,0,262.3,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0
