,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
ARTICULOS DE VESTUARIO,796.1,138.7,59.5,8.9,13.3,15.6,110.1,18.9,33.9,7.6,35.7,5,23.3,14.9,62,16.2,56.9,13.1,153.1,3.5,57.2,11.2,121,16.6,70.1,7.1
AZUCAR,0.8,0.1,0,0,0.1,0,0.1,0.1,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,805.9,0.1,89.5,0.1,60.2,0,70.6,0,164.6,0,15.5,0,71.4,0,2.8,0,72.7,0,75.5,0,84.2,0,94.4,0,4.5,0
BATERIAS ELECTRICAS,147,0,26.3,0,11,0,9,0,17.4,0,23.5,0,5.1,0,11.4,0,16.3,0,5.3,0,9.1,0,5.7,0,7,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,2813.5,4622.3,263.2,319.4,19.3,366.7,165.5,413.3,120.9,279.2,238.4,240.6,278.2,528.9,144.3,145.2,187.1,732.1,239.8,204.7,384.7,548,478.1,594.5,293.9,249.7
CALZADO,146.9,0,3.5,0,1.9,0,13.4,0,3.7,0,11.4,0,5.2,0,7.3,0,3.1,0,13.3,0,3.4,0,37.1,0,43.5,0
CERAS,1121.4,2.7,122.4,0,68.6,0,128.7,0,23.2,0,58.7,0,180.8,0,86,0,19.3,1.5,193.1,0,92.4,1.1,97.1,0,51,0
CLAVOS Y TORNILLOS,746.2,0,77.1,0,42.1,0,44.8,0,38,0,32.3,0,13.2,0,225.6,0,53.4,0,101.4,0,27.3,0,50.9,0,40,0
DETERGENTES Y JABONES,1620,0,84.8,0,50.8,0,152.8,0,109.1,0,132.8,0,114,0,91.8,0,80,0,220.1,0,69.9,0,472,0,41.8,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",6.4,0,0,0,0,0,0,0,0.3,0,0,0,0,0,6,0,0,0,0,0,0,0,0.1,0,0,0
GRASAS Y ACEITES COMESTIBLES,262.3,14287.1,0.6,8474.2,38.6,0,12.8,0,0,1,104.1,0,0,823.6,0,1729.7,0,0,0,0,25.3,2174.5,0,1084.1,80.9,0
HARINAS DE CEREALES,157,0.4,19.5,0,0,0,30,0,5.7,0,5.1,0.4,25.2,0,11.1,0,1.7,0,16.1,0,3.9,0,31.3,0,7.4,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,2961.7,11,143.4,0,199.4,0,387.5,0.3,71.8,0,228.3,0,250.8,0.1,114.5,0.4,362.4,0,252.8,0,415.1,10.3,262.1,0,273.6,0
HILOS E HILAZAS,1453,0,3,0,1.8,0,132.6,0,1.7,0,358.2,0,0.6,0,143.1,0,149.9,0,139.4,0,228.4,0,212.5,0,81.9,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",5696.2,0,2086.7,0,83.6,0,190.1,0,438.2,0,160,0,451.6,0,412.1,0,11.6,0,423.6,0,575.3,0,388.6,0,474.8,0
INSTRUMENTAL MEDICO Y OTROS,14999.1,42.8,682.6,0,660.9,6.3,616.9,33.8,1017.1,0,746.8,0,866.1,0,861.1,0.1,2490.4,0.1,2809.4,0.3,1884.5,1.4,1607.9,0.8,755.4,0
JOYERIA DE FANTASIA,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",324.2,50.5,1,7.1,5.5,0,7.9,10.8,28.1,0,3.3,1.6,40.2,0.7,98.1,16.2,35.3,1,19.6,0,68.8,0.6,8.2,0.6,8.3,12
LAMINA Y ALAMBRE,2040.4,0.1,646,0,30,0,73.1,0.1,154.9,0,76.9,0,83.8,0,100.7,0,166.9,0,371.5,0,225.9,0,75.8,0,34.8,0
LECHE Y OTROS PRODUCTOS LACTEOS,294.8,0,14.1,0,74.5,0,24,0,4.4,0,23.9,0,43.4,0,0.3,0,15,0,22.6,0,22.7,0,49.5,0,0.4,0
MANUFACTURAS DE CAUCHO,1578.7,1.1,131,0,67.8,0,89.8,0,206,0,104.1,0,176.1,0,258.7,0.5,157.4,0,108.8,0,86.6,0.6,50.1,0,142.3,0
MANUFACTURAS DE CERAMICA,476.9,6.4,20.5,0,27.8,0,41.8,0.1,21.4,0,1.4,0,36.4,0,111.2,0,65.3,0.4,37.6,0,67.9,0,13.2,5.9,32.3,0
MANUFACTURAS DE CUERO,78.1,115.3,2.3,0,9.5,28.5,13.8,4.5,6.5,18.2,16.7,0,0.4,0.8,0.6,12.5,1.3,7.7,11,0,2.7,0,11.4,43.1,1.9,0
MANUFACTURAS DE MADERA,536,158.9,25.9,0,0.8,38.4,24.9,0,121.6,0,1.2,48.2,76.8,0,77.4,25.1,40.9,0,84.4,24,38.6,0,3.4,0,40.1,23.1
MANUFACTURAS DE PAPEL Y CARTON,7173.8,174.8,261.9,1.6,3143.5,0,672.2,1.1,409.5,0,257.4,0.1,171.1,2.6,233.1,9,517.3,8.1,926.6,48.6,283.1,71.7,155.7,32.1,142.4,0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",1038.9,0,159.3,0,244.6,0,44,0,24.1,0,17.3,0,129.4,0,95.9,0,49.7,0,65.1,0,95.6,0,88.3,0,25.6,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,2708.1,3.4,37.6,0,0,0,0.3,1.3,1.8,0.7,0.6,0.2,8.9,0,575.4,0.2,411.9,0.3,419.6,0,0.3,0.1,16,0.1,1235.7,0.3
