,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
AZUCARES Y ARTICULOS DE CONFITERIA,0.1,927.6,0.1,82.5,0,2.3,0,72.9,0,126.9,0,26.3,0,69.1,0,55.4,0,126,0,18.4,0,97.7,0,124.9,0,125.3
BATERIAS ELECTRICAS,1.6,198.2,0,27.2,0,39.3,0,14.4,0,17.5,0,8.4,0,4,0,24.8,0,11,0,4.3,0,11,0.3,30.2,1.3,6
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,6084.9,2242.1,545,267,580.1,60.1,469,49.3,121.1,167.5,899,229,209.7,116,892,133.1,1317.4,180.7,420.5,247.5,56.1,298.9,200.6,409.7,374.3,83.4
CAFE SOLUBLE Y MOLIDO,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0
CALZADO,12.9,112.8,0,2.5,0.1,3.6,0,13.5,4.7,5.4,0,17.4,0.1,6,0,4.4,0.1,8,7.4,14.2,0,8.8,0,12.7,0.3,16.2
CERAS,2.5,1110.6,0,37.2,0,58.2,0,110.5,0,173.9,0,127.1,0,133.2,1.5,212.7,0,34.3,1,129.4,0,43,0,18.4,0,32.9
CLAVOS Y TORNILLOS,2.2,1165.5,0,69.3,0,83,0,13.6,0,88.5,0,36.1,0,81.9,0,93.5,0,17.8,0,86.7,0,12.1,0,518,2.2,64.9
DETERGENTES Y JABONES,0.5,895.1,0,32.2,0,75,0,88.2,0,57.5,0,156.5,0,37.8,0,149.2,0,35.8,0,82,0,106.3,0.5,31,0,43.6
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0,0.8,0,0.1,0,0,0,0,0,0.3,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,83966.8,179.1,339.9,7.1,0,1.3,4462.5,24.5,8146.1,0,4864,22.8,598.9,6.7,10626.1,67.8,11869.9,0,6315.4,6.8,7831.6,0,17649.1,19.7,11263.1,22.6
HARINAS DE CEREALES,0,211.3,0,13.9,0,33,0,16,0,28.4,0,17.2,0,12.8,0,22,0,7.3,0,4.9,0,11.8,0,39.3,0,4.8
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,20.8,2500.6,0,325.5,0,98.1,0,303.5,0,132.6,0,82,1.8,401.8,0,159.5,0,107.6,0,59.7,0,168.7,0,352.1,19,309.6
HILOS E HILAZAS,2.2,227.7,0,65.1,0,0.1,0,0.1,0,0,0,5.9,0,5.9,0,0,0,39.1,2.2,53.2,0,4.4,0,53,0,1
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",2.6,7427.7,0,274.6,0,849.8,0,972.8,0,704.7,0,296.6,0,33,0,394,0,796.8,2.5,1231.5,0,824.2,0.1,68.7,0,980.9
INSTRUMENTAL MEDICO Y OTROS,255.5,12392.3,0.2,696.2,0,1037,2.8,851.9,0.4,595.4,0,1713.3,13.9,1069.6,20.3,786.2,102.4,949.7,1.1,955.5,10.7,815.4,49.3,1488.4,54.5,1433.7
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",29.7,246,0,32.8,2.5,2.3,0.7,16.1,0,6.1,10.3,31.4,0.3,31.4,0,21.4,7.3,4.5,0.1,29.4,6.1,30.7,0.6,37.9,1.7,2
LAMINA Y ALAMBRE,1.2,562.5,0,39.7,0,44.5,0,21.8,0,35.4,0,42.7,0,132.4,0,71.1,0,38.2,0.9,48.1,0.3,32.3,0,26.9,0,29.6
LECHE Y OTROS PRODUCTOS LACTEOS,0,560.9,0,24.2,0,0,0,11.9,0,72.6,0,0,0,83.4,0,58,0,43.3,0,82.7,0,72.2,0,86,0,26.7
MANUFACTURAS DE CAUCHO,38.3,1742.6,0,209.2,0,81.3,0,65.9,0.4,180.9,0,132.5,0.1,203.8,0,204.2,0,153.5,0.1,134.2,0,97.5,0,166.3,37.7,113.3
MANUFACTURAS DE CERAMICA,1.1,1339.9,0,64.8,0.1,32.1,0,31.1,0.1,399.3,0,108.9,0,46.4,0.2,35.9,0.1,2.7,0,72.8,0,467.2,0,57.6,0.7,21
MANUFACTURAS DE CUERO,28.1,101.6,8.3,2.3,0,13,0,7.8,0,13.6,8.7,7.6,3.8,0.3,0,2.2,0,11.9,7.2,27.9,0,4.8,0,4.2,0,5.9
