	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
ALIMENTOS PREPARADOS PARA ANIMALES	6306.5	157	367.2	0	942	0	671.7	54	442.2	7	380.4	0	532.1	16	612	16	591.4	16	511.5	0	587.2	16	360	16	308.7	16
APARATOS ELECTROMECANICOS DE USO DOMESTICO	30490	663.5	1838.3	19	2500.3	2.1	2276	1	3272.5	18.9	2102.4	3.6	2865.4	80.6	2573.7	157.6	1920.1	54.1	2009.8	19.1	3510.7	27.9	2998.6	14.2	2622.3	265.5
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	9734.6	883.4	448.2	17.5	340.2	0.1	569.3	6.6	551.8	0.7	706.8	1	775.6	0.2	1169.1	8.2	310.8	0	1269.8	50	1704.2	240	838.6	558.9	1050.1	0.4
APARATOS TRANSMISORES Y RECEPTORES	31588.5	40.2	1951.4	7.6	3271.2	0.4	2420	0.1	6151.2	3.1	3395.6	4	2736.2	0.3	2858	1.5	1064.2	0.8	2304.2	0.3	1762	13.5	2075.5	8	1598.9	0.6
ARMAS Y MUNICIONES	926.4	0	64.9	0	0	0	1.4	0	146.8	0	22.3	0	0	0	0	0	149.4	0	130.3	0	405.7	0	0.8	0	4.9	0
ARTICULOS DE VESTUARIO	3754.1	10074.5	315.7	453.6	325.6	643.3	142.3	840.7	350.7	1048.8	288.7	784	217.2	702.3	313.9	795.6	483.8	1111.2	246.5	963.3	388.4	1002.7	365.4	1038.3	316	690.5
AVES DE CORRAL BENEFICIADAS	0	118.4	0	0	0	0	0	0	0	0	0	0	0	0	0	55.4	0	0	0	0	0	0	0	63	0	0
AZUCAR	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	1.4	0
AZUCARES Y ARTICULOS DE CONFITERIA	18676.5	5815.9	1426.4	1131.5	1614.4	642.5	1698.3	529.4	2207.9	429.7	1388.6	272.8	1081.3	325.1	1670.5	362.6	1120.1	367.6	1622.6	519.3	1827.6	373.3	1462.4	294.9	1556.4	567.1
BATERIAS ELECTRICAS	11033.4	6382.9	504.6	285.8	661.1	668.9	1253.1	158.9	1173.2	396.6	553.5	411.3	1112.5	440.3	718.1	604.8	1024.6	786.9	732.3	307.6	1160.8	1304	903.6	952	1236	65.9
