	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	948151	354777.8	65943	23227.6	68694.5	24413.3	69132.1	29166.8	71656	27683.1	86201.7	27157.1	80205.9	22697.1	80407.5	33586.2	82778	28556.1	83672.5	30939.6	94307.7	30891.9	88118.7	29928	77033.4	46531
INDUSTRIAS AGROPECUARIAS	11015.1	64869.7	1088.3	4187.7	978.8	4809.8	981.8	3959.8	1091.2	3579.9	1149.8	4927.4	753.7	5759	730.2	7202	895.1	6607.3	579.8	7440	868	6476.7	942.9	5361.1	955.6	4558.8
AJO	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0
ALGODON	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
ANIMALES VIVOS DE GANADERIA	108.8	66.1	5.1	0	0	0	0	0	8.4	63	0	0	0	0	28.3	0	0	3.1	37.9	0	29.2	0	0	0	0	0
ANIMALES VIVOS DIVERSOS	15	0	3.5	0	0.6	0	1	0	2.3	0	1.5	0	0	0	0	0	0	0	1.2	0	0	0	4.8	0	0	0
ARROZ	397.9	0	0	0	157.1	0	0	0	96.3	0	0	0	144.5	0	0	0	0	0	0	0	0	0	0	0	0	0
BANANO	42.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	0	28.5	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	204.1	389.2	0	0	2.1	0.2	0.2	3.6	0	0.3	20.1	37.1	19.5	255.4	85.6	84.5	67	5.1	0	0	0	2.5	7.2	0.5	2.5	0
CAFE	0	723.4	0	0	0	0	0	110.5	0	108	0	153.5	0	98.5	0	128.5	0	0	0	38.4	0	0	0	0	0	86
CARDAMOMO	0	4.6	0	0	0	0	0	0.7	0	0	0	0.7	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	4465.1	61685.4	477.6	4150.3	518.9	4654.5	581.3	3771.4	396.4	3232.8	339.2	4242	293.1	5377.5	62.5	6885.7	413.5	6394.9	196.6	7240.1	323.8	6361.7	421.9	5082.2	440.3	4292.2
CEBOLLA	737.2	0	47.9	0	3.2	0	16.3	0	35.6	0	25.8	0	92.4	0	130.4	0	92.6	0	47.7	0	47.7	0	120	0	77.8	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	0	113.8	0	0	0	0	0	1	0	0	0	12.8	0	0	0	100	0	0	0	0	0	0	0	0	0	0
ESPECIAS	68.6	41.6	3.3	0	5.5	0	0	20.3	4.9	0	7.1	6.6	4.2	0	12.7	0	5.7	6	0	0	20.4	0	0	4.3	4.6	4.4
FLORES Y FOLLAJES	35.2	12.4	0	0	3.5	0	1.3	0	4.8	0	3.5	0	4.8	0	0.4	0	4.1	4.8	3.7	0	0	0	8.9	2.2	0	5.5
"FRUTAS FRESCAS, SECAS O CONGELADAS"	2059.7	17.5	330	0	180.5	9.5	174.7	0	188.4	0	158.1	0	131.8	0	213.5	0	161.8	0	89.8	4.2	127.2	2.1	165.6	1.6	138.2	0
LEGUMBRES Y HORTALIZAS	179.8	762.3	5.8	37.5	1.4	123.6	3.5	22.1	105.5	23.1	48.8	75.5	0	0	0	0	4.7	177.6	1.8	153.2	1.6	47.9	3.5	45.9	3.2	55.8
MAIZ	597.7	601.6	17.3	0	0	0	0	30.2	150.8	152.8	388.1	371.8	0	0	12.4	0	12.4	0	3.8	0	12.4	15.6	0.4	0	0.1	31.2
MANZANA	38.4	0	0	0	0	0	14.7	0	0	0	0	0	0	0	23.6	0	0	0	0	0	0	0	0	0	0	0
MATERIAS VEGETALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIEL DE ABEJAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	262.3	53.4	17.4	0	5.4	22	42.7	0	50.5	0	18.5	0	12.3	0	21.2	0	33	15.9	32	4.1	10.4	11.4	17.8	0	1.1	0
