	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	1185625.7	425693.9	75402.4	35278.6	83133.4	30939.1	90647.5	20039.3	88850.2	17738.2	97012.1	23049.5	115090.4	25513.5	116105.2	34988.5	91647.7	27157.5	102906.4	41198.1	109385.1	52676.1	110707.6	50246.6	104737.8	66868.9
INDUSTRIAS AGROPECUARIAS	22088.4	62224.6	996.8	4518	1679.1	3570.7	1768.2	4230.1	1398.6	4377.8	1117.7	4875.8	8953.5	4370.8	1318.2	4818.2	733.7	6149.3	812.8	5323.1	918.5	6366.9	977.3	6908.4	1413.9	6715.6
ANIMALES VIVOS DE GANADERIA	205.1	4	0	0	0	0	50.3	2.5	34.4	0	19.4	0	0	0	12.2	0	12.3	0	0	0	0	0	32.3	0	44.2	1.5
ANIMALES VIVOS DIVERSOS	56.5	13.1	3.4	0	6	0	4.3	0	2.4	0	3.5	5.7	0	0	4.9	0	3.4	6.5	7.3	1	8.5	0	8.1	0	4.6	0
ARROZ	43.7	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	43.1	0	0.1	0	0.2	0
BANANO	582.4	0	0	0	0	0	0	0	252.1	0	324.6	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	324.2	45.3	13.4	0	8.1	1.8	10.7	4.8	205.8	4.6	0	3.3	23.2	4.6	46.8	4.3	0	0	0	5.6	0	0	0	4.3	16.2	12
CAFE	0	452.1	0	210	0	0	0	0	0	0	0	0	0	111.4	0	119.8	0	11	0	0	0	0	0	0	0	0
CARDAMOMO	0	8.1	0	4	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0
CAUCHO NATURAL (HULE)	4731.1	52698.1	578.4	3940.1	503.9	2938.7	355.6	3567	164.4	3546.7	345.7	4243.7	226.9	3987.5	330.8	4612.3	359.5	5666.7	416.5	4722.1	405.5	5047.5	389.1	5232.7	654.9	5193.3
CEBOLLA	1667.3	0	100.9	0	111.5	0	14.4	0	3.4	0	61.3	0	249.3	0	238.9	0	162.8	0	145.9	0	96.8	0	221.9	0	260.1	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	133.9	0	0	0	0	0	17.6	0	0	0	0	0	0	0	92.6	0	22.7	0	0.5	0	0.1	0	0	0	0.2	0
ESPECIAS	72.4	10.7	5.9	0	13.3	5.5	6.5	0.3	0.6	0	4.8	0	1.6	0	7.2	0	8.5	5	3.6	0	3.2	0	16.4	0	0.9	0
FLORES Y FOLLAJES	15.9	2.6	0	0	0	0	0	0	0	0	0	0	0	2.6	9.2	0	3.5	0	0	0	0.5	0	2.7	0	0	0
FRIJOL	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	2.5	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	2343.2	49	189.9	0	157.1	0	174.5	9.5	91.9	17.2	236.9	0	295.1	0	398.7	11.9	68	3.3	107.1	1.2	194.1	4.8	201.5	0	228.5	1.1
HUEVOS DE AVES	20.8	0	0	0	0	0	0	0	0	0	0	0	20.8	0	0	0	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	363.2	7783.3	6.2	273.2	15.6	583.5	95	545.3	9.3	775.2	12.3	613.6	100.1	209.2	11.5	0	23.5	352.1	21.4	573.1	23.6	950.5	20.3	1487.9	24.4	1419.6
MAIZ	2032.7	101.4	0	1.9	726	3	683.4	3.3	0	0	23.1	2.9	335.2	19.2	38	0	6	0	20.9	0	90.6	71.1	32.3	0	77.2	0
MANZANA	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
MATERIAS VEGETALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	268.8	5.7	0	0	2.2	0	13.7	0	15.6	5.7	31.2	0	56.6	0	81.1	0	17.5	0	34.2	0	10.6	0	0.9	0	5.1	0
PAPA	15.8	0	0	0	0	0	0	0	0	0	0	0	15.8	0	0	0	0	0	0	0	0	0	0	0	0	0
