	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	30.2	554.1	15.5	49.6	3.8	26.8	0	68.8	10.9	47	0	44	0	62.6	0	75.6	0	22.7	0	9.6	0	59.4	0	49.8	0	38.3
ESTA&O	37.5	57.2	0	5.2	0	0.6	0	9.9	0	2.8	28.8	12	0	3.6	0	6.4	0	2.6	0	3	0	2.2	0	3.2	8.7	5.7
GASES INDUSTRIALES	441.3	12530.1	78.8	979.7	24.5	640.5	49.9	1348.2	25	787.3	24.9	1120.9	30.4	1238.3	25	1365.5	25.7	1049.4	26.1	1237.1	26.1	1181	74.7	625.4	30.3	956.7
GASOLINA	0	66	0	0	0	0	0	0	0	0	0	29.5	0	0	0	0	0	0	0	0	0	36.5	0	0	0	0
HIERRO Y ACERO	6001.9	78284	609.9	3001.1	134.7	5403.7	0.2	3993	17.9	6386.9	821.8	5511.8	1290.2	4856.1	1380.3	7548.3	967.3	7589.2	12.6	6689.4	643.8	10884	123	5819.2	0.4	10601.4
KEROSENE	0	5.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	2.4	0	0
MAGNESIO	0	27.1	0	0.4	0	0	0	6.2	0	0	0	7.6	0	0	0	6.2	0	0	0	0	0	0	0	0	0	6.6
MARMOL	0	2.8	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIQUEL	0	2.3	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0.1	0	1	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	4.2	6357.8	0	716.2	0	505.6	0	766.4	0	407	0	396	0	414.1	0.1	402.5	0	545.9	0	479.9	0	560.7	4.1	454	0	709.7
OTROS METALES COMUNES	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	0	76.7	0	1.4	0	15.8	0	14.2	0	5.2	0	0.4	0	2.3	0	19	0	0.6	0	1.4	0	5.8	0	10.7	0	0
PLOMO	0	213.9	0	16.9	0	0	0	5.9	0	0	0	56.3	0	59.1	0	0	0	6.4	0	39.1	0	7.1	0	7.8	0	15.3
PRODUCTOS MINERALES DIVERSOS	590.1	9418.6	45.3	789.1	53.7	779.4	113.1	829.7	45.2	561.7	52.1	770	16.1	517.9	65.8	2075.4	65.1	674.2	49.8	552.5	0.6	696.3	34.6	616.5	48.6	556
ZINC	267.2	18265.3	0	1479.4	0	1727.5	0	1705.8	0	1595	42.7	2320.1	0	1334.1	42.9	624.4	60.4	527.6	0	1635.9	88.4	1838.2	0	1763.2	32.8	1714.1
ENERGÍA ELÉCTRICA	1280.6	93852.4	3.9	7188.9	7	1213.1	5.5	13796.8	26	6136.5	40.4	9899.1	34.4	1608.3	62.5	4487.4	13.3	10452.3	58	11406.8	554	6027.6	22.2	8497.8	453.6	13137.7
INDUSTRIAS MANUFACTURERAS	427038.6	1690241.5	32387.3	129775.4	35451	122787.6	28636.1	145601.4	32712.6	120768.3	33962.1	146799	33099.5	149350.1	33677.1	129476	45368.2	151378	39518.6	137962.7	36463.6	171500.2	38461.7	133849.7	37300.9	150993.1
ABONOS Y FERTILIZANTES	343.5	8851.9	0	232.9	30.4	289.7	28.6	304.4	57.6	152	19.7	326.6	5.3	792.1	9.4	619.8	0	522.9	41.6	373.3	58.5	4635.5	0	154.7	92.4	447.9
ALIMENTOS PREPARADOS PARA ANIMALES	2.7	23909.1	0	1670.7	0	1771.6	0	2468.5	0	1582.3	0	1648.3	0	1507	0	1989.5	0	1922.1	0	1899.4	0	2068.7	0	2705	2.7	2675.9
APARATOS ELECTROMECANICOS DE USO DOMESTICO	209	51155.3	42.7	2179.7	33.6	2644	20	5542.4	10.1	4796	8.4	5400.4	11.7	3686.8	16.4	3032.6	5.9	2881.2	29.1	4078.3	13.7	6286.1	7.8	5839.5	9.6	4788.3
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	37.6	16941.7	0	2429.5	16	1768.8	0.3	1850.4	1	675.7	0.2	2796.9	17.5	2823.1	0.3	601.3	1.8	641.6	0.1	847.8	0	353.8	0.1	801.8	0.3	1350.9
APARATOS TRANSMISORES Y RECEPTORES	11.6	21390.9	0.3	1244.2	0.1	3712.1	0.7	2060.9	0.4	764.1	0.2	427.3	0.5	5753.6	0.2	1514.8	0.6	1120.4	0.6	904.3	0.1	755.5	4.5	1244.4	3.5	1889.3
ARMAS Y MUNICIONES	0	665.1	0	0	0	0	0	0	0	231.4	0	28.1	0	0	0	0	0	0	0	141.6	0	31.5	0	232.5	0	0
ARTICULOS DE VESTUARIO	26057.4	15279.4	2205	852	2040	1269.8	2620.5	1315.8	2801.1	1255.7	2417.9	1133.4	1843	1258.4	1526.5	1157.2	2629.1	1931.3	2576.8	1252.8	2396.2	1305.3	2021.3	1405.6	980	1142.2
AZUCAR	13587.5	0	1125.9	0	274.7	0	1025.8	0	627.5	0	490.4	0	1412.4	0	3538.7	0	4006.3	0	151.9	0	186.8	0	293	0	454.1	0
AZUCARES Y ARTICULOS DE CONFITERIA	11959.5	25445.6	1033.7	2047.3	978.1	1877.3	832.6	2807.3	493.5	1865.6	674	1937.5	995.4	2044.5	1212.7	1676.4	1161.1	2795.8	1114.5	2128.3	1070.4	2936.7	1290.6	1678.3	1102.9	1650.6
BATERIAS ELECTRICAS	1395.5	25456.9	198.7	2195.8	87.1	2541.8	121.7	2508.8	66	1900.8	147.1	2642.5	194.5	1983.1	47.9	1572	150.8	1985.7	44.2	1971.2	121.2	1942.2	157.8	1943.6	58.7	2269.5
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	22329.1	45116	1149.5	4517.6	442.6	3380.2	1081.3	2959	2835.1	2914.2	2125.4	4490.2	2007.1	3370.6	2293.5	3082.9	4115.5	2280.8	925	3340.1	3065.1	4563.2	925.9	4410.1	1363	5807.1
BORRA DE ALGODON (LINTERS)	0	12.5	0	4.9	0	0	0	0	0	0	0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0
CAFE SOLUBLE Y MOLIDO	0	11151.5	0	626.8	0	1059.4	0	850	0	342.4	0	969.2	0	1211.7	0	1218.4	0	1034.5	0	1177	0	906	0	1155	0	601.1
CALZADO	1962.9	14712.1	181.2	911	193.2	845.8	52.6	1013.6	21.4	710.3	112.9	848.2	168.8	734.1	289	1161.6	232.8	1697	197.2	1557.7	190.1	1778.2	114.5	1561.1	209.2	1893.3
CAMARON Y LANGOSTA	19912	76.2	1306.1	0	308.2	0	0	0	619.9	0	2052.1	0	2687.5	0	2907.2	0	2373.2	0	654.2	0	1804.5	76.2	1968.2	0	3231	0
CERAS	1517.9	2379.1	88.6	177.2	153	217.7	174.6	252.5	61.3	120.6	169.7	212.8	177.9	150.9	99.9	267.1	89.1	135.8	101.2	203.6	192.7	280	72.1	205.8	137.8	155.1
CLAVOS Y TORNILLOS	58.7	3373.7	5.6	245.7	0.6	177.1	16.6	230.3	6.3	271.9	0.6	317.7	0	304.7	0.2	244.9	0.3	509.5	0.9	178.2	6.4	317.7	5.1	349.1	16.2	226.9
DETERGENTES Y JABONES	8926.4	53647.9	981.4	4842	1160.8	4433.8	425.7	4379.2	565.2	3136.6	740.6	3959.8	791.5	5198.9	556	4444.7	766.1	5874.8	682.3	3719.6	671.7	4958.9	866.6	4661.2	718.6	4038.3
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	5.1	238.3	0	6.2	0.1	20.5	0.3	40.3	0.4	10.5	0.7	16.6	1	17.9	0.6	22.4	0.6	32.7	0.4	12.3	0	28.2	0.7	18.8	0.2	11.8
GLICERINA CRUDA	30.2	0	0	0	0	0	0	0	1.7	0	9.2	0	12.3	0	3.5	0	3.5	0	0	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	160720.5	5069.4	12317.4	376.6	18763.1	316.5	9816.2	427.2	14545.7	343	10695.7	502.5	9968.1	459.9	7074.8	437.8	15476.2	381.1	20335.3	645.5	11516.2	411.9	15145.6	318.5	15066.3	448.9
HARINAS DE CEREALES	390.7	13011.8	44.4	711.6	39.1	795.4	74.9	922.6	33.3	854.9	39.6	1505.6	6.1	1306.4	35	1058.8	32.4	1114.3	23.1	891.2	42.9	1187.6	0	1047.3	20.2	1615.9
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	175.9	20325.2	0.4	1756	0.4	1276.8	28.3	1863.3	0.5	2117.9	1.5	1101	6.8	1846	58.2	1628	0.7	1517.7	0.1	1471.6	19.3	2224.4	7.6	1457.1	52.3	2065.3
HILOS E HILAZAS	1907.4	13388.5	83.2	899.4	89.5	978	71.8	1296.2	104.8	1400.3	75.6	1083.8	49.8	1620.2	131.4	1154.9	164.2	1343.6	233	1202.4	424.5	929.8	218.6	623.7	261.1	856
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	10986.5	22084.4	1332.9	1203.6	11.2	1014	781.9	1408	0	1829.2	1250.9	2041.9	2080	2445.4	2019.5	1818.2	1073.9	3697.7	89.9	1606.9	672.9	1993.5	1499.1	1495	174.1	1531
INSTRUMENTAL MEDICO Y OTROS	449.4	9622.4	4.8	731.2	99.8	732.7	20.5	820.1	14.8	560.7	18.2	839	56.2	642.9	86.4	665.6	1.6	888.7	2.6	640.8	28.1	697.4	107.9	676.8	8.4	1726.6
JOYERIA DE FANTASIA	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	1509.9	5976.9	1.9	208.9	9	145.9	0.9	450.6	1	689.3	9.1	220	21	437.1	165.4	484.6	478.2	512.4	683.4	1287.3	48.1	906.3	1.7	281.2	90.3	353.1
LAMINA Y ALAMBRE	7.6	51309.2	0.1	3337.9	0	2419.2	2.9	4154.4	0	4209.3	1.2	3311.4	0	6288.6	0	4035.2	0	4993	0	3661.7	1.3	5545.9	1.2	3760.5	0.8	5592
LECHE Y OTROS PRODUCTOS LACTEOS	40.4	27800.7	3.1	2206.8	3.9	2782.7	3.2	1924.5	2.4	1819.7	4.1	2454.9	4	1997	2.4	2476.3	4.7	2918.8	4.8	2193.3	2.4	2223.3	0	1750	5.5	3053.5
MANUFACTURAS DE CAUCHO	594.3	6033	75.1	554.3	28.5	421.3	56.2	606.2	72.8	532.5	48	565	65.1	492.4	32.8	568.9	43.2	528.4	0	363.7	65.2	622	25.4	431.1	82	347.2
MANUFACTURAS DE CERAMICA	274	19908.4	18.4	1814.1	41.3	1688.5	28.2	1668.5	0.3	1104.3	82.7	1687.3	9.4	1536.6	9.6	1754.5	29.5	1770.5	0.7	1676.2	9.4	1663.5	28.1	1562.5	16.4	1981.9
MANUFACTURAS DE CUERO	308.5	1012.7	41.6	48	0	68.3	0.1	82.2	7.7	66.5	94.5	73.6	0	44	0.2	63.5	0	60.8	0	97.6	0.1	175.2	164.3	162.3	0	70.8
MANUFACTURAS DE MADERA	2697.5	2859.9	244.4	213.5	216.4	319.6	239.2	246.3	178.3	187.3	430.2	248.5	160.5	116	219.7	277	107.5	259.8	211.7	138.6	205.5	271.5	251.5	297.7	232.7	284
MANUFACTURAS DE PAPEL Y CARTON	27266.9	84148	1835.6	7065.5	2334.6	5519.9	1441.5	7525	1848.3	5678.8	3280	8433	1592.5	5751.5	1928.9	6351.4	2231.1	6662.1	2692.7	6789.6	3038.7	9418.3	2684.9	8413.2	2358.1	6539.7
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	262.7	10533.4	14.8	929.6	16.2	718.4	50.9	1035.6	0	648.9	54.3	818.3	25.2	1001.6	8.8	838.9	12.7	1104.4	20.1	817.1	32.6	949.4	0	655.9	27.2	1015.3
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	49.2	1313	0	88.8	0	94.7	5	92.7	0	161.3	8.6	98.6	8.6	89.2	0.7	116.1	9.3	126.5	8.7	112.6	0	152.3	3.9	94.5	4.5	85.5
MANUFACTURAS DE PIELES	276.9	6913.3	0	359.8	12.6	651.4	0	567.7	13.5	381.3	14.5	357.7	0	642.3	15.8	465.8	6	300.3	0	687.3	0	867.4	0	742.8	214.5	889.6
MANUFACTURAS DIVERSAS	8026.7	71197	823.9	5769.4	503.1	5331.7	816.7	4994.4	625.4	5145.6	713.2	5741.2	760.1	5890.9	682.7	5955.7	668.1	5416.8	604.7	5583.1	575.9	7172.6	534.4	5822.3	718.5	8373.2
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	8534.5	135879.1	1291.5	8536.8	776	11848	1228.5	11583.3	767.7	10702.8	276.1	10296.2	577.3	11420	773.8	9129.7	220.8	10053.3	474.2	13461.8	370.4	17159.4	1007.1	12159.8	771.1	9527.8
MATERIALES PLASTICOS Y SUS MANUFACTURAS	17494.2	142963	1328.3	11906.9	1173.3	9244.6	1398.5	12235	1298.1	9730.9	1623.2	13082.4	1315.2	14230.7	1396.3	11423.9	1432.1	13286.8	2051.4	11413.8	1577.8	13773	1364.7	10847.9	1535.2	11787.3
MATERIALES TEXTILES (TEJIDOS O TELAS)	19127.5	27467.4	1686.5	1426	1303.4	1689.1	1799	1472	1347.7	2286.6	1589.5	1945.3	1750	1350.9	2249.8	2172.7	2023.7	3103.7	973	3209.8	1825.7	3121.1	1520.2	2792.1	1059	2898.1
MOTA DE ALGODON	128.4	0.9	9.3	0	40.8	0	54.6	0	4.9	0.7	4.9	0	0	0	0	0	0	0	13.8	0	0	0.2	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	267	7760	17.5	502	20.3	377	11.7	720.4	29.2	390.2	36.3	680.1	24.5	770.3	39.6	337.7	22.7	953	13.5	486.3	8.8	803.6	29.8	643.8	13.1	1095.6
NEUMATICOS Y TUBOS	2	8049.8	2	796.2	0	1110.8	0	778.1	0	608.6	0	830.8	0	634.5	0	765.7	0	367.3	0	520	0	532.9	0	476.9	0	628.1
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	18.2	39.6	8.7	1	0.9	0.5	0.5	5.7	0.8	12.6	0.7	1.4	1.9	0.4	2.1	0.8	0.5	3	1	7.8	0.2	3	0.8	1.5	0.3	1.9
OTRAS MANUFACTURAS DE METALES COMUNES	4996.2	76203.6	218.6	5005.2	379.4	4424.1	445.3	6636.6	126.7	5800	411.7	5734.7	451.5	6834.8	785.9	5925.4	489.8	8393.7	453.4	5368.9	334.7	8841.8	393.1	6413.8	506.2	6824.6
OTROS ACEITES ESENCIALES	736.4	296.5	6	7.1	26.3	17.8	270.1	31.8	6.9	14.3	21.4	18.3	8.3	66	6.9	39.3	26.7	30.1	7.4	0.2	25.7	15.1	6.9	19.3	323.7	37.1
PAPEL Y CARTON	2253.2	13300.9	152.1	1723.4	170.9	1179.3	189.7	813.9	215.5	837.2	174.5	2268.5	139.7	1415.4	51.8	1260.4	188.9	1293.5	257.4	744.5	314.2	800.6	219.9	413.6	178.8	550.6
PESCADO Y MOLUSCOS	0	184.7	0	0	0	54.4	0	37.9	0	76.2	0	0	0	0	0	16.2	0	0	0	0	0	0	0	0	0	0
PIELES Y CUEROS	2621.5	0	136.4	0	204.9	0	216	0	138.2	0	234.1	0	406.4	0	282.3	0	306.9	0	153.5	0	245.9	0	181.5	0	115.3	0
PINTURAS Y BARNICES	540.1	31595.3	57	2075.3	17.4	1997.6	50.2	3092.4	18.1	2197.1	19.9	2835.7	91.6	2476.8	70.6	2264.3	36.7	3602.4	59.7	2853.8	27.8	3641.2	60.4	2424.3	30.6	2134.3
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	0	1196.9	0	40	0	211.2	0	169.6	0	92.6	0	357	0	35.2	0	25.5	0	115	0	28.5	0	22.4	0	73.3	0	26.5
PREPARADOS A BASE DE CEREALES	11208.1	69762.3	631.1	5268.1	599	5035.5	875.1	6994.7	628	4864.1	608.2	6007.5	686.6	6030.8	679.2	4922.8	832	6931.5	1160.5	5686.6	1638.1	6156.5	1625.3	5123.5	1244.9	6740.6
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	9864.6	17493.9	402.5	1085.1	597.2	1278	365.2	1454.5	942.1	1083.3	720.4	1451	825.9	1635.6	646.3	1412	1161.3	1768.8	999.9	1334.9	1006	1628	1164.4	1357.7	1033.4	2005
PREPARADOS DE LEGUMBRES Y HORTALIZAS	264.6	3115.7	17.6	343.5	8.3	104.7	1.5	305.4	0.4	219	22.9	194.7	28.6	316.1	4	248.6	65.2	360.2	54.1	175.7	5.5	312.7	2.9	215.3	53.8	319.9
