	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	1184249.2	463955.5	84636.3	27856	96672.8	26539.8	96549.5	36787	80906.4	27120.5	102808.1	40596.8	97702.7	41522.7	101893.9	36418	109935.5	45805.5	92279	39408.6	119830.7	45407.6	109009.8	50290.5	92024.7	46202.7
INDUSTRIAS AGROPECUARIAS	21806.2	75732.8	912.2	4435.8	1170.2	5643.8	1986.8	5599	2324.4	4404.7	2318	6529.9	938.3	6318.7	2640.2	7563.9	3670.3	7290.5	1264.3	7898.8	1535.3	7856.4	1564.3	7461.9	1481.8	4729.4
AJO	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DE GANADERIA	138.3	11.1	0	0	0	0	0	1.5	27.5	0	28.6	0	0	2	36	0	10.6	0	0	6.6	0	0	18.4	0	17.3	1
ANIMALES VIVOS DIVERSOS	17.2	0	1.6	0	0.8	0	2.5	0	0.7	0	0.5	0	1	0	0.7	0	2.2	0	2.3	0	1.7	0	2	0	1	0
ARROZ	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANANO	44.8	0	0	0	44.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	388.1	556.8	5.3	0	8.7	16.9	4.5	3	0	0.8	41.3	1.1	0	350	160	179.4	61.9	5.7	0	0	7.1	0	0	0	99.3	0
CAFE	0	1309.8	0	3.9	0	210.8	0	99.2	0	375.3	0	341.3	0	98.6	0	0	0	180.8	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	8353	69407.1	507.6	4058.3	930.3	5121.4	818.3	4750.5	587.3	3555.5	574.6	6021.6	558.5	5760.3	514.7	7134	657.5	6820.6	272.9	7107.9	821.1	7420.2	1077.9	7192.6	1032.2	4464.2
CEBOLLA	1034.5	22.4	37.7	0	0	0	0	22.4	3.4	0	6.7	0	103.4	0	212.5	0	144.5	0	142.5	0	148.4	0	119.5	0	115.9	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	54.6	216.8	0	0	0	0	0	0	0	152.4	0	26.2	0	0	12.7	0	41.1	7.8	0	30.4	0	0	0	0	0.7	0
ESPECIAS	106.5	54.9	4.4	0	9.2	0	8.6	0	0.2	1.8	4.9	0	12.2	0	21.1	0	1.9	0	18.3	24.5	16.6	0	4.3	17.6	4.8	11
FLORES Y FOLLAJES	32.6	0	0	0	0.2	0	6.4	0	0	0	0	0	4.7	0	7.6	0	0	0	0	0	6.8	0	0	0	6.9	0
FRIJOL	6	0.6	0	0.6	0	0	0	0	0	0	0	0	0.1	0	0.3	0	0	0	0	0	0	0	5.6	0	0	0
