,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,"1,411,574.30","509,492.70","132,763.00","37,574.40","106,958.20","40,994.80","111,152.90","37,966.30","136,320.90","47,243.50","120,671.30","51,620.70","113,357.40","35,697.90","119,470.00","42,252.60","112,129.80","56,576.40","120,743.20","43,015.20","128,175.00","42,384.70","116,150.90","38,257.80","93,681.70","35,908.40"
INDUSTRIAS AGROPECUARIAS,"44,703.00","74,560.90","1,781.50","6,045.30","1,965.10","6,402.00","4,827.80","6,047.80","3,912.40","6,798.80","2,013.80","7,102.50","9,842.30","6,275.50","1,312.30","7,522.10","4,127.40","7,283.10","10,049.00","6,018.10","1,783.80","5,683.80","1,621.20","4,627.20","1,466.40","4,754.60"
ALGODON,0.10,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
ANIMALES VIVOS DE GANADERIA,193.60,2.5,58.4,0,0,1,21.3,0,37,0,0.00,0,9.9,0,32.7,0,0,0,0,0,6.8,0,0,1.5,27.6,0
ANIMALES VIVOS DIVERSOS,36.60,27.40,2,0,2.9,0,1.1,0,3,0,4,6.9,1.4,0,3.5,6.9,2.2,6.8,3.7,6.9,2.8,0,3.8,0,6.2,0
ARROZ,764,0.00,0,0,0.1,0,0.1,0,0,0,0.3,0,0.1,0,0,0,159.7,0,133.5,0,338.5,0,1,0,130.8,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",341.10,125.00,2,0,8.5,0,0,6.3,6.6,0,3.4,0,10.2,117.9,109.3,0,164.5,0,0,0,0,0.7,0,0,36.6,0
CAFE,0.00,"1,867.70",0,0.00,0,0,0,54.6,0,57.8,0,226.9,0,334.50,0,681.20,0,18.50,0,281.30,0,0.00,0,213.00,0,0
CARDAMOMO,0.00,5.20,0,0.00,0,0.00,0,5.20,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
CAUCHO NATURAL (HULE),"12,283.10","68,412.70","1,345.70","5,918.30","1,584.60","6,189.10","1,196.20","5,415.10","1,308.40","5,874.20",869.5,"6,643.10",662.2,"5,548.20",627.5,"6,662.80","1,052.20","6,871.40",898.6,"5,455.20",800.4,"5,441.40","1,136.10","3,906.60",801.80,"4,487.40"
CEBOLLA,"1,053.10",0.00,34.3,0.00,8.5,0.00,0,0.00,0,0.00,20.4,0.00,133.8,0.00,156.8,0.00,114.8,0.00,92.5,0.00,164.7,0.00,147.7,0.00,179.60,0.00
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",173.30,303.10,0.2,0.10,0.9,21.30,0.2,0.00,64.5,212.80,104.8,30.40,0.2,0.00,0.6,9.00,0.1,0.00,1,0.00,0.3,29.50,0.5,0.00,0.1,0.00
