,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
ABONOS Y FERTILIZANTES,"1,833.70","3,314.10",120.00,151.90,200.60,445.00,114.50,86.90,115.30,142.20,280.20,251.80,467.90,486.50,87.50,175.10,148.00,101.10,297.80,378.60,1.90,583.80,0.00,349.20,0.00,162.00
ALIMENTOS PREPARADOS PARA ANIMALES,11.50,"21,683.90",0.00,"1,498.20",0.00,"1,456.80",0.00,"1,924.10",0.00,"1,367.30",0.00,"2,405.00",0.00,926.40,11.50,"1,727.00",0.00,"1,588.20",0.00,"2,040.10",0.00,"1,633.30",0.00,"2,223.60",0.00,"2,894.00"
APARATOS ELECTROMECANICOS DE USO DOMESTICO,"1,506.60","51,245.70",594.70,"2,810.00",648.00,"4,573.30",12.30,"4,452.80",56.00,"5,748.90",44.40,"4,500.30",7.70,"3,457.90",59.60,"2,694.80",4.30,"3,733.70",19.00,"4,403.30",0.20,"4,980.20",10.10,"5,782.30",50.40,"4,108.10"
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,1.90,"11,700.60",0.10,557.60,0.00,473.80,0.20,"2,052.30",0.10,"1,003.20",0.20,603.60,0.30,183.70,0.20,903.10,0.40,725.30,0.00,"1,462.70",0.00,599.00,0.10,"1,690.60",0.30,"1,445.80"
APARATOS TRANSMISORES Y RECEPTORES,567.80,"23,501.20",2.80,132.80,0.20,160.80,3.10,"3,854.20",177.50,"3,146.50",0.60,559.50,53.40,791.30,0.10,"1,706.40",1.80,"2,183.50",323.20,"2,509.60",0.50,"2,166.90",0.20,"4,271.60",4.50,"2,018.20"
ARMAS Y MUNICIONES,0.00,943.00,0.00,7.20,0.00,301.00,0.00,0.30,0.00,211.40,0.00,0.00,0.00,27.80,0.00,34.30,0.00,0.00,0.00,0.00,0.00,135.60,0.00,225.30,0.00,0.00
ARTICULOS DE VESTUARIO,"20,884.20","14,222.90",556.90,827.50,789.30,"1,129.40","1,523.00","1,052.70","1,064.70","1,081.80","2,675.70","1,360.80","1,765.50","1,023.20","1,965.50","1,044.20","2,499.00","1,281.80","1,938.00","1,566.40","1,580.00",903.60,"2,274.70","1,910.00","2,252.00","1,041.70"
AZUCAR,"5,585.60",0.00,127.30,0,136.90,0.00,304.00,0,477.10,0.00,534.40,0.00,511.40,0.00,595.70,0.00,889.80,0,692.60,0.00,689.70,0.00,426.00,0.00,200.60,0.00
AZUCARES Y ARTICULOS DE CONFITERIA,"13,995.80","25,800.20","1,109.20","2,288.30","1,245.60","1,489.80",851.70,"1,680.00","1,180.80","2,160.40",942.20,"2,079.80",725.60,"1,593.40","1,086.20","1,795.10","1,337.50","2,505.90","1,407.50","3,052.30","1,123.90","2,257.00","1,695.30","2,105.60","1,290.20","2,792.60"
BATERIAS ELECTRICAS,"1,597.60","20,933.30",162.50,"1,855.90",74.40,"1,160.60",108.40,"1,936.50",91.50,"1,442.80",125.80,"1,339.20",150.60,"1,438.10",154.50,"2,175.80",176.40,"1,620.80",118.10,"1,521.40",107.00,"2,273.50",148.80,"2,426.10",179.70,"1,742.70"
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,"17,838.50","44,961.60","1,214.20","3,992.50",969.60,"4,204.60","1,484.50","2,972.10","1,834.10","4,917.60","1,262.10","3,396.60","2,552.20","1,613.80",695.00,"3,565.20","3,139.40","3,995.50","2,051.90","4,912.80",377.50,"2,341.20","1,673.60","4,580.00",584.30,"4,469.80"
CAFE SOLUBLE Y MOLIDO,0.00,"10,082.40",0.00,933.90,0.00,"1,076.50",0.00,839.20,0.00,787.10,0.00,954.80,0.00,585.00,0.00,373.20,0.00,"1,762.60",0.00,369.60,0.00,871.20,0.00,924.10,0.00,605.00
CALZADO,"2,858.40","14,715.70",105.10,396.30,0.00,586.5,180.60,"1,121.40",319.90,"1,001.00",422.80,946.10,338.30,"1,236.60",329.10,"1,318.60",353.00,"1,734.70",527.60,"1,107.30",37.40,"1,284.60",124.70,"2,552.80",119.80,"1,430.00"
CAMARON Y LANGOSTA,"17,434.90",0.00,180.00,0.00,143.50,0.00,0.00,0.00,0.00,0.00,"1,144.90",0.00,"2,880.10",0.00,"1,805.40",0.00,"2,504.50",0.00,"3,427.30",0.00,"1,154.60",0.00,"1,852.50",0.00,"2,342.10",0.00
