,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,"585,444.40","156,431.00","42,953.80","10,761.00","38,511.50","8,381.20","56,638.30","13,837.80","45,419.10","8,197.10","50,107.80","10,727.20","42,676.40","11,279.00","50,650.90","14,505.70","49,884.80","14,512.40","49,002.50","14,710.50","61,828.90","15,996.00","50,273.30","16,967.20","47,497.10","16,555.70"
INDUSTRIAS AGROPECUARIAS,"9,024.10","33,310.60",411.30,"2,557.30","1,272.20","1,529.90",942.70,"2,487.60",524.80,"1,744.50",610.50,"2,051.80",482.20,"2,883.90",760.80,"3,579.00",679.40,"2,786.20",517.20,"2,709.50",622.00,"3,693.00",968.00,"3,390.50","1,233.10","3,897.40"
ALGODON,"1,107.90",0,0,0,531.00,0,86.9,0,0,0,106.8,0,43,0,69.9,0,118.1,0,45.4,0,47,0,23.7,0,36.1,0
ANIMALES VIVOS DE GANADERIA,63.40,19,0,0,21.3,0,14.7,11,0,4,0,0,0,0,0,1,0,0,23.6,0,0,0,3.9,0,0,3
AVES DE CORRAL VIVAS,0.40,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",394.5,590.10,2.2,0,0.1,0,1.8,0,3.1,2.4,0.7,113.3,2.1,384.2,35.4,90.2,7.3,0,19.5,0,10.5,0,139.1,0,172.6,0
CAFE,0.00,81.60,0,0,0,0,0,0,0,0,0,0,0,81.6,0,0,0,0,0,0,0,0,0,0,0,0
CARDAMOMO,0.00,0.40,0,0.00,0,0,0,0.2,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.20,0,0.00,0,0
CAUCHO NATURAL (HULE),"2,062.00","28,340.70",135.8,"2,044.20",194.7,"1,378.40",132.5,"2,335.30",148.9,"1,597.50",55.7,"1,904.50",87.4,"2,331.60",109.3,"2,951.80",226.4,"2,586.50",191.4,"2,445.20",261.7,"3,054.60",261.1,"2,578.80",257.4,"3,132.30"
CEBOLLA,759.3,0.00,9.5,0,0.6,0.00,0,0,0,0,31.4,0,72.8,0,111.8,0,104.1,0.00,63.6,0.00,60.5,0.00,117.7,0.00,187.3,0.00
