,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
INDUSTRIAS MANUFACTURERAS,"1,007,727.90","343,840.80","68,690.40","15,884.60","72,790.10","24,431.50","78,306.80","15,700.90","75,842.80","13,263.40","80,182.60","18,113.90","82,343.00","20,923.20","97,127.70","29,884.70","83,124.50","20,791.30","88,752.80","35,623.00","97,284.20","46,021.30","93,245.10","43,129.30","90,037.80","60,073.50"
ABONOS Y FERTILIZANTES,"13,385.80",388.10,"1,890.00",0.00,"3,536.20",0.00,268.80,113.10,361.00,75.80,"1,079.80",0.00,"1,178.90",0.00,"3,412.30",0.00,200.50,2.50,453.70,196.70,266.50,0.00,369.50,0.00,368.60,0.00
ACEITE DE SEMILLA DE ALGODON,0.40,39.20,0.00,3.70,0.20,6.30,0.00,4.00,0.00,3.10,0.00,5.10,0.10,1.80,0.00,8.20,0.00,3.30,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00
ALIMENTOS PREPARADOS PARA ANIMALES,"6,309.70",51.90,551.50,16,436.6,16,567.40,6,334.80,0,470.70,0.00,443.10,0,575.10,0,418.80,0,645.70,0.00,361.5,3.5,708.50,4,795.90,6.4
APARATOS ELECTROMECANICOS DE USO DOMESTICO,"32,684.30",244.40,"1,544.10",6.20,"2,143.10",24.90,"2,047.90",39.80,"2,249.70",24.60,"1,138.50",2.40,"3,504.40",10.80,"2,662.30",8.30,"2,810.00",17.40,"2,815.00",55.60,"4,927.70",42.90,"3,559.40",9.40,"3,282.20",1.90
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,"8,859.70",19.20,559.10,0.2,540.00,1.40,304.00,0.3,222.60,0.00,655.90,4.20,926.60,0.50,731.20,0.90,580.60,8.2,"1,898.80",0.20,"1,337.90",2.10,538.40,0.80,564.50,0.30
APARATOS TRANSMISORES Y RECEPTORES,"10,559.50",29.50,306.50,5.8,247.70,0.6,68.50,3.4,823.80,2.5,639.50,1.2,438.00,0.6,"1,025.40",3.8,"1,758.90",0.4,"2,286.30",0.2,"1,802.30",2.5,716.30,8.3,446.40,0.4
ARMAS Y MUNICIONES,789.70,0.00,11.30,0,207.80,0,0.00,0,2.00,0,0.00,0,0.00,0.00,22.70,0.00,255.40,0.00,159.00,0.00,46.20,0.00,0.00,0,85.30,0.00
ARTICULOS DE VESTUARIO,"4,706.90","14,294.00",201.00,436.6,282.80,920.9,336.00,510.5,416.80,577.30,387.90,"1,076.80",144.90,872.4,421.10,"1,294.30",218.70,"1,619.90",269.00,"1,506.50",617.70,"3,159.80",785.00,"1,388.20",626.00,930.80
AVES DE CORRAL BENEFICIADAS,0.00,123.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00
AZUCAR,11.70,"100,610.70",2.10,0.00,1.60,0,3.80,0,0.20,0,1.80,0.00,2.10,9.6,0.00,"4,762.70",0.00,"1,163.10",0.00,"17,029.80",0.00,"15,860.50",0.00,"23,883.30",0.00,"37,901.60"
AZUCARES Y ARTICULOS DE CONFITERIA,"17,485.20","6,231.10","1,501.50",264.30,"1,368.90",143.90,"1,460.30",25.00,"1,121.70",257.7,"1,622.00",781.1,"1,263.40",705.40,"1,454.10",550.00,"1,039.70",562.80,"1,317.40",930.60,"1,770.30",762.50,"1,469.80",591.50,"2,096.30",656.30
BATERIAS ELECTRICAS,"12,362.90","6,977.60","1,161.00",620.00,"1,151.20","1,060.70","1,172.00",426.5,"1,301.20",910.7,893.70,850.2,"1,092.30",288.8,923.70,460.90,821.10,798.00,808.80,432.70,830.60,508.00,"1,153.70",267.00,"1,053.50",354.00
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,"9,050.50","13,690.20",235.10,251.20,580.20,335.10,896.00,727.30,456.30,464.60,702.70,654.10,870.10,"2,057.80",725.20,"1,682.30",798.30,"1,582.70",870.50,"1,069.50","1,162.30","2,183.00",870.90,"1,206.60",882.90,"1,476.00"
CAFE SOLUBLE Y MOLIDO,"2,676.60",0.00,155.5,0.00,332.9,0.00,171.5,0.00,290,0.00,464.7,0.00,169.9,0.00,65.2,0.00,133.8,0.00,337,0.00,195.2,0.00,131.7,0.00,229.1,0.00
CALZADO,"2,133.20","1,465.70",185.10,54.60,121.50,0.70,264.00,148.20,230.30,22.40,137.30,236.00,137.90,161.20,180.50,182.40,173.00,119.20,126.80,147.80,251.90,196.30,177.70,181.40,147.30,15.60
CAMARON Y LANGOSTA,0.00,"16,795.90",0.00,"1,851.30",0.00,"2,162.60",0.00,"1,777.90",0.00,300.00,0.00,666.40,0.00,"1,414.00",0.00,"1,885.00",0.00,"1,298.00",0.00,805.90,0.00,738.80,0.00,974.40,0.00,"2,921.50"
CERAS,956.80,101.00,32.6,68.6,38,0.00,56.7,0.00,105.2,0,42,4.30,59.5,0.00,36.1,0,117.3,0.00,80.6,0.00,110.8,0.00,128,0.00,149.9,28.10
CLAVOS Y TORNILLOS,"1,567.50",25.90,54.7,0.40,116,1.90,67.1,1.00,90.5,0.8,163,3.00,159.1,13.20,142.9,1.00,169.7,0.90,147.9,1.60,114.2,0.50,224.5,1.10,118,0.50
DETERGENTES Y JABONES,"36,478.50","1,124.70","2,024.70",0.00,"2,597.80",41.10,"3,269.00",62.90,"3,736.90",81.20,"3,082.20",117.20,"3,739.00",122.30,"3,606.60",65.20,"3,616.70",162.20,"3,118.60",83.00,"2,625.00",103.70,"2,142.60",99.40,"2,919.40",186.60
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",213.70,0.50,16.20,0.00,6.80,0.00,27.30,0.00,8.60,0.00,8.10,0.00,14.30,0.10,30.60,0.00,31.60,0.00,14.90,0.00,27.00,0.10,14.30,0.20,14.00,0.10
GRASAS Y ACEITES COMESTIBLES,"2,778.90","76,788.50",198.50,"3,570.50",99.50,"11,775.00",281.70,"4,297.90",270.50,"4,324.30",160.60,"5,950.10",281.00,"6,970.20",406.00,"9,738.10",138.80,"4,357.00",241.60,"4,339.80",326.90,"11,091.90",196.80,"4,460.80",176.80,"5,913.00"
HARINAS DE CEREALES,"10,906.50",575.50,633.70,0.00,757.40,34.70,934.10,0.00,"1,004.00",0.00,805.20,0.00,"1,035.20",36.00,"1,059.80",0.00,857.20,21.20,725.90,131.90,916.40,162.40,960.70,0.00,"1,217.00",189.40
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,"10,512.60",62.80,541,0.50,669.20,0.00,"1,296.20",3.00,776.9,0.00,"1,029.80",0.90,408.1,14.70,"1,109.20",1.60,666.7,0.10,821.9,0.20,"1,127.70",0.50,"1,049.10",36.60,"1,016.80",4.60
HILOS E HILAZAS,"5,579.30","4,649.20",431.60,354.3,480.90,588.20,468.50,245.10,423.30,256.2,181.10,309.00,600.00,540.80,365.00,314.40,575.30,282.60,417.10,278.80,643.20,556.20,537.50,603,455.60,320.60
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","16,718.40",625.10,920.10,0.00,"1,364.00",243.10,"1,385.90",0.00,"1,777.80",9.60,"1,373.30",121.60,"2,735.90",0.00,"1,407.70",0.00,"1,923.50",0.00,841.60,190.00,621.30,0.00,"1,252.90",60.60,"1,114.30",0.10
INSTRUMENTAL MEDICO Y OTROS,"5,795.70",272.10,362.60,20.00,444.20,24.60,531.00,85.30,246.50,8.70,560.70,1.60,425.30,12.10,492.30,35.30,354.90,4.80,979.80,37.10,528.20,7.20,483.40,35.30,387.00,0.00
JOYERIA DE FANTASIA,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES","1,747.30","2,124.00",130.50,0.00,66.90,2.60,140.00,0.10,137.80,36.70,35.80,0.20,174.60,1.60,68.10,7.90,130.50,"1,160.00",101.20,469.90,333.40,441.10,339.00,3.90,89.70,0.00
LAMINA Y ALAMBRE,"13,581.50","1,274.20",634.90,2.50,509.50,0.00,"1,089.70",0.60,891.10,0.00,"1,616.80",0.00,"1,125.00",0.00,"1,495.70",17.50,"1,317.50",0.00,"1,499.80",46.00,813.00,368.80,"1,205.30",291.90,"1,383.50",546.70
LECHE Y OTROS PRODUCTOS LACTEOS,"25,422.60",662.90,"1,515.50",18.5,"1,590.10",57.6,"2,202.30",69,"2,324.30",111.3,"2,484.70",68.3,"1,904.30",58.8,"1,723.40",68.7,"1,803.10",45.7,"2,595.30",53.6,"2,051.30",48,"2,327.40",41.6,"2,901.10",22
MADERA EN TROZA,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANUFACTURAS DE CAUCHO,"4,407.40",134.80,293.70,11.50,339.20,0.00,299.60,12.80,347.30,0.00,446.40,12.40,299.70,4.00,381.40,10.80,299.90,0.90,351.30,0.00,361.00,9.40,474.30,38.5,513.60,34.50
MANUFACTURAS DE CERAMICA,"8,359.90",548.40,895.80,0.1,808.80,23,594.40,15.9,618.30,8.2,431.80,80,650.30,172.1,"1,017.90",0.4,626.10,38.5,744.70,7.1,539.60,97.4,508.50,22.40,923.60,83.2
MANUFACTURAS DE CUERO,327.80,57.80,4.40,13.70,5.60,0.00,20.80,0.00,32.80,0.00,7.50,0.00,15.30,0.00,8.80,1.80,15.60,3.70,62.70,2.50,87.50,0.00,22.90,5.30,43.90,30.80
MANUFACTURAS DE MADERA,"4,641.00","2,465.30",409.80,58.60,260.40,158.00,520.70,209.10,320.70,100.60,276.60,234.30,418.50,230.20,405.30,249.10,405.00,209.30,373.00,297.00,507.60,172.10,406.80,294.70,336.70,252.40
MANUFACTURAS DE PAPEL Y CARTON,"65,408.60","6,904.00","5,447.40",212.90,"4,405.40",263.70,"5,232.70",390.20,"4,138.20",456.70,"4,411.60",510.80,"4,939.60",376.30,"5,349.30",693.60,"5,614.00",518.60,"5,409.10","1,079.10","5,789.10",864.20,"7,889.70",876.50,"6,782.30",661.30
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC","6,307.60",161.20,409.40,0.10,576.30,0.00,510.40,37.60,609.60,42.50,543.90,0.00,514.10,13.30,588.00,0.00,632.50,10.10,557.00,1.20,471.90,47.80,426.70,8.60,467.80,0.00
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,"1,436.80",3.60,131.30,0,106.20,0.00,93.70,0.10,100.40,0,120.60,0.00,166.50,0.20,119.80,0.20,92.00,0.20,144.20,0.00,152.50,0,113.10,2.90,96.50,0
MANUFACTURAS DE PIELES,"6,261.50",5.90,246.70,0.00,554.90,0.00,553.70,5.90,684.70,0.00,271.80,0.00,766.50,0.00,363.20,0.00,551.10,0.00,238.80,0.00,821.70,0.00,741.20,0.00,467.20,0.00
MANUFACTURAS DIVERSAS,"24,925.50","5,108.00","2,339.30",352.10,"1,336.40",924.50,"1,435.10",113.90,"1,997.80",245.40,"1,410.40",541.30,"1,195.00",459.50,"2,814.90",637.30,"1,801.50",641.90,"2,185.00",177.10,"2,204.80",318.40,"3,276.20",322.50,"2,929.20",374.10
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,"79,882.80","3,360.40","4,701.40",754.70,"4,101.90",628.20,"6,287.60",356.70,"5,373.60",179.90,"6,710.70",98.80,"7,321.30",102.80,"5,949.20",50.30,"6,494.00",197.40,"8,516.50",380.90,"9,054.20",242.60,"8,582.40",157.30,"6,790.10",210.80
MATERIALES PLASTICOS Y SUS MANUFACTURAS,"102,215.40","7,899.60","7,308.80",604.50,"7,408.10",459.30,"8,587.80",958.70,"6,674.10",351.20,"7,433.50",465.60,"7,470.00",514.80,"10,363.30",747.50,"8,963.60",842.20,"9,100.50",623.80,"8,657.60",797.10,"9,407.00",716.80,"10,841.20",818.10
MATERIALES TEXTILES (TEJIDOS O TELAS),"10,165.80","24,375.40",730.80,"2,742.50",465.60,"1,755.80",368.70,"1,753.90",309.60,"1,477.00",541.30,"1,650.00","1,084.20","1,657.90",933.10,"2,304.40","1,090.00","1,666.70","1,832.90","2,087.20","1,155.30","2,939.40",804.00,"2,329.00",850.20,"2,011.80"
MOTA DE ALGODON,0.00,26.40,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,6.70,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,7.50
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.","4,855.60",131.40,"1,051.30",21.50,280.70,4.30,258.70,32.50,346.40,6.10,395.40,6.00,236.90,3.60,293.10,18.90,179.30,10.20,450.20,1.90,365.20,13.00,452.80,2.50,545.80,10.90
NEUMATICOS Y TUBOS,"4,430.20",0.70,153.80,0,527.60,0.5,227.40,0,281.40,0,364.40,0,303.90,0,391.20,0.2,227.50,0,428.60,0,630.50,0.1,412.30,0,481.60,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",19.60,3.60,0.00,0.00,0.60,0.2,1.30,0.20,11.70,0.20,0.20,0.20,1.40,0.3,2.00,0.6,0.90,0.30,0.30,0.10,0.40,1.10,0.70,0.1,0.10,0.20
OTRAS MANUFACTURAS DE METALES COMUNES,"45,438.90","3,298.20","3,620.90",153.00,"3,337.90",272.30,"3,458.50",166.80,"3,288.80",172.30,"4,053.20",170.70,"3,507.40",213.50,"3,752.50",488.30,"3,866.60",270.10,"4,011.30",203.70,"5,046.40",551.80,"3,999.80",386.40,"3,495.60",249.20
OTROS ACEITES ESENCIALES,"3,610.90",290.90,180.8,10.40,248.10,9.20,235.40,2.90,214.80,111.90,379.90,7.90,255.30,3.9,636.60,0.00,137.30,4.70,196.20,9.70,618.10,119.50,140.40,7.40,368.00,3.40
PAPEL Y CARTON,"4,199.10",540.30,283.60,65.30,183.20,54.00,401.10,37.00,372.40,29.70,237.10,37.00,292.20,50.8,359.20,46.4,345.40,65.6,383.30,32.7,373.70,38.5,422.60,33.4,545.30,49.90
PESCADO Y MOLUSCOS,433.80,854.80,40.40,117.10,23.10,167.70,29.30,31.20,0.00,0.00,25.30,0.00,24.00,35.00,0.00,45.00,244.30,0.00,24.30,100.90,8.90,36.90,0.00,98.30,14.20,222.70
PIELES Y CUEROS,0.00,"3,580.90",0.00,388.00,0.00,288.60,0.00,796.50,0.00,227.70,0.00,235.40,0.00,215.80,0.00,272.60,0.00,265.80,0.00,187.20,0.00,240.40,0.00,296.30,0.00,166.60
PINTURAS Y BARNICES,"24,322.80",842.70,"1,901.50",99.80,"1,578.90",113.10,"2,124.90",93.70,"1,577.10",71.30,"1,856.40",71.30,"1,689.00",87.30,"2,283.90",78.10,"1,636.20",30.80,"1,946.00",74.90,"2,877.90",22.50,"2,638.10",83.40,"2,212.90",16.40
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA","2,629.80",0.00,212.90,0.00,211.60,0.00,73.00,0.00,246.20,0.00,116.30,0.00,373.00,0.00,23.80,0.00,128.40,0.00,434.60,0.00,304.20,0.00,207.30,0.00,298.50,0.00
