,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
ASFALTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBRE Y SUS MANUFACTURAS,178.6,0.5,0,0,0,0,0,0,0,0,0,0.4,153.6,0,25,0.1,0,0,0,0,0,0,0,0,0,0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),1545.6,0,36,0,29.7,0,74.5,0,94,0,97.8,0,127.8,0,214.9,0,176.7,0,122.6,0,133.5,0,212.5,0,225.6,0
DIESEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTA&O,0,4,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,2.7,0,0,0,0,0,0
GASES INDUSTRIALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GASOLINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS PROPANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,0,80.6,0,18.6,0,0,0,15.2,0,0,0,12.8,0,0,0,0,0,0.2,0,6.4,0,3.7,0,0,0,23.7
KEROSENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGNESIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARMOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIQUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,0,627.4,0,0,0,0,0,62.4,0,218,0,62.3,0,133.9,0,34.6,0,81.6,0,0,0,26.5,0,0,0,8.2
OTROS METALES COMUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROLEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,44.2,0.1,2.1,0,0.5,0,0.3,0,4.5,0.1,0,0,10,0,0,0,0,0,7.6,0,0,0,9.8,0,9.2,0
PLOMO,0,4.5,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,0,0.3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
ZINC,97.2,18.5,0,0,0,0.4,23.9,0,23.4,0,0,0,0,0,21.3,0.2,0,1.6,0,0,28.5,0.4,0,0,0,16
PRODUCTOS NO ESPECIFICADOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,62866.3,118026.3,7899.3,10599.3,3365.8,8294.1,4583,13165.2,3919.2,6533,3932.7,9529.3,21005.5,10566,3766,9377.6,3904.3,9860,3131.3,8358.1,3477.5,13822.4,3017.9,7224,863.8,10697.4
ABONOS Y FERTILIZANTES,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7
ACEITE DE CARDAMOMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE CITRONELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE PALMA ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE SEMILLA DE ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE TE DE LIMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALIMENTOS PREPARADOS PARA ANIMALES,0,36.5,0,0,0,0,0,0,0,0,0,5.8,0,0,0,13.4,0,17.3,0,0,0,0,0,0,0,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,1.1,2211.1,0,404.5,0,222.3,0,194.1,0,96.4,0.1,334.9,0,284.3,1,90.2,0,159,0,78.4,0,41.6,0,206,0,99.5
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,0.1,2180.9,0,216,0,35.6,0,100.6,0,36.9,0,77.4,0,70.5,0.1,80.9,0,155.4,0,173.8,0,465.3,0,550.3,0,218.2
APARATOS TRANSMISORES Y RECEPTORES,0,941.2,0,120.4,0,8.3,0,8.9,0,68.3,0,231.6,0,219.4,0,95,0,32.3,0,59.5,0,28.8,0,13,0,55.6
ARMAS Y MUNICIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTICULOS DE VESTUARIO,200,65.9,0,0.7,0,0.8,0,0.1,39.5,0.6,0.1,32.1,0,1,0.5,0.4,1,9.5,1.1,16.8,61.5,1.2,77,2.7,19.4,0
ARTICULOS TIPICOS DE MATERIALES TEXTILES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVES DE CORRAL BENEFICIADAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
