,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,141570.5,13610.4,9137.3,648.3,27269.4,674.4,6798.9,1922.2,7348.7,284.4,10351.9,116.5,7582.3,1306.5,12365.2,2226.2,27384.8,1556.8,8461.2,850,8106.5,884.3,9771.1,1928.2,6993.1,1212.6
INDUSTRIAS AGROPECUARIAS,92,1696.9,0,90,8.3,63.6,4.3,31.8,3.8,77.1,16.5,110.7,23,0.1,0,327.3,7.6,114,23,88.8,0,397.1,0,214.7,5.6,181.5
ARROZ,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",37.5,2.6,0,0,8,0,0,0,3.7,0.7,16.5,0,0,0.1,0,0,6.2,0,0,0,0,0,0,0.1,3.1,1.7
CAFE,0,1683.6,0,90,0,63.6,0,31.8,0,76.5,0,110.7,0,0,0,327.3,0,114,0,78.1,0,397.1,0,214.7,0,179.8
CAUCHO NATURAL (HULE),5.7,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0
LEGUMBRES Y HORTALIZAS,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,46.1,0,0,0,0,0,0,0,0.1,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,0,0
TABACO EN RAMA O SIN ELABORAR,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,105838.9,11892.3,9030.5,547.3,8227.8,605.6,6762.4,1890.4,7310.1,207.2,10326.7,5.8,7511.5,1306.4,12361.3,1898.8,11217.3,1442.8,8433.7,761.2,8105.9,487.2,9635.4,1708.4,6916.4,1031.1
ABONOS Y FERTILIZANTES,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALIMENTOS PREPARADOS PARA ANIMALES,21,81.4,3,0,0,0,0,0,3.2,0,8.1,0,0,0,0,0,3.8,0,0,0,0,20.3,0,61.1,2.8,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,1494.1,0.4,234.1,0.3,235.3,0,110.7,0,80.4,0,234.1,0,60.3,0,145.5,0.1,44.4,0,59.6,0,34.3,0,141.4,0,113.9,0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,47.2,0.2,1.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,0,1.3,0
APARATOS TRANSMISORES Y RECEPTORES,2453,17.7,907.4,0.2,241.2,0,31.3,0,127.7,0,419.1,0,88.3,0,4.8,0.2,315.4,0,57,0,229,17.3,25,0,6.8,0
ARTICULOS DE VESTUARIO,242,236.2,19.9,0.4,33.4,0,19.9,0,8.1,0,26.2,0,26.6,0,12.9,19.4,7.5,136.7,0.4,79.7,10.7,0,57.3,0,19.2,0
