,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
LAMINA Y ALAMBRE,3483.7,0,264.9,0,283.2,0,329.4,0,164.8,0,400.3,0,57.2,0,548.7,0,233.1,0,320.7,0,99.5,0,426,0,355.9,0
LECHE Y OTROS PRODUCTOS LACTEOS,12.4,0,0,0,5,0,0,0,0.3,0,0,0,3.2,0,2.1,0,0,0,0,0,0,0,1.3,0,0.5,0
MADERA EN TROZA,0,46.3,0,0,0,0,0,0,0,0,0,5.1,0,3.2,0,3.5,0,18.7,0,9.7,0,6,0,0,0,0
MANUFACTURAS DE CAUCHO,1541.1,0,226.8,0,187,0,112,0,56.7,0,144.3,0,89.3,0,94,0,288.3,0,50,0,109.7,0,155.7,0,27.5,0
MANUFACTURAS DE CERAMICA,62.2,0.3,0.5,0.1,0,0,0.7,0,0.9,0,11,0,18.4,0,20.8,0.2,0,0,2.4,0,5.5,0,0,0,2.1,0
MANUFACTURAS DE CUERO,3.1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0
MANUFACTURAS DE MADERA,73.2,118.6,0.1,9,0.7,47.3,0.1,11.5,0.1,8.5,0,0,0.7,0,60.8,11.9,9,2.7,0.8,0,0.8,4.5,0.3,2.5,0,20.6
MANUFACTURAS DE PAPEL Y CARTON,739.1,21.8,18,0.1,43.6,0,15.5,0,35.7,0,12.8,0,61.1,21.5,120.5,0.2,64.7,0,181.2,0,66.4,0,80.8,0,38.8,0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",104.5,9.7,1.2,0,0,0,0,0,0,0,0,0,0,0,0.9,0,1.3,4.1,17.3,4.2,0,1.4,83.8,0,0,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,10.2,1.5,0,0.1,0,0.1,0.1,0,2.3,0,0,0,7.2,0,0,0,0,0,0.6,0,0,0,0,0.1,0,1.1
MANUFACTURAS DE PIELES,7.4,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DIVERSAS,2394.2,0,193.3,0,205.1,0,84.8,0,128.9,0,126.6,0,281.3,0,173.2,0,350.2,0,244,0,149.3,0,177,0,280.7,0
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,19768.3,16.9,713.4,0.1,699,0,4939.3,0,1987.1,0,3929.2,0.1,1065.3,0,652.5,0,946.6,0,875.8,0,1206.2,0,1955.6,5,798.5,11.7
MATERIALES PLASTICOS Y SUS MANUFACTURAS,21485.7,1.5,692.6,0,1090.9,0,1669.1,0,2764.5,0,1672.1,0,2156.8,0,1805.1,0,2844.1,0,1263.9,1,3042.2,0.4,801.8,0,1682.6,0
MATERIALES TEXTILES (TEJIDOS O TELAS),8776.9,3.4,436.7,0.2,618.3,0,314.5,0,655.7,0,719.1,0,1460.7,0,1251,0,829.5,3.3,612,0,138.3,0,1129.6,0,611.6,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",2226.4,0.9,147.4,0.4,249.5,0,183.2,0,191.5,0,113.2,0,94.5,0,261.6,0.5,176.1,0,129.8,0,243.6,0,289.6,0,146.4,0
NEUMATICOS Y TUBOS,2767.1,0,349.3,0,198.8,0,180.4,0,172.7,0,400.6,0,183.1,0,256.8,0,200.8,0,188.9,0,206.1,0,188.2,0,241.6,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.7,0.1,0,0.1,0.1,0,0,0,0.4,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,1934.7,0.2,98.7,0.2,144.9,0,96.5,0,146,0,239.2,0,325.7,0,147.1,0,121.5,0,151.4,0,159.8,0,185.6,0,118.3,0
OTROS ACEITES ESENCIALES,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1.7,0,0
PAPEL Y CARTON,14.8,391.2,0,45.8,4.5,14.9,0,14.7,0.3,7.8,0,75.9,0,126.9,1.2,0,0,0,0.2,0,8.5,15.2,0,74.2,0,15.9
PINTURAS Y BARNICES,1187.2,0,57.7,0,130.2,0,16.9,0,163.6,0,137.1,0,119.4,0,160.4,0,111.3,0,47.5,0,58.1,0,108.5,0,76.6,0
PREPARADOS A BASE DE CEREALES,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.3,0,0,0,0,0,0.3,0,0.1,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",5.9,0,0.4,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,4.9,0,0,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0.9,0,0,0,0.2,0,0,0,0,0,0,0,0,0
PREPARADOS DE FRUTAS,1.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,1.5,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",343.1,0,46.8,0,0.1,0,61.8,0,0,0,48,0,125.6,0,0.1,0,0,0,0,0,60.8,0,0,0,0,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,17649.2,90,180.5,0,72.1,7.5,71.9,30,2875.2,0,2274.5,0,752.6,15,2709.5,7.5,393,15,2303.2,15,3040.1,0,288.1,0,2688.5,0
PRODUCTOS FARMACEUTICOS,184.3,0,17.6,0,0,0,0,0,14.5,0,12.5,0,0,0,32.1,0,0,0,0,0,20.8,0,86.7,0,0,0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",13.3,0,0,0,0,0,1.1,0,0,0,0,0,2.3,0,0,0,5.2,0,0,0,4.6,0,0,0,0,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",231.8,0,9.9,0,0,0,42,0,3.4,0,1.9,0,46.3,0,14.4,0,12.9,0,76.4,0,5.9,0,10.5,0,8.2,0
TABACO ELABORADO,0,130.6,0,69.3,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBERIA Y SUS ACCESORIOS,1756.5,0,139.7,0,141.4,0,0.9,0,258.5,0,143.7,0,257.3,0,181.4,0,32.2,0,95.7,0,293.4,0,207.5,0,4.8,0
VEHICULOS Y MATERIAL DE TRANSPORTE,21898.8,43.6,1728.2,0,1332,0,937.1,0,1399.3,0,939.3,0,1225.5,0,1752,0.1,784.9,0,1366.8,26.1,1433.5,0,7186.5,17.3,1814,0
VIDRIO Y SUS MANUFACTURAS,917.9,0.2,37.4,0,98.2,0,82.3,0,91.1,0,66.6,0,85.3,0,129.5,0.2,28.5,0,101.8,0,108.1,0,67.1,0,22.2,0
INDUSTRIAS EXTRACTIVAS,1484,769.4,0,54.5,5,64.6,55.1,76.8,68.6,85.9,6.6,83.3,102.8,36.7,13.8,11.5,66.9,62.1,58.8,110.7,326.8,16,469.8,111.9,309.8,55.5
ALUMINIO,326.8,315.5,0,37.4,0.6,52.1,55.1,5,57.9,39.5,0.9,39.9,100.8,34.7,8.9,11.3,55,41.7,10,21.9,19,4.8,0.3,22.8,18.3,4.4
COBRE Y SUS MANUFACTURAS,27.5,62.8,0,0,0.1,0,0,32,3.6,30.8,0,0,0.6,0,0,0,2,0,1.2,0,0.7,0,1.6,0,17.9,0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),4.4,300,0,12.5,0,12.5,0,34.4,0,15.6,0,0,0,0,4.4,0,0,0,0,88.8,0,11.2,0,83.1,0,41.9
ESTA&O,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0
GASES INDUSTRIALES,1.3,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,54.6,0.2,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0.2,0,0,47.5,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,1060.6,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,9.9,0,0,0,304.7,0,468,0,273.7,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLOMO,0.8,0,0,0,0.5,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,1.8,29.6,0,4.6,0.8,0,0,5,0,0,0,2,0.5,2,0.5,0,0,10,0,0,0,0,0,6,0,0
ZINC,3.7,61,0,0,3.1,0,0,0,0,0,0,41.4,0.6,0,0,0,0,10.4,0,0,0,0,0,0,0,9.2
