	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	253814.8	25317	21070.3	2332.4	20416.8	1149.5	29082	2792.4	22165.4	3753.6	21143	3064.3	22242.1	2503.3	22596.9	2870.6	14812.1	1428.6	20251.8	763.4	21910.6	962.9	18280.2	598.3	19843.8	3097.6
INDUSTRIAS AGROPECUARIAS	116.2	22109.5	0	1904.6	0.2	910.7	45.2	2635.5	0	3228.6	0	2889.6	0	2277.1	1.2	2505.6	26.1	964.3	43.5	601.9	0	722.6	0	499.6	0	2969.4
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	29.3	1230.4	0	144.1	0	90.9	2	145.1	0	149.8	0	93.5	0	171.4	1.2	158.9	26.1	58.2	0	49.6	0	106.1	0	41.6	0	21.2
CAFE	0	11911	0	514	0	142.9	0	1464.3	0	2706.5	0	2090	0	1677.1	0	1864.8	0	597	0	273.6	0	351.2	0	40.5	0	189.1
CARDAMOMO	0	88.8	0	35	0	0	0	0	0	0	0	12.8	0	0	0	20.4	0	0	0	0.6	0	4	0	7	0	9
CAUCHO NATURAL (HULE)	86.7	0	0	0	0	0	43.2	0	0	0	0	0	0	0	0	0	0	0	43.5	0	0	0	0	0	0	0
FLORES Y FOLLAJES	0	422.5	0	28.1	0	3.2	0	105.2	0	144.9	0	68.5	0	31.4	0	2.1	0	0.6	0	9.5	0	4	0	15.5	0	9.6
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	338.5	0	0	0	0	0	0	0	0	0	0	0	0	0	142.5	0	0	0	196	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	0	1490.8	0	205	0	127.7	0	72.2	0	19.8	0	219.1	0	20.8	0	205.6	0	133.4	0	0	0	136.9	0	192.6	0	157.7
MATERIAS VEGETALES	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	0.2	5.6	0	0	0.2	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0
SEMILLA DE AJONJOLI	0	6438.5	0	978.4	0	546	0	848.8	0	207.6	0	405.7	0	187.4	0	111.1	0	175.1	0	72.7	0	120.4	0	202.4	0	2582.9
TABACO EN RAMA O SIN ELABORAR	0	183.3	0	0	0	0	0	0	0	0	0	0	0	183.3	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	241024.4	3151.6	21069.2	372	20080.8	238.7	25584.1	156.9	22000.9	525.1	20830.5	174.7	21791.7	226.2	21528.3	365	12180.1	464.3	18985.4	161.5	19969.4	240.3	18159.6	98.6	18844.4	128.2
APARATOS ELECTROMECANICOS DE USO DOMESTICO	556.8	0.4	1.3	0	1.8	0	19.4	0.2	38	0	0	0	1.9	0.2	137.4	0	1.5	0	46.1	0	247.4	0	41	0	20.9	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	338.6	0.1	3.1	0	5.8	0	3.6	0	1.1	0	2.4	0	2.1	0.1	265.8	0	0	0	0.2	0	0	0	52	0	2.5	0
APARATOS TRANSMISORES Y RECEPTORES	1246.4	0	152.6	0	65.5	0	82.7	0	116.1	0	83.7	0	39	0	24.9	0	155.5	0	351.8	0	11.5	0	126	0	37.2	0
ARTICULOS DE VESTUARIO	12.8	2477.2	1.1	370.8	2.2	234.1	0.5	155	1.2	489.9	2.3	23.6	0.5	57.9	0	339.1	3.9	298.3	1.1	112.6	0	235.3	0	38.6	0	122.1
AZUCAR	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BATERIAS ELECTRICAS	93.1	0	1.9	0	0.4	0	51.6	0	0	0	15	0	1.1	0	2.7	0	0.4	0	4.5	0	3.9	0	8.2	0	3.5	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	0.1	274.1	0	0	0	0	0	0	0	0	0	141.1	0	0	0	0	0	133	0	0	0	0	0	0	0	0
CALZADO	107.1	0.6	0.3	0	0	0	106.3	0	0	0	0.2	0	0	0	0	0.6	0	0	0	0	0.3	0	0	0	0	0
CERAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLAVOS Y TORNILLOS	245.6	0	13.9	0	10	0	30.6	0	14.7	0	20	0	21.8	0	20.9	0	9.8	0	13.8	0	48	0	22.1	0	19.9	0
