	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	80.4	0	3.4	0	1.2	0	3.3	0	2.4	0	2.4	0	25.1	0	18.3	0	3	0	0.2	0	1.7	0	0.7	0	18.8	0
HILOS E HILAZAS	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	577.5	0	0	0	0	0	0	0	12.3	0	234.8	0	0	0	0	0	70.7	0	155.4	0	0	0	0	0	104.3	0
INSTRUMENTAL MEDICO Y OTROS	2601.6	22.2	810.3	0	73.3	0.2	311.4	4.7	58.6	0	118.5	0	111.4	14.9	144.5	0	149.6	0	52.5	0	576.7	0	58	0	136.8	2.4
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	38.1	12.7	16.1	0	0	2	0	0.2	5.9	1.1	0.3	2.6	0	2.4	7.1	4.1	0	0	1	0	2.4	0	3.8	0	1.5	0
LAMINA Y ALAMBRE	1108.9	0	845.2	0	7.4	0	7.4	0	23.8	0	17.6	0	73.7	0	40.4	0	6.1	0	3.3	0	33.6	0	24.3	0	26.1	0
MANUFACTURAS DE CAUCHO	1280.8	0	160.7	0	88.5	0	87.4	0	110.8	0	90.6	0	86.3	0	151.3	0	112.7	0	84.2	0	92.4	0	74.9	0	140.9	0
MANUFACTURAS DE CERAMICA	20.6	6.6	0	0	0	3.5	20	0.4	0	2.4	0	0	0	0	0	0.1	0	0	0	0	0.6	0.3	0	0	0	0
MANUFACTURAS DE CUERO	0	10	0	0.3	0	0	0	4	0	0	0	0	0	0	0	0	0	0.3	0	0.2	0	1.3	0	0	0	4
MANUFACTURAS DE MADERA	0	254.1	0	45.1	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	29.3	0	0	0	0	0	158.7
MANUFACTURAS DE PAPEL Y CARTON	125.1	0.2	19.2	0	2.2	0	6.6	0.1	4.1	0	3.2	0	1.9	0	14.5	0	14	0	18.5	0	10.2	0	17.8	0	12.8	0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	1.5	0	0.9	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	0.4	5	0	0.1	0	0.2	0	0	0	1.6	0	0.8	0	0.6	0.4	0	0	0.1	0	0.7	0	1	0	0	0	0
MANUFACTURAS DIVERSAS	3197.3	24.8	176.2	2.1	286.3	0.7	191.5	1.4	203.1	2.9	127.9	1.2	212	3.9	96	1.4	472.3	0.2	395.4	0.5	386.9	5.9	374.8	0	275	4.5
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	16901.7	0.1	850	0	3145.6	0	1735.7	0.1	1120.7	0	1013.7	0	739.5	0	1133.6	0	903.5	0	930.1	0	3363.2	0	1035.3	0	930.7	0
MATERIALES PLASTICOS Y SUS MANUFACTURAS	557.3	17.2	8.4	0	0.5	2.5	1.3	3	40.7	0.5	55.3	0.5	68.4	4.4	60.3	0	14.1	1.2	2.3	0.5	58.2	1.1	199.7	3.5	48.1	0.1
MATERIALES TEXTILES (TEJIDOS O TELAS)	249.1	1.5	24.7	0	1.7	0.1	4.5	0.4	0.9	0.3	0.7	0	17.2	0	16.8	0.6	123.3	0	5.8	0	53.7	0.1	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	113.1	0.7	90.5	0	0	0	0	0.3	19	0	1.7	0	0	0	0.4	0	0	0	0	0	1.4	0.3	0	0	0	0
NEUMATICOS Y TUBOS	8244.6	0	1327	0	589.8	0	889.1	0	816.4	0	462.2	0	333.7	0	542.3	0	832.9	0	417.9	0	448.2	0	716	0	869.2	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	0.3	0.1	0	0	0	0	0	0.1	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	501.5	7.2	31.3	0	10	0	29.5	0.2	23.1	5.6	153.5	0	24.4	0	29.5	0	27.8	0	8.4	1.4	16.9	0	95.9	0	51.2	0
PAPEL Y CARTON	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PINTURAS Y BARNICES	216	0	67.4	0	1.2	0	23	0	12.3	0	0.4	0	14.4	0	1.9	0	42.4	0	0.2	0	27.6	0	10.6	0	14.5	0
PREPARADOS A BASE DE CEREALES	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREPARADOS DE FRUTAS	0	14.4	0	0	0	0	0	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	81.1	0.1	0	0	0	0.1	0	0	78.4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	1861.8	0	157.9	0	57.9	0	57.7	0	188.3	0	108.6	0	247.4	0	128.9	0	102.9	0	121.2	0	330.8	0	230.1	0	130	0
PRODUCTOS FARMACEUTICOS	89.8	0	47.7	0	0.1	0	18.5	0	0.1	0	0.1	0	1.2	0	19.9	0	0	0	0	0	0	0	1.2	0	1	0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	3570.6	0	497.6	0	362.1	0	633.2	0	101.8	0	178.3	0	307.3	0	339.9	0	133.5	0	263.5	0	263.2	0	179.8	0	310.3	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	20.4	2.5	19.2	0.6	0	0	0.3	0.9	0.5	0.2	0.1	0.5	0	0	0.1	0.1	0	0	0	0	0.2	0.1	0	0	0	0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	0.3	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	3.1	2.9	0	1.1	0	0.3	0	0	0	0	0	0.6	0	0.2	2.6	0.1	0.2	0.2	0	0	0.3	0.1	0	0	0	0.2
TABACO ELABORADO	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
TUBERIA Y SUS ACCESORIOS	203.9	0	8.1	0	37.7	0	2	0	3.9	0	2.4	0	79.9	0	1.6	0	4	0	1.6	0	2.4	0	5.2	0	55.1	0
VEHICULOS Y MATERIAL DE TRANSPORTE	241858.5	87.8	21609.4	0	17161.6	28.7	25358.2	6.6	25074.3	6.7	23418.1	45.4	24678.1	0	27905.8	0.2	20879.5	0	14190.4	0.2	19329.8	0	8405.7	0	13847.5	0
VIDRIO Y SUS MANUFACTURAS	491.8	0	62	0	35.6	0	51	0	75.8	0	57.1	0	31.9	0	31.7	0	28.4	0	36.3	0	26.3	0	27.6	0	28.1	0
