,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"249,339.00","16,304.50","24,601.10",882.10,"14,111.60","1,300.10","18,421.40",904.30,"29,189.80","1,201.40","13,691.50",345.90,"9,994.80","1,754.40","19,285.50","1,109.40","14,031.10","2,002.10","24,403.80","1,008.10","38,031.30","2,613.30","20,832.70",736.60,"22,744.40","2,446.80"
INDUSTRIAS AGROPECUARIAS,"45,089.40","7,838.30","4,736.90",789.10,"1,947.80",640.50,"7,977.10",454.70,"11,373.90",642.90,"1,345.30",86.90,96.50,"1,199.20",483.70,313.60,230.30,"1,308.80","8,131.10",655.80,"8,210.60",503.10,398.10,282.70,158.10,960.90
ANIMALES VIVOS DIVERSOS,2.90,0,0,0,0.00,0,0.00,0,0,0,1.50,0,0.6,0,0,0,0,0,0,0,0.8,0,0,0,0,0
ARROZ,"5,361.30",0,0,0,0,0,0.00,0,216.40,0,0.00,0,0,0,0,0,0,0,"2,183.90",0,"2,961.00",0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES","3,767.40",23.20,663.20,0,209,0,4.2,0,162.00,0,920.9,0,7,0,364,0,230.3,0.00,314.1,0,782.8,0,110,0,0,23.2
CAUCHO NATURAL (HULE),9.9,"6,982.00",0.6,789.1,0,599.1,0.4,454.70,0,642.9,0,86.9,0,"1,143.60",0,113.6,0,"1,240.80",0,505.80,2,435.1,0,182.7,6.9,787.7
ESPECIAS,134.50,697.10,0,0,0,41.5,0,0,0,0,0,0,0,55.60,0,200,0,0,0,150,122.7,0.00,11.8,100,0,150.00
"FRUTAS FRESCAS, SECAS O CONGELADAS","1,080.50",0.00,212.7,0.00,82.4,0,211.8,0,205.9,0,0,0,0,0.00,80.4,0.00,0,0.00,0,0.00,87.7,0.00,87.7,0.00,111.9,0.00
MAIZ,"33,801.80",0.00,"3,820.80",0.00,"1,460.80",0.00,"7,721.30",0.00,"10,538.60",0.00,398.7,0.00,36.2,0.00,0,0.00,0,0.00,"5,611.00",0.00,"4,214.20",0.00,0,0.00,0.1,0.00
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,436.30,0.00,39.50,0.00,6.00,0.00,37.40,0.00,72.90,0.00,11.60,0.00,52.70,0.00,39.30,0.00,0.00,0.00,0.10,0.00,39.40,0.00,98.20,0.00,39.20,0.00
PIMIENTA,424.30,0.00,0,0.00,156.70,0.00,0,0.00,178.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,89.50,0.00,0.00,0.00
