,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,
GRASAS Y ACEITES COMESTIBLES,87.60,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,16.70,0.00,8.90,0.00,16.40,0.00,0.00,0.00,45.20,
HARINAS DE CEREALES,17.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.40,0.00,0.00,0.00,0.00,0.00,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,"2,711.20",37.20,339.10,0.00,115.40,25.50,11.80,0.00,339.00,0.00,556.00,11.50,71.70,0.10,271.80,0.00,278.00,0.00,25.30,0.00,432.40,0.00,11.60,0.00,259.10,
HILOS E HILAZAS,254.10,1.10,0.00,0.00,47.90,1.10,0.00,0.00,20.50,0.00,32.10,0.00,8.40,0.00,0.00,0.00,41.00,0.00,62.70,0.00,0.00,0.00,0.00,0.00,41.40,
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","1,640.00",0.00,102.70,0,81.40,0.00,43.00,0.00,0.20,0.00,241.80,0.00,0.00,0.00,0.20,0.00,317.10,0.00,430.50,0.00,182.10,0.00,182.30,0.00,58.70,
INSTRUMENTAL MEDICO Y OTROS,678.10,3.00,97.60,0.00,14.00,0.00,81.10,0.00,70.10,0.00,58.40,2.90,67.20,0.00,50.30,0.00,26.10,0.00,70.50,0.00,80.50,0.00,38.60,0.00,23.60,
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",199.60,0.40,0.00,0.00,0.30,0.20,0.90,0.00,0.00,0.00,40.90,0.00,0.00,0.20,0.00,0.00,0.10,0.10,0.00,0.00,38.60,0.00,62.50,0.00,56.20,
LAMINA Y ALAMBRE,"1,966.20",0.10,1.10,0.00,672.50,0.10,23.50,0.00,160.50,0.00,1.60,0.00,34.10,0.00,121.40,0.00,2.90,0.00,467.90,0.00,0.20,0.00,479.50,0.00,1.10,
LECHE Y OTROS PRODUCTOS LACTEOS,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,
MANUFACTURAS DE CAUCHO,483.60,0.40,53.50,0.00,16.70,0,2.10,0.00,17.80,0.00,109.90,0.40,10.50,0.00,39.80,0.00,36.50,0.00,25.70,0.00,76.10,0.00,61.00,0.00,34.10,
MANUFACTURAS DE CERAMICA,"2,310.30",1.20,88.50,0.00,124.50,0.40,157.00,0.00,263.80,0.00,244.80,0.10,73.70,0.10,204.80,0.40,445.50,0.30,263.60,0.00,143.20,0.00,201.80,0.00,99.20,
MANUFACTURAS DE CUERO,48.90,5.30,0.00,0.00,0.10,0.00,0.30,0,2.40,0,0.10,0.00,5.70,0.00,3.60,0.00,4.60,1.50,0.00,1.90,20.10,1.80,12.00,0.00,0.00,
MANUFACTURAS DE MADERA,712.80,0.80,106.80,0.00,61.40,0.80,61.40,0.00,152.90,0.00,27.80,0.00,45.00,0.00,30.10,0.00,104.70,0.00,0.00,0.00,53.70,0.00,57.10,0.00,11.80,
MANUFACTURAS DE PAPEL Y CARTON,"1,088.80",1.20,161.40,0.00,41.80,0.30,54.10,0.00,61.10,0.00,42.70,0.00,15.40,0.20,32.10,0.10,93.20,0.30,18.60,0.00,387.20,0.30,167.80,0.00,13.50,
