,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"250,791.30","11,091.50","15,765.00","1,128.00","14,058.10",856.40,"12,772.70","1,039.60","17,646.40",444.40,"23,572.00",919.90,"16,885.40",807.70,"22,746.60","1,210.10","16,973.70",816.60,"26,756.50",968.80,"29,727.50",784.30,"26,242.20",701.90,"27,645.10","1,413.80"
INDUSTRIAS AGROPECUARIAS,"53,356.50","7,064.90","1,230.60",525.40,598.30,734.50,296.20,645.90,"2,144.10",359.50,"1,141.60",148.50,145.90,133.70,"1,215.70",777.10,424.40,639.50,"12,982.80",617.40,"12,506.90",652.20,"9,043.90",580.50,"11,626.30","1,250.90"
ANIMALES VIVOS DIVERSOS,0.80,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
ARROZ,"1,034.00",0,0,0,0,0,0.00,0,474.80,0,0.00,0,0,0,559.3,0,0,0,0.00,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES","3,936.60",0.00,"1,063.80",0,0,0,0,0,"1,305.40",0,596.5,0,68.3,0,269.8,0,54.6,0.00,0,0,526.1,0,52.1,0,0,0
CAFE,0,61.50,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,61.5,0,0,0,0
CARDAMOMO,0.00,43.50,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,43.50,0,0,0,0.00
CAUCHO NATURAL (HULE),6.80,"6,149.00",0,197.20,0,734.5,0,536.5,0,140.6,0,39.1,0,133.70,0,777.00,0,639.50,0,617.40,0,502.40,0,580.40,6.8,"1,250.90"
ESPECIAS,17.70,0.00,0,0.00,5.3,0.00,0,0.00,12.4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"FRUTAS FRESCAS, SECAS O CONGELADAS","1,044.90",0.00,147.40,0.00,151.20,0.00,108.50,0.00,0.00,0.00,138.70,0.00,0.00,0.00,102.90,0.00,96.40,0.00,96.40,0.00,203.40,0.00,0.00,0.00,0.00,0.00
MAIZ,"44,765.20",0.00,0,0.00,0.00,0.00,0.3,0.00,233.9,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"12,806.90",0.00,"11,241.30",0.00,"8,991.80",0.00,"11,491.00",0.00
MATERIAS VEGETALES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,390.60,0.00,0.00,0.00,42.10,0,36.00,0,5.90,0.00,71.00,0,77.60,0,37.60,0,0.00,0,46.40,0,74.00,0.00,0.00,0,0.00,0
PIMIENTA,495.20,0.00,13.50,0,106.80,0,151.40,0,111.70,0,0.00,0,0.00,0,13.70,0,98.10,0,0.00,0,0.00,0,0.00,0,0.00,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",42.40,0.00,5.90,0,0.00,0,0.00,0,0.00,0,3.50,0,0.00,0,0.00,0,0.00,0,33.00,0,0.00,0,0.00,0.00,0.00,0
SEMILLA DE AJONJOLI,0.00,810.80,0.00,328.3,0.00,0,0.00,109.4,0.00,218.8,0.00,109.4,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,44.8,0.00,0.1,0.00,0
TABACO EN RAMA O SIN ELABORAR,"1,622.30",0.00,0,0,292.8,0,0.00,0,0.00,0,331.9,0,0,0,231.7,0,175.30,0,0,0,462.1,0,0,0,128.5,0.00
INDUSTRIAS MANUFACTURERAS,"186,497.40","3,977.90","14,458.00",602.5,"13,392.40",119.3,"12,352.70",393.70,"15,438.30",49.10,"21,866.70",771.4,"16,585.90",674.00,"20,892.60",433,"15,426.10",177.1,"13,205.50",351.4,"16,288.50",122,"16,842.40",121.40,"9,748.30",162.90
ABONOS Y FERTILIZANTES,1.70,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0.00,0,1.70,0,0,0,0,0,0.00,0,0,0,0.00,0,0.00,0
ALIMENTOS PREPARADOS PARA ANIMALES,421.90,0.00,0,0,0.00,0,18.00,0.00,22.20,0.00,58.40,0,17.60,0,18.00,0,103.80,0,54.40,0,23.3,0,38.20,0,68.00,0.00
