,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
CERAS,104.30,0.00,27.50,0.00,0.70,0.00,0.80,0.00,45.40,0.00,0.00,0.00,1.50,0.00,0.00,0.00,3.10,0.00,0.20,0.00,25.00,0.00,0.20,0.00,0.00,0.00
CLAVOS Y TORNILLOS,311.30,0.00,13.40,0.00,19.50,0.00,13.70,0.00,22.50,0.00,42.00,0.00,29.70,0.00,10.60,0.00,41.20,0.00,72.70,0.00,7.00,0.00,26.20,0.00,12.70,0.00
DETERGENTES Y JABONES,"1,165.20",0.00,85.50,0.00,95.80,0.00,70.10,0.00,91.60,0.00,44.70,0.00,146.20,0.00,39.20,0.00,102.90,0.00,58.80,0.00,103.70,0.00,228.90,0.00,97.80,0.00
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",335.70,0.00,138.80,0.00,185.10,0.00,0.00,0.00,1.10,0.00,0.80,0.00,4.70,0.00,0.00,0.00,1.50,0.00,2.20,0.00,0.00,0.00,1.50,0.00,0.00,0.00
GRASAS Y ACEITES COMESTIBLES,36.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.30,0.00
HARINAS DE CEREALES,80.70,0.00,0.00,0.00,0.00,0.00,36.80,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.70,0.00,3.40,0.00,0.00,0.00,0.00,0.00
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,"1,950.60",0.20,221.60,0.00,90.50,0.00,88.80,0.00,222.40,0.00,284.50,0.00,148.80,0.10,107.70,0.00,175.20,0.00,69.20,0.00,435.30,0.00,45.50,0.00,61.00,0.10
HILOS E HILAZAS,421.00,0.00,64.50,0,3.50,0.00,0.00,0.00,0.00,0.00,17.70,0.00,0.00,0.00,119.80,0.00,14.00,0.00,28.20,0.00,46.00,0.00,20.50,0.00,106.80,0.00
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","2,139.30",0.00,71.20,0.00,270.00,0.00,104.90,0.00,160.90,0.00,143.90,0.00,298.10,0.00,164.60,0.00,237.90,0.00,386.40,0.00,69.90,0.00,153.10,0.00,78.30,0.00
INSTRUMENTAL MEDICO Y OTROS,"3,038.90",28.10,229.70,0.00,279.40,0.00,151.20,0.00,316.50,0.00,156.90,0.00,276.90,0.00,172.00,0.00,223.20,0.00,586.90,0.00,243.90,0.00,185.40,12.30,217.10,15.80
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",28.00,0.60,0.10,0.00,2.50,0.40,16.10,0.00,0.00,0.00,0.00,0.00,0.60,0.10,6.10,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00
LAMINA Y ALAMBRE,"6,225.10",0.00,568.20,0.00,435.80,0.00,5.80,0.00,664.40,0.00,27.50,0.00,76.00,0.00,55.80,0.00,"2,576.80",0.00,20.40,0.00,833.90,0.00,77.50,0.00,882.80,0.00
LECHE Y OTROS PRODUCTOS LACTEOS,0.10,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANUFACTURAS DE CAUCHO,686.30,4.20,25.00,0.00,40.30,4.20,20.40,0.00,67.70,0.00,84.60,0.00,61.00,0.00,58.60,0.00,44.50,0.00,81.20,0.00,29.60,0.00,119.60,0.00,53.60,0.00
MANUFACTURAS DE CERAMICA,"1,671.00",0.60,91.50,0.00,47.40,0.10,29.40,0,55.00,0,53.20,0.00,218.30,0.50,344.60,0.00,185.30,0.00,145.60,0.00,129.50,0.00,159.40,0.00,211.80,0.00
MANUFACTURAS DE CUERO,55.90,0.30,0.00,0.00,1.50,0.00,0.00,0.00,2.60,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.30,0.00,0.00,0.00,12.30,0.30,21.70,0.00
MANUFACTURAS DE MADERA,"1,836.60",0.40,169.20,0.00,35.70,0.00,138.50,0.00,92.50,0.00,119.60,0.00,103.00,0.40,583.40,0.00,63.00,0.00,157.00,0.00,99.80,0.00,96.70,0.00,178.40,0.00
MANUFACTURAS DE PAPEL Y CARTON,"6,844.10",11.80,260.40,0.00,531.40,0.20,508.60,0.00,935.50,0.00,"1,084.60",0.00,471.90,0.40,630.90,0.00,982.50,4.60,317.00,0.00,653.40,0.00,403.20,1.50,64.70,5.20
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",620.00,0.00,54.60,0.00,30.80,0.00,15.50,0.00,24.70,0.00,81.50,0.00,82.80,0.00,54.40,0.00,87.80,0.00,30.60,0.00,45.60,0.00,31.50,0.00,80.20,0.00
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,"1,122.40",0.00,26.20,0.00,35.70,0.00,118.60,0.00,109.40,0.00,54.30,0.00,132.00,0.00,89.40,0.00,157.60,0.00,141.20,0.00,88.40,0.00,49.80,0.00,119.80,0.00
MANUFACTURAS DE PIELES,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANUFACTURAS DIVERSAS,"6,014.60",48.40,204.50,0.00,327.80,0.00,141.30,0.00,589.20,0.00,"1,065.60",0.00,366.10,0.00,179.80,0.00,723.50,0.00,701.80,27.30,559.40,0.10,458.70,0.00,697.00,21.00
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,"52,324.70",66.40,"2,421.70",0.00,"2,273.90",0.30,"3,624.60",0.00,"2,429.80",30.80,"2,060.10",0.00,"3,634.70",0.30,"3,466.40",10.00,"6,702.60",6.10,"5,930.40",0.30,"4,178.20",0.10,"7,416.00",17.10,"8,186.50",1.40
MATERIALES PLASTICOS Y SUS MANUFACTURAS,"11,238.80",175.50,259.50,0.00,541.30,0.10,670.80,0.00,924.00,25.30,808.90,9.20,"1,080.80",0.10,"1,018.10",23.70,722.10,17.40,"1,351.70",26.10,"1,006.10",38.80,"1,540.80",17.30,"1,314.50",17.60
MATERIALES TEXTILES (TEJIDOS O TELAS),"1,013.80",0.40,40.90,0.00,69.60,0.10,22.50,0.00,136.00,0.00,69.70,0.00,264.50,0.20,118.20,0.00,89.00,0.00,12.60,0.00,21.10,0.00,132.40,0.00,37.20,0.00
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.","2,177.80",4.10,35.90,0.00,26.70,1.10,121.00,0.00,335.00,0.00,348.20,0.00,319.00,0.80,318.80,0.00,327.30,0.00,119.90,0.50,21.70,0.40,122.80,0.20,81.40,1.10
NEUMATICOS Y TUBOS,"8,883.80",48.80,462.70,0.00,635.80,0.00,515.90,0.00,489.20,0.00,640.20,0.00,986.00,0.00,700.30,0.00,821.20,0.00,"1,086.40",0.00,"1,066.00",0.00,"1,094.40",0.00,385.80,48.80
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.10,6.50,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.10
OTRAS MANUFACTURAS DE METALES COMUNES,"2,314.30",356.60,85.20,62.10,235.10,0.30,43.30,83.30,267.60,62.10,85.00,0.00,389.30,0.50,107.60,62.10,170.30,0.00,149.20,0.10,206.10,0.00,358.40,23.90,217.30,62.30
OTROS ACEITES ESENCIALES,1.00,195.40,0.00,14.20,0.00,0.00,0.00,0.00,0.00,103.5,0.00,7.10,0.00,34.90,0.30,0.00,0.00,19.30,0.70,0.00,0.00,9.4,0.00,0.00,0.00,7.1
PAPEL Y CARTON,"12,961.60",0.00,417.30,0.00,470.40,0.00,"1,442.90",0.00,637.80,0.00,"2,479.30",0.00,"1,098.80",0.00,"1,253.20",0.00,"1,960.60",0.00,522.70,0.00,"1,083.50",0.00,"1,089.30",0.00,505.90,0.00
PINTURAS Y BARNICES,"1,936.40",9.50,46.80,0.00,128.90,0.00,176.70,0.00,68.80,0.00,213.80,0.00,97.80,0.00,163.80,0.00,266.80,0.00,218.60,0.00,130.90,9.50,183.20,0.00,240.40,0.00
PREPARADOS A BASE DE CEREALES,707.90,142.20,94.00,9.80,72.50,19.60,3.70,9.80,75.60,9.80,43.10,19.60,104.30,9.80,1.30,19.60,40.70,9.80,27.80,0.00,105.70,17.20,74.40,17.20,65.00,0.00
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",207.90,0.00,0.00,0.00,0.00,0.00,25.10,0.00,23.40,0.00,0.00,0.00,23.60,0.00,23.60,0.00,24.10,0.00,0.00,0.00,39.10,0.00,49.10,0.00,0.00,0.00
PREPARADOS DE LEGUMBRES Y HORTALIZAS,0.90,16.80,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50
PREPARADOS DE FRUTAS,839.00,84.40,83.70,0,0.00,0,50.30,0.00,129.90,0,58.10,0,41.00,22.7,84.90,23.00,33.60,0.00,85.10,22.70,130.10,0.00,42.50,0.00,99.80,16.20
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS","4,746.70",0.00,181.10,0.00,645.00,0.00,319.40,0.00,395.50,0.00,219.50,0.00,605.60,0.00,417.90,0.00,481.00,0.00,554.60,0.00,283.10,0.00,298.00,0.00,346.10,0.00
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,"10,312.00",10.50,452.30,0.00,953.60,0.00,785.00,0.00,573.30,0.00,688.20,0.00,874.90,0.00,881.50,0.00,"1,262.10",0.00,"1,230.40",0.00,803.30,3.90,"1,007.90",6.60,799.50,0.00
PRODUCTOS FARMACEUTICOS,"4,303.90","1,479.90",583.60,0.00,184.40,146.00,446.20,0.00,284.50,0.00,465.40,360.00,510.20,341.20,589.50,0.00,164.50,114.00,539.80,0.50,149.40,0.00,207.60,27.60,178.70,490.50
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,473.00,0.00,0.00,0.00,0.00,0.00,42.80,0.00,74.30,0.00,0.00,0.00,77.60,0.00,0.00,0.00,84.70,0.00,76.40,0.00,16.20,0.00,0.20,0.00,100.90,0.00
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",146.70,1.20,26.30,0.00,19.50,0.00,0.00,0.00,8.90,0.00,3.90,0.00,2.40,0.60,0.00,0.00,0.20,0.00,12.10,0.00,73.40,0.10,0.00,0.60,0.00,0.00
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",367.30,21.30,2.20,0.00,0.00,0.00,0.70,21.30,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,71.20,0.00,2.60,0.00,0.00,0.00,0.00,0.00,287.20,0.00
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",4.10,0.00,0.00,0.00,1.00,0.00,0.40,0.00,0.10,0.00,0.00,0.00,0.40,0.00,1.50,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
TABACO ELABORADO,385.70,0.00,0.00,0.00,37.60,0.00,0.00,0.00,86.90,0.00,87.20,0.00,0.00,0.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.10,0.00
TUBERIA Y SUS ACCESORIOS,"1,130.80",0.00,62.80,0.00,180.40,0.00,13.60,0.00,92.50,0.00,23.50,0.00,74.20,0.00,150.90,0.00,126.60,0.00,152.60,0.00,71.00,0.00,70.20,0.00,112.50,0.00
VEHICULOS Y MATERIAL DE TRANSPORTE,"48,935.80",0.10,528.80,0.00,"1,341.80",0.10,"1,155.90",0.00,"23,468.50",0.00,616.00,0.00,"1,131.90",0.00,"1,038.90",0.00,"13,548.90",0.00,"1,805.40",0.00,"1,024.90",0.00,"1,950.30",0.00,"1,324.60",0.10
VIDRIO Y SUS MANUFACTURAS,"1,076.30",0.20,51.20,0.00,134.00,0.10,113.50,0.00,40.80,0.00,90.30,0.00,166.70,0.10,90.00,0.00,132.00,0.00,125.10,0.00,89.20,0.00,31.10,0.00,12.30,0.00
INDUSTRIAS EXTRACTIVAS,"3,526.30","5,562.10",173.30,509.90,281.80,473.00,231.90,419.80,170.70,335.50,571.90,841.10,264.30,534.30,345.70,249.90,264.20,676.90,326.40,432.30,400.80,304.30,173.50,333.00,321.80,452.00
ALUMINIO,600.00,"2,456.20",0.00,98.80,66.80,147.20,9.10,78.90,60.60,149.60,99.20,441.30,8.40,137.80,68.80,249.90,60.40,286.50,10.80,236.30,198.00,100.00,5.00,333.00,12.90,196.90
COBRE Y SUS MANUFACTURAS,135.80,0.00,30.90,0.00,14.00,0.00,26.80,0.00,0.00,0.00,61.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,2.10,0.00
HIERRO Y ACERO,760.50,0.00,36.70,0.00,0.00,0.00,50.80,0.00,52.30,0.00,0.00,0.00,162.70,0.00,0.00,0.00,12.60,0.00,177.30,0.00,90.50,0.00,25.20,0.00,152.50,0.00
OTROS DERIVADOS DE PETROLEO,495.20,0.00,18.60,0.00,90.80,0.00,39.90,0.00,3.60,0.00,34.20,0.00,38.20,0.00,182.50,0.00,17.20,0.00,36.90,0.00,5.80,0.00,0.00,0.00,27.60,0.00
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,28.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.50,0.00,0.00,0,0.10,0,25.20,0,0.00,0,1.70,0,0.00,0,0.30,0.00
PLOMO,0.00,"3,105.90",0.00,411.10,0.00,325.80,0.00,340.90,0.00,185.90,0.00,399.80,0.00,396.50,0.00,0.00,0.00,390.40,0.00,196.00,0.00,204.30,0.00,0.00,0.00,255.10
PRODUCTOS MINERALES DIVERSOS,"1,235.40",0.00,87.10,0.00,110.00,0.00,105.20,0.00,54.20,0.00,107.40,0.00,55.00,0.00,94.30,0.00,146.30,0.00,101.30,0.00,104.70,0.00,143.30,0.00,126.50,0.00
