,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,"233,495.10","14,324.70","14,513.10",276.30,"14,844.10",364.80,"19,447.10","1,169.30","23,305.80","1,119.30","13,692.10","1,012.10","24,798.40","1,445.00","26,976.80",783.70,"24,225.10","1,074.80","16,977.30","1,247.60","22,149.00","2,516.60","13,638.20","1,675.00","18,928.00","1,640.40"
INDUSTRIAS AGROPECUARIAS,"7,136.60","4,937.90",837.00,44.30,259.70,103.50,"1,857.40",254.50,735.70,771.20,589.70,665.10,262.60,743.10,67.00,329.80,210.00,568.50,71.10,640.50,"1,877.90",369.40,122.40,214.60,246.00,233.40
"BULBOS, RAICES Y PLANTAS ORNAMENTALES","3,075.00",215.5,168.2,0,230.10,0,"1,361.30",96.8,557.7,118.7,447.60,0,105,0,33.5,0,35.7,0,10.4,0,125.5,0,0,0,0,0
CAFE,7.10,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0
CARDAMOMO,0.00,13.50,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),225.5,"3,841.10",47.5,0,0,43.9,31.1,105.5,4,620.8,25.4,518.6,0,642.9,0,295.8,0,500.5,30.7,609.1,34.2,276.7,52.6,28,0,199.4
ESPECIAS,83.40,0.00,0,0,21.1,0,0,0,52.5,0,0,0,0,0.00,0,0,8,0,0,0,0,0.00,1.9,0,0,0.00
"FRUTAS FRESCAS, SECAS O CONGELADAS",145.90,0.00,0,0.00,0,0,0,0,0,0,63.8,0,0,0.00,0,0.00,0,0.00,0,0.00,82.1,0.00,0,0.00,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,"1,187.30",0.00,26.9,0.00,0,0.00,52.6,0.00,0,0.00,28.9,0.00,0,0.00,28.4,0.00,56.9,0.00,30,0.00,963.7,0.00,0,0.00,0,0.00
PIMIENTA,189.10,0.00,0.00,0.00,6.10,0.00,58.10,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.80,0.00,0.00,0.00,0.00,0.00,46.90,0.00,0.00,0.00
