,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"37,426.50","287,599.60","1,453.70","18,812.50","2,808.90","15,892.20","1,482.90","27,125.90","2,144.40","13,604.20","4,410.40","19,431.40","4,596.50","19,232.50","3,575.40","17,279.00","2,557.70","20,122.00","3,231.60","33,580.20","4,605.50","24,785.90","3,614.80","38,907.90","2,944.80","38,825.90"
INDUSTRIAS AGROPECUARIAS,"8,157.20","30,834.80",353.10,167.50,390.10,632.30,312.60,434.30,29.80,"1,692.60",207.70,816.30,356.00,840.90,430.30,616.40,378.90,47.50,377.50,134.90,"2,495.80",592.30,"2,174.00","7,283.50",651.20,"17,576.30"
ANIMALES VIVOS DIVERSOS,0.00,1.2,0,0.5,0.00,0,0.00,0,0,0.7,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROZ,0.00,343.5,0,0,0,0,0.00,0,0.00,0,0.00,0,0,70.4,0,0,0,0,0.00,0,0.00,85.8,0,85.7,0,101.7
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",0.00,"3,191.50",0.00,0,0,379.8,0,250.3,0.00,"1,491.70",0.00,138,0,155.1,0,341.6,0,24.20,0,37.3,0,207.9,0,120.4,0,45.3
CARDAMOMO,120.2,0.00,0,0,0,0,0,0.00,0,0,0,0,11,0.00,0,0,0,0.00,0,0.00,0,0,0,0,109.3,0
CAUCHO NATURAL (HULE),"7,757.40",197.20,291.3,0,359.1,0,250.80,88,29.80,0,207.7,0,336.3,0.00,315.40,0,377.7,0,377.40,40.1,"2,495.80",32.90,"2,174.00",0,541.9,36.20
"FRUTAS FRESCAS, SECAS O CONGELADAS",0.00,"1,733.60",0,129.50,0,144,0,49.4,0,49.5,0,448.7,0,455.90,0,274.20,0,0.00,0,0.00,0,182.40,0,0.00,0,0.00
LEGUMBRES Y HORTALIZAS,0.00,69.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,23.40,0.00,0.00,0.00,0.00,0,46.30,0,0.00
MAIZ,1.60,"24,846.60",0.00,0.00,0.10,0.00,0.00,0.30,0.00,114.00,0.00,229.60,0.00,113.20,0.20,0.60,1.20,0.00,0.10,0.20,0.00,0.00,0.00,"6,995.50",0.00,"17,393.20"
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,114.70,394.50,0,37.50,0.00,108.60,0,46.40,0,36.80,0,0.00,0,46.20,114.7,0.00,0,0.00,0.00,0.10,0.00,83.30,0.00,35.70,0.00,0.00
PIMIENTA,8.80,55.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,0.00,0.00,0.00,0.00,0.00,0.00,55.90,0.00,0.00,0.00,0.00,0.00,0.00
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",0.00,1.20,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1.2,0.00,0.00,0.00,0,0.00,0
SEMILLA DE AJONJOLI,154.50,0.00,61.80,0,30.90,0,61.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
TABACO EN RAMA O SIN ELABORAR,0.00,0.10,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.1,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
INDUSTRIAS EXTRACTIVAS,"18,529.10","32,004.80",976.00,400.3,501.50,368.40,"1,024.80","11,095.60","1,503.10",565.20,"1,921.60",454,"1,834.90","2,282.60","1,916.30",319.10,"1,650.90",455.20,"2,214.90","3,258.00","1,813.60",871.6,"1,225.50","9,386.40","1,946.00","2,548.30"
ALUMINIO,"13,724.80",695.30,644.4,35.5,501.5,42.2,692.30,8,"1,157.80",88.1,"1,583.00",79,"1,503.20",5,"1,282.80",66.2,"1,314.00",79.7,"1,513.70",6.8,"1,106.40",154.2,"1,225.50",29.7,"1,200.10",100.80
ASFALTO,0.00,0.60,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.6,0.00,0.00,0.00,0.00
