	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	85864.5	27118.8	6640.5	249.4	5232.7	1904.3	5725.6	675.1	7617.3	1320.8	8066.8	2829	6648.4	1664.3	10461.7	2112.4	8759.6	5319.9	5423.5	4114.5	6779.1	2655.4	5445.9	1755.5	9063.4	2518.2
INDUSTRIAS AGROPECUARIAS	131.3	2281.1	5.6	93.1	0	44.6	42	174.4	33.6	84.6	12.6	804.7	0	0	6.1	66.4	1.4	397.3	6	166	4	255.1	5.7	191	14.1	3.9
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	55.7	7.9	5.4	0	0	0.3	13.4	1	8.6	0	10.6	0	0	0	6.1	0	0	1.2	6	1.5	0	0	0	0	5.6	3.9
CAFE	0	1554	0	93.1	0	44.3	0	173.3	0	84.6	0	85.4	0	0	0	66.4	0	396.1	0	164.5	0	255.1	0	191	0	0
CAUCHO NATURAL (HULE)	51.8	0	0.1	0	0	0	25.2	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	21.4	0	0	0	0	0	3.1	0	0	0	2.1	0	0	0	0	0	0	0	0	0	4	0	3.7	0	8.5	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	2.3	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0.5	0	0	0
TABACO EN RAMA O SIN ELABORAR	0	719.3	0	0	0	0	0	0	0	0	0	719.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	85157.2	23400.9	6610.8	147.8	5231.3	1844.1	5637.4	471.5	7582.7	1236.2	8036.1	1908.1	6600.3	1467	10243.8	1902.4	8728.6	4620	5408.1	3735.9	6742.6	2277.9	5429.8	1464.8	8905.7	2325.2
ABONOS Y FERTILIZANTES	9.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8	0	0	0	0	0
ALIMENTOS PREPARADOS PARA ANIMALES	42.1	0	0	0	0	0	0	0	17.9	0	0	0	0	0	3.7	0	0	0	0	0	5.4	0	0	0	15.1	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	1197.4	6.7	40.6	1	38.4	4.4	79.2	0	87.1	0.2	115.2	0	167	0	98.8	0.1	146.4	0	119.9	0	104.3	1	123.4	0	77.1	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	1925	0	57.3	0	94.1	0	80.9	0	228.6	0	179.5	0	231.8	0	157	0	146.9	0	194.7	0	159.1	0	324.4	0	70.8	0
APARATOS TRANSMISORES Y RECEPTORES	2995.2	2.3	124	0.4	27.1	1.8	55.9	0	106.9	0	337.4	0	45	0	743.3	0	1110.1	0	258.3	0	131.6	0	9.3	0	46.3	0
ARTICULOS DE VESTUARIO	337.8	1.7	9.4	1.6	12.9	0	4.7	0	78.9	0	75.4	0	21.6	0	46.3	0	15.2	0	7.8	0.1	12.4	0	26.7	0	26.5	0
AZUCAR	0	22713.9	0	141.1	0	1763.8	0	427	0	1203.5	0	1828.6	0	1460.2	0	1884.5	0	4523.1	0	3691.2	0	2111.2	0	1383.6	0	2296.2
BATERIAS ELECTRICAS	183.3	0	0.5	0	0	0	67.9	0	0.7	0	35.4	0	0	0	0	0	0	0	78.3	0	0.2	0	0.3	0	0.1	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.1	0	0	0	0	0	0.1	0
CALZADO	779.1	0	8.7	0	43.3	0	96.3	0	48.9	0	62.8	0	102.7	0	59.3	0	0	0	6.2	0	33.1	0	227	0	90.7	0
CAMARON Y LANGOSTA	0	81.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.3	0	0	0	0
CERAS	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9	0	0	0	0.1	0	0	0	0	0
CLAVOS Y TORNILLOS	901.8	0	75.9	0	42.6	0	16.7	0	83	0	83.4	0	120.1	0	53.8	0	103.9	0	48.6	0	120.2	0	112.8	0	40.7	0
DETERGENTES Y JABONES	253.4	0	38.5	0	0	0	31.6	0	36.8	0	0	0	36.8	0	0	0	0.5	0	72.3	0	0	0	36.8	0	0	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	52.4	0	3.2	0	9.8	0	0	0	12.7	0	6.9	0	7.2	0	0	0	0.1	0	11.2	0	0	0	1.3	0	0	0
GRASAS Y ACEITES COMESTIBLES	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	466.1	0	32.5	0	7.2	0	11.5	0	39.6	0	97	0	52.1	0	15	0	37.7	0	8.5	0	85.3	0	60.3	0	19.5	0
HILOS E HILAZAS	3008.2	0	244.7	0	133.9	0	9.6	0	293.9	0	165.7	0	281	0	230.9	0	354.2	0	414	0	215.5	0	342.2	0	322.6	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	26.4	0	7.5	0	0	0	18.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INSTRUMENTAL MEDICO Y OTROS	1388.7	0.3	131.4	0.3	82	0	104.6	0	119	0	124.9	0	144.2	0	102.3	0	84.8	0	170.1	0	68.4	0	33	0	224	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	784.1	0.3	38.1	0.2	89.1	0	41.6	0	91.6	0	51	0	33	0	171.1	0.1	68.2	0	94.5	0	38.3	0	62.7	0	4.8	0
LAMINA Y ALAMBRE	1999.3	0	199.7	0	54.7	0	118.5	0	394.2	0	317.9	0	165.9	0	122	0	90.6	0	69.3	0	131.4	0	174.5	0	160.5	0
LECHE Y OTROS PRODUCTOS LACTEOS	0.8	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0.1	0
MANUFACTURAS DE CAUCHO	1167.2	0	163.7	0	89	0	127.4	0	74.6	0	50.4	0	156.5	0	79.6	0	98.7	0	51.5	0	39.8	0	66.9	0	169	0
MANUFACTURAS DE CERAMICA	12.6	0.4	0	0	10.6	0	0	0	1.4	0.1	0	0	0	0	0	0.2	0	0	0.1	0.1	0	0	0	0	0.5	0
MANUFACTURAS DE CUERO	27.2	0	1	0	0	0	0	0	0	0	0	0	20.7	0	0	0	0.2	0	0	0	0	0	0	0	5.3	0
MANUFACTURAS DE MADERA	75.3	245.8	0.7	0	0	58.2	0	0	2.9	0	0.2	63.7	0	0	0.8	0	58.4	65.3	0	0	1.1	58.6	9.4	0	1.8	0
