	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	125946.7	1699.2	9585.6	8.7	7796.5	80.6	8718.5	16.9	12134.1	32.9	13214.1	1	10520.4	121.6	9350	1215.1	12087.9	36.4	8396.9	38.4	10493.8	46.3	11702.8	25.8	11946	75.7
INDUSTRIAS AGROPECUARIAS	112.8	180.8	42.2	0	32.8	31.7	0.2	0.9	4.3	28.9	0.6	0	7.3	1.1	6.3	24.2	0	36.4	0	0.7	15.3	0	0	25.8	3.9	31.1
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	47.8	6.6	1.2	0	32.8	0	0	0.9	0	3.9	0	0	3.9	1.1	0	0	0	0	0	0.7	6	0	0	0	3.9	0
CAFE	0	168.7	0	0	0	31.7	0	0	0	25	0	0	0	0	0	24.2	0	30.8	0	0	0	0	0	25.8	0	31.1
CARDAMOMO	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	7.2	0	0	0	0	0	0	0	3.8	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	0.2	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	57.7	0	41	0	0	0	0	0	0.5	0	0.6	0	0	0	6.3	0	0	0	0	0	9.3	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	125123	1401	9533.4	8.7	7717.8	48.8	8713.2	16	12108	4	13194.4	1	10493	117.5	9270.5	1175	12080.1	0	8393.8	0	10474.7	19.2	11618.4	0	11525.6	10.8
ABONOS Y FERTILIZANTES	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0
ALIMENTOS PREPARADOS PARA ANIMALES	21.6	0	0	0	0	0	6	0	2.4	0	0	0	0	0	0	0	2.4	0	7.3	0	0	0	0	0	3.5	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	2545.6	1.8	157.3	0.5	192.8	0	194.4	0	225.6	0	127.4	0.2	212.5	0	201.3	1	240.3	0	266	0	90.4	0	295.1	0	342.6	0.1
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	14.7	0.2	0	0.1	0	0	4.1	0	0	0	3	0	0	0	0.1	0.1	0.4	0	0	0	0	0	0.1	0	6.9	0
APARATOS TRANSMISORES Y RECEPTORES	2864.4	0.2	221.4	0.2	329.7	0	164.5	0	495.8	0	18.5	0	282.4	0	108.8	0.1	337.4	0	5.2	0	400.9	0	361.7	0	138.2	0
ARMAS Y MUNICIONES	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
ARTICULOS DE VESTUARIO	260.9	62.5	42	0.6	28.8	44.3	2.3	16	26.3	0	67.4	0.2	0.8	0	7.3	0.4	1.8	0	27	0	51.8	0.2	4.4	0	1	0.8
AZUCAR	0	1278.7	0	0	0	0	0	0	0	0	0	0	0	117.5	0	1161.2	0	0	0	0	0	0	0	0	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0	0	0
BATERIAS ELECTRICAS	182.6	0	13.5	0	0	0	42	0	15.5	0	13.5	0	2.9	0	25.4	0	28.5	0	0.2	0	9.4	0	14.9	0	16.8	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
