	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
HILOS E HILAZAS	0	1381.6	0	3.5	0	224.1	0	39.8	0	191.5	0	85.3	0	35.5	0	30.2	0	170.5	0	1.9	0	276.1	0	250.3	0	72.9
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	0	56.2	0	0	0	8	0	0	0	0	0	0	0	0	0	48.1	0	0	0	0	0	0	0	0.2	0	0
INSTRUMENTAL MEDICO Y OTROS	0.3	1795.7	0	148.3	0	63.3	0	283.8	0	92.8	0	172.5	0	71.9	0.1	89.1	0	398.7	0	169	0	59.9	0	129.5	0.2	116.9
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	0.2	2499.1	0	354.5	0	329	0	190.2	0	61	0	103	0	212.9	0.2	187.3	0	285.1	0	158.8	0	180.9	0	63.5	0	372.9
LAMINA Y ALAMBRE	0	3771.4	0	336	0	169.7	0	267	0	302.3	0	311.2	0	479.1	0	203.2	0	345.9	0	269.3	0	296.6	0	401.1	0	389.9
LECHE Y OTROS PRODUCTOS LACTEOS	0	12.9	0	0	0	0	0	0	0	0	0	0.2	0	1.9	0	0	0	0	0	0	0	0	0	4.3	0	6.5
MANUFACTURAS DE CAUCHO	0	1194.6	0	121	0	129.2	0	153.5	0	27.4	0	40.1	0	114.2	0	154.4	0	136.6	0	40.4	0	39.9	0	164.3	0	73.6
MANUFACTURAS DE CERAMICA	0.3	74.7	0	2.1	0	0	0	0.4	0	8.6	0	0	0	0.5	0.2	0	0	8.1	0	0.5	0	23	0	31.2	0.1	0.3
MANUFACTURAS DE CUERO	0	3.9	0	0.2	0	0	0	1.7	0	0	0	0	0	0.6	0	0.1	0	0.1	0	0.2	0	0	0	1.1	0	0
MANUFACTURAS DE MADERA	51.6	31.6	4.5	0	0	0.9	0	0	0	0.9	27.1	0.3	0	0.2	0	0.7	0	11.2	0	10.5	0	0	20	2.5	0	4.4
MANUFACTURAS DE PAPEL Y CARTON	0.2	1463	0	74	0	26.8	0	56.9	0	69.1	0	84.4	0	276.7	0.2	117.1	0	232.1	0	158.1	0	226.2	0	114.1	0	27.6
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	0	71.7	0	0	0	70.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
