	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	102020.3	4677.8	7790.3	4521.2	4141.4	8.2	3843.6	10.7	8292.4	1.9	12210.1	2.4	8980.9	54.8	10056.3	30.6	9195	6.1	7678.9	1	10270.9	0.1	11515.6	13.7	8045	27.2
INDUSTRIAS AGROPECUARIAS	16.5	118.5	0	1.1	0	0.6	0	0	0	1.9	7.9	2.4	1.9	54.8	0	29.1	6.4	1.9	0	1	0	0	0.2	0	0	25.7
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	12.2	9.2	0	1.1	0	0.6	0	0	0	1.9	3.9	2.4	1.9	0	0	0	6.4	1.9	0	1	0	0	0	0	0	0.4
CAFE	0	109.2	0	0	0	0	0	0	0	0	0	0	0	54.8	0	29.1	0	0	0	0	0	0	0	0	0	25.3
CAUCHO NATURAL (HULE)	4.3	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	96090.9	4559.3	7202.3	4520.1	3858.7	7.6	3468	10.7	7799.2	0	11340.2	0	8515.4	0	9757.4	1.5	8135.3	4.2	7423.2	0	9978.3	0.1	11447.3	13.7	7165.7	1.5
ALIMENTOS PREPARADOS PARA ANIMALES	14.9	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	0	0	0	0	0	1.7	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	1898.5	0.1	50.8	0	66.3	0	61.8	0	187	0	331	0	152.6	0	218.5	0.1	128	0	132.7	0	147.2	0	186.6	0	236	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	2.2	0.1	0	0	0.5	0	0	0.1	0	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0.6	0	1.1	0
APARATOS TRANSMISORES Y RECEPTORES	726	0	30.7	0	22.3	0	0.9	0	100.5	0	49.3	0	15.5	0	175.7	0	6	0	125.8	0	15.4	0	159.2	0	24.6	0
ARMAS Y MUNICIONES	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0
