	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
LECHE Y OTROS PRODUCTOS LACTEOS	18.1	0	0.2	0	0	0	0.7	0	0	0	17.1	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
MADERA EN TROZA	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	936.4	0	81.7	0	27	0	111.7	0	53.7	0	34.3	0	99.1	0	42.3	0	126	0	106.1	0	89.9	0	107.4	0	57	0
MANUFACTURAS DE CERAMICA	81.2	0.3	0.1	0	4	0	4.1	0	0.2	0	0.1	0	0	0	2.3	0.1	19.8	0	25.4	0	12.8	0	7.1	0	5.2	0.1
MANUFACTURAS DE CUERO	38.3	0	0.1	0	0	0	0.2	0	1.9	0	15.8	0	1.5	0	0	0	0.1	0	0	0	0	0	18.8	0	0	0
MANUFACTURAS DE MADERA	159.7	206.1	20.7	0	0	0	8.7	16.9	40.5	0	0	105.5	1	0	22.8	19.8	9.8	14.3	22.6	0	1.1	18.8	13.4	15.7	19.1	15.3
MANUFACTURAS DE PAPEL Y CARTON	1146.4	11.6	115.2	0	43.6	0	47.4	0	69.7	0	40.7	0	136.4	0.1	143.8	1	34.4	0	152.7	0	119.4	0	72.7	9.9	170.3	0.6
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	0.4	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	7.7	0	0	0	0	0	0	0	0.4	0	0	0	7.3	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE PIELES	56	0	0	0	27.2	0	2.9	0	0	0	2.1	0	0	0	23.8	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DIVERSAS	2411.9	6.2	250.6	0	158.6	0	209.5	0	128.9	0	125.3	6.1	180.5	0	232.9	0	200.9	0	395.5	0	255.4	0	137.7	0	136	0
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	12192.3	0.4	1009.3	0	790.3	0	1597.2	0	872.7	0	667.2	0	1689.2	0	961.5	0	909.5	0	1278.3	0	1091.9	0	676.5	0	648.8	0.4
MATERIALES PLASTICOS Y SUS MANUFACTURAS	6538.3	9.9	641.2	0	280.8	0	463.7	0	383.6	0	868.2	0	594.2	0	368.2	0	665.7	0	793.4	0	429.9	9.8	627.4	0	422.1	0.1
MATERIALES TEXTILES (TEJIDOS O TELAS)	14499.3	0.5	830.3	0	646.8	0	911.9	0	936	0	1195.5	0.3	1385.3	0	1420.3	0	1942.9	0	1346.7	0	1008.8	0	1219.1	0	1655.7	0.2
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	1607.1	3.7	156.7	0	87.3	0	143.3	0	107.4	0	140.1	0	209.1	0	161.9	2.1	159.6	0	99.7	0	113.3	0	95.3	0	133.3	1.6
NEUMATICOS Y TUBOS	2830.2	0	338.9	0	55.2	0	136.2	0	70.5	0	238.3	0	36.4	0	242.9	0	377.1	0	130.8	0	477.6	0	418.7	0	307.5	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	20.3	0.9	0	0	0	0	0	0	5.7	0	0	0	0	0	0	0.4	0.3	0	14.3	0	0	0	0	0	0	0.5
OTRAS MANUFACTURAS DE METALES COMUNES	3962.1	1.9	388.9	0	244.5	0	263.6	0	388.7	0	304.8	0.4	139.2	0	428.3	0.5	684.6	0	286.4	0	359.8	0	330.6	0	142.7	0.9
OTROS ACEITES ESENCIALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPEL Y CARTON	44	0.1	7.3	0	2	0	0	0	1.1	0	1.9	0	2.9	0	5	0	21	0	0	0	0	0	1.2	0	1.7	0.1
PESCADO Y MOLUSCOS	73	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	16.6	0	0	0	17.4	0
PINTURAS Y BARNICES	1181	0.2	67.2	0	188	0	6.9	0	109.8	0	125.6	0	18.2	0	62.5	0	189.6	0	12.8	0	125.4	0	1.7	0	273.3	0.2
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	90.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.8	0	0	0	0	0	0	0	0	0
PREPARADOS A BASE DE CEREALES	3	0	2.8	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0
PREPARADOS DE FRUTAS	71.4	0	0	0	22.2	0	0	0	0	0	22.2	0	22.4	0	0	0	0	0	0	0	0	0	4.6	0	0	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	320.5	0	41.3	0	0	0	0	0	0	0	56.7	0	87.1	0	67.6	0	18.4	0	0	0	0	0	48.8	0	0.6	0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	8506.2	0	2915.1	0	764.6	0	78.1	0	138	0	190.5	0	818.5	0	100.3	0	206.2	0	315.9	0	247.6	0	961.8	0	1769.7	0
