,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",1187.5,615,168.8,0,159.9,0,36.9,0,217.1,0,128.7,0,221.2,0,118.9,0,0,0,53.7,0,0,0,82.3,0,0,615
INSTRUMENTAL MEDICO Y OTROS,3135.4,0.5,138,0.2,445.7,0,124.4,0.2,296.9,0.1,136.1,0.1,236.5,0,268,0,218.2,0,363.7,0,348.4,0,427.7,0,131.7,0
JOYERIA DE FANTASIA,15.5,0,0,0,0.2,0,0,0,0,0,6.2,0,0,0,0,0,1.9,0,6.3,0,0,0,0.9,0,0,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",97.6,10.3,20,1.2,5.4,0,0,1.6,4.5,0.3,0,1.3,17.7,0.3,1,1.6,1.5,0.6,43.9,0.9,0.2,0.1,1.9,0.4,1.5,2
LAMINA Y ALAMBRE,4484.2,0,876.9,0,1011.8,0,1111.4,0,557.2,0,19.9,0,11.3,0,16,0,327,0,217.3,0,22.4,0,125.5,0,187.5,0
LECHE Y OTROS PRODUCTOS LACTEOS,1.6,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DE CAUCHO,1161.3,0,85.9,0,57.1,0,136.4,0,112,0,68.2,0,91.7,0,96.6,0,119.3,0,117.8,0,52.6,0,100.8,0,122.9,0
MANUFACTURAS DE CERAMICA,66.2,3.4,0,0.4,0,0,0,0.4,0,0.3,0,0.4,0,0,15.4,0.5,15.1,0.1,0,0.9,18.1,0.1,0,0,17.5,0.2
MANUFACTURAS DE CUERO,0.5,2.6,0,1.2,0,0,0,0.5,0.5,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.6,0,0
MANUFACTURAS DE MADERA,1,129.9,0,0,0.5,0,0,0.1,0,0,0,0,0,42,0.5,0.9,0,21,0,40.4,0,25.5,0,0,0,0
MANUFACTURAS DE PAPEL Y CARTON,146,0.9,11.2,0.3,42.6,0,16,0.2,4.4,0,1.4,0.2,3.7,0,10.3,0,11.4,0,9.7,0,13.1,0,9.8,0,12.4,0.2
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0,7.8,0,0,0,0,0,2.8,0,0.6,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0.5,0,2.7
MANUFACTURAS DIVERSAS,1769.9,14.2,90.6,11.3,97,0,71,0.5,300.3,0.3,89,0,65.9,0,321.3,0,104.1,1.6,119.2,0,116.5,0,274.7,0.4,120.2,0.1
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,8578.4,0.9,926.2,0,386.7,0,780.7,0.9,1061.9,0,445.8,0,664.3,0,468.4,0,687.6,0,323.6,0,631.2,0,485.4,0,1716.6,0
MATERIALES PLASTICOS Y SUS MANUFACTURAS,87.6,50.5,11.3,2,13.1,0,0.4,7.8,2.3,2.6,0.5,1.1,4.3,0,4.2,6.7,24.1,20.3,0,1.9,0.4,0.6,21.4,1.5,5.7,6
MATERIALES TEXTILES (TEJIDOS O TELAS),251.1,4.3,2.7,0.1,46.1,0,0,1,2.8,0,4.8,0,1.9,0,2.1,0.7,15.9,0.2,123.7,0.2,10.4,0,3.2,0,37.6,2.1
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",16,3.3,0,0.6,1.4,0,0.1,1.7,0.2,0,0,0,0,0,8,1,5.4,0,0,0,0,0,1,0,0,0
NEUMATICOS Y TUBOS,6145.3,0,525.5,0,508.6,0,530.8,0,628.4,0,388.9,0,286.1,0,600.4,0,722.8,0,340.1,0,284.5,0,495.2,0,834,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0,0.5,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,690,1.1,75,0.6,39.6,0,54.9,0.6,136.3,0,34.2,0,19.8,0,87.5,0,53.9,0,42.1,0,29.7,0,64.2,0,52.6,0
OTROS ACEITES ESENCIALES,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PAPEL Y CARTON,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PESCADO Y MOLUSCOS,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0
PINTURAS Y BARNICES,120,0,15,0,0.1,0,0,0,24.1,0,0.1,0,4.5,0,29.1,0,0,0,9.7,0,0,0,37.5,0,0,0
PREPARADOS A BASE DE CEREALES,9,0,0,0,0,0,3.4,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0.7,0,0,0,0,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",1.9,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,1.7,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
PREPARADOS DE FRUTAS,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,3075.2,0,34,0,0.1,0,90.8,0,616.7,0,152,0,192.3,0,734,0,537,0,331.6,0,221.2,0,70.1,0,95.4,0
PRODUCTOS FARMACEUTICOS,263.9,0,55.1,0,0.8,0,62.3,0,0,0,41.9,0,0,0,86.4,0,0.4,0,0,0,0,0,17.1,0,0,0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,5364.2,0,464.6,0,393,0,433.1,0,639.6,0,273.6,0,658,0,497.4,0,90.7,0,509.4,0,545.2,0,859.5,0,0,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",4.1,25,0,17.6,0.8,0,0,1.3,0.3,0,0,0,0,0,2,0.6,0,2.6,0.3,2.9,0.1,0,0.2,0,0.3,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0.6,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",6.6,4.5,1.6,0,0,0,0,1.1,0,0,0,0,0.2,0,0.4,0.5,0,0.4,0,0.5,0,0,3.7,0.5,0.7,1.6
TUBERIA Y SUS ACCESORIOS,209.6,0,24.1,0,85.9,0,2.7,0,9.3,0,5.4,0,30.3,0,21.2,0,2.8,0,1.4,0,1,0,5.5,0,20,0
VEHICULOS Y MATERIAL DE TRANSPORTE,218974,52.7,24771.8,0,14252.8,0,19175.6,0.1,19090.9,0.1,18066.1,0,14990.5,10.7,14701.7,0,18076.2,0,12976.6,10.4,20979.2,0,13623.7,0,28268.8,31.4
VIDRIO Y SUS MANUFACTURAS,378.8,3.5,28.2,0,50.4,0,34.3,0,26.3,0,23.9,0,25.7,0,26.3,3.4,28.1,0,28.1,0,16.8,0,46.3,0.1,44.4,0
INDUSTRIAS EXTRACTIVAS,28671.4,0,3089.4,0,3900.6,0,1016.1,0,94.5,0,3486.7,0,2995.2,0,2573.6,0,6432.5,0,3663.1,0,14,0,928.5,0,477.2,0
ALUMINIO,70.1,0,34.1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,34.2,0,0,0,1,0,0.2,0
GASES INDUSTRIALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,27344.5,0,3022.2,0,3851,0,962.1,0,0,0,3367.6,0,2863.9,0,2346.8,0,6342.8,0,3434.6,0,0,0,920.5,0,232.9,0
OTROS DERIVADOS DE PETROLEO,1012.8,0,33.1,0,49.5,0,53.9,0,94.5,0,119.1,0,131.3,0,226.2,0,89.7,0,194.4,0,14,0,7,0,0,0
PRODUCTOS MINERALES DIVERSOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZINC,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0
