,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,0,111.1,0,1.1,0,33.8,0,0.2,0,11.6,0,0.7,0,0.5,0,0.3,0,8.2,0,0.4,0,0.5,0,0.2,0,53.4
HILOS E HILAZAS,7.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,3.6,5.6,3.8,0,0,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",13.4,1351.2,0,78.4,0,0,3.3,41.4,0,0,0,167.2,3.3,175.5,0,100.1,0,97.9,0,50.1,0,168.6,0,383.1,6.8,89
INSTRUMENTAL MEDICO Y OTROS,1.6,3636.8,0,277,0,129,0,322.7,0,243.1,0,142.1,0,452.4,0,210.6,0,265.6,0,616,1.5,323.7,0,176.2,0.1,478.4
JOYERIA DE FANTASIA,0,5.5,0,0,0,1.6,0,0.9,0,0,0,0,0,1,0,0,0,1.3,0,0,0,0,0,0,0,0.7
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",0.6,55.9,0,10.4,0,0.1,0.5,1.7,0,15.5,0,5.4,0,8.5,0,1.5,0,0.1,0,1,0,6.8,0,0,0,4.8
LAMINA Y ALAMBRE,0,491.8,0,171.4,0,6.6,0,236.9,0,7,0,9.3,0,4.9,0,6.5,0,12.3,0,8.9,0,7.4,0,19.9,0,0.6
MANUFACTURAS DE CAUCHO,0,1799,0,180.2,0,72,0,112.3,0,86.9,0,227.1,0,77.9,0,188.7,0,117,0,171.1,0,141.6,0,299.6,0,124.6
MANUFACTURAS DE CERAMICA,0,9.6,0,0,0,0,0,0,0,6.6,0,0,0,0.9,0,0,0,0,0,0,0,2,0,0,0,0
MANUFACTURAS DE CUERO,16.8,0.1,3,0,0,0,0,0,5.9,0,0,0.1,4.8,0,0,0,0,0,3.1,0,0,0,0,0,0,0
MANUFACTURAS DE MADERA,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DE PAPEL Y CARTON,911.6,98.9,83,1.2,74.2,9.4,78.3,4.6,69.8,6.3,95.7,5.4,120.8,0.7,97.1,10.8,81.7,27.6,74.7,5.2,48.2,1.4,37.4,16.7,50.7,9.7
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,331,2,0,0,0,0,180.9,0,1.3,0,18,0,50.2,0.8,1,0,59.4,0,0.1,0,0.6,1.2,0,0,19.5,0
MANUFACTURAS DIVERSAS,8.4,1754.8,0,158,1.1,71.4,3,146.3,0,49.7,0.1,101.8,0,133.7,0,397.2,1.7,135.2,0,179.1,2.5,47.6,0,267,0,67.9
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,0.2,19817.7,0,1742.5,0,848.9,0,1929.8,0,5778.7,0,1074,0,1398.6,0,983.8,0.2,1347.1,0,1081.9,0,1022.5,0,1671.8,0,938.2
MATERIALES PLASTICOS Y SUS MANUFACTURAS,209.1,1076.2,25.9,141.2,48.8,76.7,11.1,84,11.3,91.2,32,28.5,20.4,63.7,17.8,91.9,10.1,102.2,19.2,17.5,10.7,202.6,0,87.2,1.8,89.5
MATERIALES TEXTILES (TEJIDOS O TELAS),0,51.6,0,3.1,0,0,0,0.3,0,42.3,0,0,0,0.2,0,0,0,0.2,0,0,0,5.4,0,0,0,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",0,33.3,0,0.5,0,15.2,0,0.3,0,0.4,0,0,0,0.8,0,0.9,0,2.9,0,2.2,0,4,0,1.9,0,4.2
NEUMATICOS Y TUBOS,0,10696.4,0,1309.6,0,546.3,0,930.3,0,1464.7,0,895.4,0,1083.1,0,696.6,0,594.3,0,686.7,0,737.6,0,886,0,865.9
OTRAS MANUFACTURAS DE METALES COMUNES,0,888.1,0,30.6,0,42.6,0,34.8,0,24.4,0,114,0,41,0,231.8,0,106.1,0,21.6,0,66.2,0,22,0,153
OTROS ACEITES ESENCIALES,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,1.7,0,0,0
PINTURAS Y BARNICES,0,240.9,0,58.5,0,0,0,1.4,0,0,0,18.5,0,17,0,62.9,0,0,0,14,0,0,0,68.7,0,0
PREPARADOS A BASE DE CEREALES,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",0,1.9,0,0.5,0,0.1,0,0.3,0,0.2,0,0.3,0,0,0,0,0,0.3,0,0.1,0,0,0,0,0,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREPARADOS DE FRUTAS,12.7,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,0,6076.9,0,407.3,0,126.3,0,594.4,0,431.3,0,689.7,0,433.4,0,342.2,0,422.8,0,392.9,0,879.1,0,574.2,0,783.3
PRODUCTOS FARMACEUTICOS,0,383.4,0,84,0,3.8,0,12.8,0,0,0,73.4,0,16.6,0,173.5,0,0,0,1.5,0,6.1,0,0,0,11.7
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",0.9,2.3,0,0,0.3,0,0,0,0,0,0,0,0,1.3,0,0,0,0.4,0.2,0,0.3,0,0,0.5,0,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0.2,1.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.4
TUBERIA Y SUS ACCESORIOS,0,129,0,3.8,0,13.1,0,6.4,0,12.6,0,20.2,0,0.6,0,26.4,0,1.9,0,2,0,0.4,0,0.8,0,40.9
VEHICULOS Y MATERIAL DE TRANSPORTE,123.3,179893.1,0,12587.3,120,7773.3,0,16330.8,0,16630.4,0,15873.7,0,13622.3,0,19521.7,0,16359.3,2.2,13364.5,0,16528.6,1,18544.8,0,12756.3
VIDRIO Y SUS MANUFACTURAS,0,389.5,0,22,0,19.7,0,31.8,0,35,0,44.1,0,41.6,0,45.1,0,34.4,0,34.6,0,16.3,0,36.1,0,28.8
INDUSTRIAS EXTRACTIVAS,6706.2,76438,158,4919.7,681.4,1980.4,557.7,5590.8,490.4,3439.2,595,8365.3,527.9,6602.6,665.8,6157.2,1765.4,6883,811.8,6822.5,299.4,18620.2,153.7,2146.8,0,4910.4
ALUMINIO,2.5,13.4,1.5,13.4,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEMENTO,0,3890,0,0,0,0,0,2058.3,0,0,0,0,0,1831.8,0,0,0,0,0,0,0,0,0,0,0,0
COBRE Y SUS MANUFACTURAS,0,0.8,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,0,10941.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10941.1,0,0,0,0
GASES INDUSTRIALES,0,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0,0,0,0,0,17.4,0,0,0,0
HIERRO Y ACERO,0,61398.4,0,4904.4,0,1980.4,0,3529.6,0,3438.6,0,8330.9,0,4768.8,0,6134.8,0,6851.4,0,6820.4,0,7661,0,2067.7,0,4910.4
NIQUEL,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,0,160.6,0,1.9,0,0,0,2.9,0,0.6,0,33.5,0,2,0,6.1,0,31.6,0,2.1,0,0.7,0,79.1,0,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZINC,5750.5,0,156.5,0,681.4,0,557.2,0,490.2,0,594.4,0,527.9,0,665.8,0,812.3,0,811.8,0,299.4,0,153.7,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
