,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),279602.7,185537.3,21728,6844.7,21490.7,13711.8,25389.3,17367.1,18509.5,17313.2,21981,30377.5,20265.3,24043.4,29607.1,24785.8,25846.8,19411.5,24889.5,12775.2,22744.7,5878.8,26212.7,7237.7,20938.2,5790.4
INDUSTRIAS AGROPECUARIAS,654.5,159824.1,56.2,6183.4,1.5,12696.5,55.5,15157.5,1.7,16828.6,68,18949.2,62.4,23272.2,204.2,24078.4,0.2,18711.1,0,8660.8,136,5117.7,0,5551.1,68.8,4617.6
BANANO,0,7047.1,0,286.4,0,259.4,0,308,0,243.3,0,235.3,0,1142,0,1302.8,0,1005.8,0,743.8,0,372.9,0,365.9,0,781.6
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",11.3,850.5,0,51.8,0,92.1,0,49.9,1.7,45,0,29.6,7.8,80,0.8,99,0.2,72.6,0,112.3,0,86.1,0,38.9,0.8,93.3
CAFE,0,122255.6,0,4270.9,0,9601.1,0,11806.1,0,14791.1,0,15768.9,0,17840.9,0,19418.3,0,15032,0,6189.6,0,2727.3,0,1987.3,0,2822
CARDAMOMO,0,1691.7,0,35.8,0,422.2,0,125.7,0,242.6,0,78,0,41.6,0,164.4,0,0,0,261.2,0,2.4,0,0,0,318
CAUCHO NATURAL (HULE),640.2,0,56.2,0,0,0,54,0,0,0,68,0,54.6,0,203.4,0,0,0,0,0,136,0,0,0,68,0
ESPECIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,1647.7,0,120.9,0,93.6,0,144.2,0,71.7,0,84,0,128.8,0,168.1,0,294.1,0,252.1,0,0,0,225.9,0,64.2
FRIJOL,0,59.5,0,13.1,0,6.7,0,2.1,0,13,0,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,3505.5,0,7.5,0,32.1,0,60.1,0,75.4,0,657,0,780.5,0,889.7,0,22.6,0,5.6,0,316.8,0,645,0,13.1
LEGUMBRES Y HORTALIZAS,0,2070.6,0,102,0,292.4,0,223.2,0,143.9,0,106.6,0,136.9,0,93,0,229.8,0,104.6,0,294.1,0,218.9,0,125.3
MIEL DE ABEJAS,0,198.7,0,0,0,0,0,74.4,0,74.4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,2.9,109.9,0,2.7,1.5,20.7,1.4,21.9,0,6.7,0,0,0,38.8,0,0,0,17.5,0,1.6,0,0,0,0,0,0
PIMIENTA,0,100.2,0,0,0,0,0,1.5,0,0,0,0,0,22,0,0,0,0,0,0,0,76.7,0,0,0,0
SEMILLA DE AJONJOLI,0,20287.1,0,1292.3,0,1876.2,0,2340.6,0,1121.5,0,1915.2,0,3060.7,0,1943.2,0,2036.7,0,990.1,0,1241.4,0,2069.1,0,400.2
INDUSTRIAS MANUFACTURERAS,224301.5,15733,19474.6,224.7,14436.6,386.3,19761.4,374.6,18109.2,411.3,17861.1,10822.8,17628.2,771.2,20695.9,376.1,18335.5,437.4,19159.7,312.4,18558,323.9,22135.1,547.5,18146.2,744.7
APARATOS ELECTROMECANICOS DE USO DOMESTICO,378,0,12.4,0,0,0,0.6,0,126.2,0,6,0,0.8,0,0,0,0,0,204.6,0,0.4,0,26.1,0,0.9,0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,32.9,0.1,1.9,0,4.5,0,0.9,0,1.8,0,1.5,0,11.2,0,2,0,0.7,0,1.6,0,1.4,0,0.9,0,4.6,0
APARATOS TRANSMISORES Y RECEPTORES,526.7,0,2.8,0,2.9,0,14.3,0,5.3,0,3.1,0,4.4,0,3.7,0,132.2,0,29.9,0,7.9,0,315,0,5.1,0
ARTICULOS DE VESTUARIO,17.3,3120.5,0.1,180.6,0.9,201.9,1.9,261.9,0.4,310.3,1,292.8,1.6,414.3,0,148.9,0.2,248.2,2.4,164.2,2.6,156.5,2.1,207.9,4.2,533.1
AZUCAR,0,10372.9,0,0,0,0,0,0,0,0,0,10372.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATERIAS ELECTRICAS,16.2,0,0.1,0,0.3,0,1.2,0,1.6,0,0.1,0,1.9,0,2.1,0,0.4,0,1.7,0,4.5,0,1.5,0,0.8,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE SOLUBLE Y MOLIDO,0,46.9,0,0,0,0.4,0,0,0,23.2,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALZADO,29.3,0.3,0,0,0,0,7.1,0.2,0,0,9.5,0,0,0,0,0,0,0,0,0,8.7,0,0,0,4,0
CAMARON Y LANGOSTA,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
CERAS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CLAVOS Y TORNILLOS,204.4,0,13,0,15.8,0,9.6,0,32.6,0,13.4,0,9.2,0,17,0,22.5,0,12.6,0,19.6,0,16,0,23.3,0
DETERGENTES Y JABONES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",5.7,0,1.6,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
