,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),276290.9,176725.7,27435.7,8586.8,25203.6,18217.3,28024.7,20034.7,32820.8,28523.1,27499.5,20741.4,20255.9,26394.2,20900.8,11990.8,19853.1,8495.5,14508.4,9960.9,20034,10049.5,26312.2,6169.5,13442.2,7562.1
INDUSTRIAS AGROPECUARIAS,712.2,155993.1,0,8475.4,0,18108.6,0,19887.7,4,17994.1,168.9,13517.7,99,25836.9,68,11508.3,0,8014.8,94.2,9876.6,188.3,9814.5,0.4,5707.7,89.4,7250.9
BANANO,0,374.4,0,16.1,0,48.3,0,80.5,0,33.9,0,40.3,0,32.7,0,32.7,0,24.5,0,16.4,0,16.4,0,16.4,0,16.4
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",31.1,566.8,0,16.4,0,70.6,0,43,0,37.8,31.1,22.8,0,56.4,0,57.3,0,88.5,0,66.1,0,47.5,0,35.9,0,24.4
CAFE,0,129278,0,5835,0,15192.3,0,15284.5,0,14426.6,0,11416.7,0,22999.7,0,10262.1,0,7330.3,0,8949.8,0,9174.7,0,4519.6,0,3886.7
CARDAMOMO,0,2800.2,0,554.5,0,115.5,0,200,0,66,0,219.9,0,82.5,0,287.3,0,66,0,0,0,0,0,646.4,0,562.1
CAUCHO NATURAL (HULE),532.9,188.1,0,0,0,0,0,188.1,4,0,136,0,99,0,68,0,0,0,68,0,68,0,0.4,0,89.4,0
ESPECIAS,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,886.2,0,15.6,0,16.5,0,119.7,0,34.9,0,30.7,0,16.6,0,85.7,0,134.6,0,97.5,0,132.3,0,97,0,105
FRIJOL,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,3124.6,0,0,0,15.3,0,0,0,0,0,483.9,0,1082.6,0,599.5,0,0,0,358,0,305.5,0,279.7,0,0
LEGUMBRES Y HORTALIZAS,0,1036.3,0,42.8,0,44.2,0,140.8,0,154.9,0,161.1,0,57.2,0,112.7,0,59.9,0,18,0,73.5,0,101.8,0,69.3
MIEL DE ABEJAS,0,119.1,0,0,0,0,0,63.3,0,0,0,0,0,0,0,0,0,55.8,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,1.8,0.1,0,0,0,0,0,0,0,0,1.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
PIMIENTA,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0
SEMILLA DE AJONJOLI,146.4,17539.3,0,1994.9,0,2605.9,0,3767.8,0,3240,0,1140.7,0,1509.1,0,60.1,0,255.2,26.2,303.2,120.3,64.6,0,10.8,0,2587
TABACO EN RAMA O SIN ELABORAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,201348.6,20717.6,22160.6,111.4,18942.2,108.7,21694.3,147,28742.4,10528.9,18044,7223.7,14324.2,557.3,14655.1,482.4,12754.3,480.5,9387.3,84.4,13125.8,235,16265.7,461.9,11252.7,296.4
APARATOS ELECTROMECANICOS DE USO DOMESTICO,269.4,1,0,0,1.8,0,0.1,0,0,0,1.8,0.9,8.8,0,6.6,0,0,0,0,0,106.4,0.1,0.1,0,143.8,0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,284.4,0.6,1.9,0,2.5,0,0.6,0,0.1,0,0.4,0.1,6.2,0,8.2,0.3,30.8,0,2.5,0,229.9,0.1,0.1,0,1.3,0
APARATOS TRANSMISORES Y RECEPTORES,1600.9,0.2,2.2,0,0.5,0,1.8,0,23.7,0,1,0.1,740.8,0,0.5,0,593.3,0,0.9,0,219.1,0.1,5.1,0,12.1,0
ARTICULOS DE VESTUARIO,18.9,1286.3,0.3,13.1,0.6,52,0.5,61.9,0.9,85.1,2.9,68.2,0.8,53.5,0,424.2,0.7,214.7,3.9,47.5,0.8,155.3,0,56,7.5,54.8
AZUCAR,0,16966.1,0,0,0,0,0,0,0,10008.3,0,6957.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATERIAS ELECTRICAS,14.6,0,0.6,0,0.1,0,2,0,0.3,0,1.6,0,1.3,0,0,0,0.9,0,0.5,0,1.7,0,0.8,0,4.9,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE SOLUBLE Y MOLIDO,0,7.8,0,0,0,0,0,4.2,0,0,0,0,0,3.4,0,0.3,0,0,0,0,0,0,0,0,0,0
CALZADO,21.6,1.1,0,0,0,0,0,0,0,1,5.8,0,0.2,0,0,0,0.1,0,0,0,2.9,0,3.1,0,9.5,0
CAMARON Y LANGOSTA,111.4,1614.7,0,0.1,0,0,0,0.1,0,378.1,0,140.6,0,400.7,0,0.1,0,178.8,0,0,0,0.1,111.4,345.3,0,170.8
CERAS,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
CLAVOS Y TORNILLOS,248.4,0,32.5,0,11.3,0,20.7,0,52.8,0,10.2,0,6.4,0,31.1,0,13.9,0,8.2,0,43.2,0,7.8,0,10.2,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.9,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,54.7,0.1,2.6,0,0.3,0,1.2,0,38.9,0,0.8,0,0,0,0.4,0.1,6.9,0,2.2,0,0.4,0,0.7,0,0.3,0
HILOS E HILAZAS,23.5,0,0,0,0,0,0.4,0,2.3,0,0.6,0,0,0,0.6,0,19.5,0,0,0,0.1,0,0,0,0,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",691,0,64.6,0,0,0,98.1,0,89.3,0,123.6,0,5.7,0,100.9,0,0.4,0,0,0,43.4,0,81,0,83.9,0
INSTRUMENTAL MEDICO Y OTROS,3303.2,0.1,254.6,0,190.8,0,869.3,0,367.5,0,145,0.1,294.6,0,247.7,0,259.7,0,160.3,0,108.2,0,169.3,0,236.2,0
JOYERIA DE FANTASIA,10.4,0,1.2,0,0,0,3.1,0,0,0,0,0,0,0,0,0,2.5,0,2,0,0,0,0,0,1.6,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",23.8,48.5,0,0.2,0.2,0,0.6,21,0.9,5.3,1.2,5.4,0.4,1.4,0.3,7.3,0,2.5,1.5,2.5,0.2,2.4,0.1,0.2,18.4,0.3
LAMINA Y ALAMBRE,66.8,0,16.1,0,2.8,0,3.5,0,10.6,0,3.7,0,1.7,0,1.8,0,10.9,0,1,0,5.2,0,4.3,0,5.2,0
LECHE Y OTROS PRODUCTOS LACTEOS,0.8,0,0.1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
MANUFACTURAS DE CAUCHO,1250.1,0,93.4,0,185.1,0,104.1,0,173.6,0,103.4,0,65.7,0,134.6,0,87,0,55.4,0,127,0,70.2,0,50.7,0
MANUFACTURAS DE CERAMICA,0.1,12.1,0,0.3,0,0,0,1,0,6.9,0,0.9,0,0.8,0,1.2,0,0,0,0.7,0,0,0.1,0.2,0,0
MANUFACTURAS DE CUERO,0,201.8,0,4.8,0,6.6,0,19.5,0,14.9,0,12.2,0,16.1,0,11.1,0,4.8,0,12,0,4.7,0,39,0,56.1
MANUFACTURAS DE MADERA,3.8,175.5,0,53,0,3.9,0,0.7,3.8,0,0,0.1,0,72,0,0,0,0,0,0,0,45.8,0,0,0,0
MANUFACTURAS DE PAPEL Y CARTON,197.9,67.7,12.6,3.1,8.4,9,2.4,14.3,4,7.1,30.9,7.6,14.5,5.4,65.4,6.2,17.8,4,6.7,2.7,12.9,2.9,11.6,2.7,10.7,2.7
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0,53.1,0,0,0,9.6,0,4.8,0,9.6,0,0,0,2.4,0,1.5,0,6,0,15.7,0,1.4,0,0.5,0,1.5
MANUFACTURAS DIVERSAS,3008.6,72.3,226.3,0.3,252.6,24.3,160,18.8,416,0.8,184.1,3,627.9,0.6,66.4,4.8,160.5,6.5,457.4,2.1,186.7,2.2,228.9,0.1,41.8,8.8
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,16863.4,2.4,857.2,0,425.1,0,788.7,0.1,620.2,0,477.5,1.6,270.2,0.1,498.8,0.1,1739.4,0,635.3,0,692.2,0.6,7874.3,0,1984.4,0
MATERIALES PLASTICOS Y SUS MANUFACTURAS,661.8,15.3,8,3.5,10.6,1.5,8.8,0,16,2.7,113.9,0.4,232,0.8,71.4,3.5,4.2,1.4,76.1,0.9,99.1,0.2,5.8,0.4,16,0
MATERIALES TEXTILES (TEJIDOS O TELAS),26.8,9.1,4.6,0,2.1,0,1.5,0,1.3,8.7,0,0.3,0,0.1,0,0,0,0,4.3,0,4.9,0,1.8,0,6.3,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",78.8,9,31.8,0,0,0,0.8,0,41.8,0,0.8,3.7,0.1,0,0,0.3,0.1,2,0,0.3,0.7,1.2,1.9,0.1,0.8,1.4
NEUMATICOS Y TUBOS,17205.9,0,906.9,0,857,0,1845.7,0,1227.7,0,2063,0,1115.6,0,1262.3,0,1210.2,0,1644.6,0,2126.4,0,1210.4,0,1736,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0,0.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,318.6,1.2,43.7,0,17.1,0,15.2,0,62.3,0,15.4,1,18.3,0,11.6,0,31,0.1,24.4,0,58.3,0.2,10.6,0,10.5,0
OTROS ACEITES ESENCIALES,0,62.3,0,0,0,0,0,0,0,0,0,2.2,0,0,0,3.3,0,56.7,0,0,0,0,0,0,0,0
PAPEL Y CARTON,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
PINTURAS Y BARNICES,244.2,0,34.4,0,0,0,15.2,0,0,0,33.5,0,0,0,0,0,0,0,111,0,1,0,49,0,0,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",3.8,86.6,0.6,17.3,0.3,0,0.4,0,0,0,0.8,17.3,0.7,0,0.5,17.3,0,0,0.3,0,0.1,17.3,0,17.3,0,0
PREPARADOS DE FRUTAS,0.1,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",55.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,0,0,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,1452.3,15.8,109.2,15.8,92.5,0,0.8,0,55.9,0,0,0,106.2,0,71,0,98.5,0,166.5,0,7.9,0,566.9,0,176.8,0
PRODUCTOS FARMACEUTICOS,440.3,0,2.4,0,200.4,0,0.3,0,0.3,0,19.8,0,20,0,88.3,0,22.2,0,61.2,0,0.3,0,21.9,0,3.2,0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,757.5,0,169.2,0,5.5,0,31.4,0,48.2,0,298.8,0,0,0,0.5,0,0,0,0,0,0.3,0,0,0,203.6,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",8.2,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0.1,7.6,0,0.2,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0,2.7,0,0,0,0,0,0.3,0,0.1,0,0,0,0,0,0.8,0,1.5,0,0,0,0,0,0,0,0
TUBERIA Y SUS ACCESORIOS,26.2,0,5.5,0,2,0,3.1,0,0.8,0,0,0,1.3,0,1.6,0,4.2,0,0.7,0,3.2,0,0.6,0,3.2,0
VEHICULOS Y MATERIAL DE TRANSPORTE,151736.5,2,19260.8,0,16653.9,1.9,17691.9,0,25459.7,0,14382.6,0.1,10770.4,0,11967.1,0,8408.3,0,5939.5,0,9002.8,0,5742.9,0,6456.6,0
VIDRIO Y SUS MANUFACTURAS,261.9,0.3,17.2,0,18.5,0,21.9,0,22.9,0,20.7,0.1,14.5,0,17.5,0,31.2,0.2,20.6,0,38.2,0,21.7,0,17,0
INDUSTRIAS EXTRACTIVAS,74230.1,14.9,5275.1,0,6261.3,0,6330.4,0,4074.5,0,9286.6,0,5832.7,0,6177.8,0,7098.8,0.2,5026.9,0,6720,0,10046.1,0,2100.1,14.7
ALUMINIO,173.9,0,9,0,0,0,0,0,0,0,3.8,0,0,0,0,0,161.1,0,0,0,0,0,0,0,0,0
COBRE Y SUS MANUFACTURAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,74055.9,0,5266.1,0,6261.3,0,6330.4,0,4074.5,0,9282.8,0,5832.3,0,6177.8,0,6937.8,0,5026.9,0,6720,0,10046.1,0,2100.1,0
OTROS DERIVADOS DE PETROLEO,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
ZINC,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
